org.jfree.chart.plot.MultiplePiePlot:166	1.0 0.0 1.0
org.jfree.chart.plot.MultiplePiePlot:135	1.0 2.0 0.5773502691896258
org.jfree.chart.plot.MultiplePiePlot:136	1.0 2.0 0.5773502691896258
org.jfree.data.general.AbstractDataset:160	1.0 2.0 0.5773502691896258
org.jfree.data.general.AbstractDataset:161	1.0 2.0 0.5773502691896258
org.jfree.chart.plot.MultiplePiePlot:111	1.0 3.0 0.5
org.jfree.chart.plot.MultiplePiePlot:144	1.0 3.0 0.5
org.jfree.chart.plot.MultiplePiePlot:145	1.0 3.0 0.5
org.jfree.chart.plot.MultiplePiePlot:146	1.0 3.0 0.5
org.jfree.chart.plot.MultiplePiePlot:147	1.0 3.0 0.5
org.jfree.chart.plot.MultiplePiePlot:148	1.0 3.0 0.5
org.jfree.chart.plot.MultiplePiePlot:149	1.0 3.0 0.5
org.jfree.chart.plot.MultiplePiePlot:150	1.0 3.0 0.5
org.jfree.chart.plot.MultiplePiePlot:151	1.0 3.0 0.5
org.jfree.chart.plot.MultiplePiePlot:153	1.0 3.0 0.5
org.jfree.chart.plot.MultiplePiePlot:154	1.0 3.0 0.5
org.jfree.chart.plot.MultiplePiePlot:155	1.0 3.0 0.5
org.jfree.chart.plot.MultiplePiePlot:156	1.0 3.0 0.5
org.jfree.chart.plot.MultiplePiePlot:157	1.0 3.0 0.5
org.jfree.chart.plot.MultiplePiePlot:158	1.0 3.0 0.5
org.jfree.chart.JFreeChart:664	1.0 3.0 0.5
org.jfree.chart.JFreeChart:665	1.0 3.0 0.5
org.jfree.chart.JFreeChart:795	1.0 3.0 0.5
org.jfree.chart.JFreeChart:796	1.0 3.0 0.5
org.jfree.chart.JFreeChart:797	1.0 3.0 0.5
org.jfree.chart.util.TableOrder:55	1.0 3.0 0.5
org.jfree.chart.util.TableOrder:58	1.0 3.0 0.5
org.jfree.chart.util.TableOrder:69	1.0 3.0 0.5
org.jfree.chart.util.TableOrder:70	1.0 3.0 0.5
org.jfree.chart.util.TableOrder:71	1.0 3.0 0.5
org.jfree.chart.JFreeChart:972	1.0 4.0 0.4472135954999579
org.jfree.chart.JFreeChart:571	1.0 4.0 0.4472135954999579
org.jfree.chart.JFreeChart:575	1.0 4.0 0.4472135954999579
org.jfree.chart.JFreeChart:578	1.0 4.0 0.4472135954999579
org.jfree.chart.JFreeChart:579	1.0 4.0 0.4472135954999579
org.jfree.chart.JFreeChart:628	1.0 5.0 0.4082482904638631
org.jfree.chart.JFreeChart:641	1.0 5.0 0.4082482904638631
org.jfree.chart.JFreeChart:642	1.0 5.0 0.4082482904638631
org.jfree.chart.JFreeChart:643	1.0 5.0 0.4082482904638631
org.jfree.chart.JFreeChart:644	1.0 5.0 0.4082482904638631
org.jfree.chart.JFreeChart:645	1.0 5.0 0.4082482904638631
org.jfree.chart.JFreeChart:1486	1.0 6.0 0.3779644730092272
org.jfree.chart.JFreeChart:1487	1.0 6.0 0.3779644730092272
org.jfree.chart.JFreeChart:1488	1.0 6.0 0.3779644730092272
org.jfree.chart.JFreeChart:327	1.0 8.0 0.3333333333333333
org.jfree.chart.JFreeChart:328	1.0 8.0 0.3333333333333333
org.jfree.chart.PaintMap:77	1.0 32.0 0.17407765595569785
org.jfree.chart.PaintMap:78	1.0 32.0 0.17407765595569785
org.jfree.chart.PaintMap:79	1.0 32.0 0.17407765595569785
org.jfree.chart.StrokeMap:75	1.0 32.0 0.17407765595569785
org.jfree.chart.StrokeMap:76	1.0 32.0 0.17407765595569785
org.jfree.chart.StrokeMap:77	1.0 32.0 0.17407765595569785
org.jfree.chart.labels.AbstractPieItemLabelGenerator:82	1.0 32.0 0.17407765595569785
org.jfree.chart.labels.AbstractPieItemLabelGenerator:84	1.0 32.0 0.17407765595569785
org.jfree.chart.labels.AbstractPieItemLabelGenerator:87	1.0 32.0 0.17407765595569785
org.jfree.chart.labels.AbstractPieItemLabelGenerator:90	1.0 32.0 0.17407765595569785
org.jfree.chart.labels.AbstractPieItemLabelGenerator:95	1.0 32.0 0.17407765595569785
org.jfree.chart.labels.AbstractPieItemLabelGenerator:96	1.0 32.0 0.17407765595569785
org.jfree.chart.labels.AbstractPieItemLabelGenerator:97	1.0 32.0 0.17407765595569785
org.jfree.chart.labels.AbstractPieItemLabelGenerator:99	1.0 32.0 0.17407765595569785
org.jfree.chart.labels.StandardPieSectionLabelGenerator:90	1.0 32.0 0.17407765595569785
org.jfree.chart.labels.StandardPieSectionLabelGenerator:92	1.0 32.0 0.17407765595569785
org.jfree.chart.labels.StandardPieSectionLabelGenerator:141	1.0 32.0 0.17407765595569785
org.jfree.chart.labels.StandardPieSectionLabelGenerator:142	1.0 32.0 0.17407765595569785
org.jfree.chart.labels.StandardPieSectionLabelGenerator:143	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.AbstractPieLabelDistributor:60	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.AbstractPieLabelDistributor:61	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.AbstractPieLabelDistributor:62	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PieLabelDistributor:55	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PieLabelDistributor:63	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PieLabelDistributor:64	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PieLabelLinkStyle:55	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PieLabelLinkStyle:59	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PieLabelLinkStyle:63	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PieLabelLinkStyle:74	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PieLabelLinkStyle:75	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PieLabelLinkStyle:76	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:251	1.0 32.0 0.17407765595569785
