org.jfree.data.time.TimePeriodValues:552	1.0 1.0 0.7071067811865475
org.jfree.data.time.TimePeriodValues:317	1.0 6.0 0.3779644730092272
org.jfree.data.time.SimpleTimePeriod:76	1.0 8.0 0.3333333333333333
org.jfree.data.time.SimpleTimePeriod:77	1.0 8.0 0.3333333333333333
org.jfree.data.time.SimpleTimePeriod:80	1.0 8.0 0.3333333333333333
org.jfree.data.time.SimpleTimePeriod:81	1.0 8.0 0.3333333333333333
org.jfree.data.time.SimpleTimePeriod:82	1.0 8.0 0.3333333333333333
org.jfree.data.time.SimpleTimePeriod:100	1.0 8.0 0.3333333333333333
org.jfree.data.time.SimpleTimePeriod:120	1.0 8.0 0.3333333333333333
org.jfree.data.time.TimePeriodValues:363	1.0 11.0 0.2886751345948129
org.jfree.data.time.TimePeriodValues:364	1.0 11.0 0.2886751345948129
org.jfree.data.time.TimePeriodValues:365	1.0 11.0 0.2886751345948129
org.jfree.data.time.TimePeriodValues:375	1.0 11.0 0.2886751345948129
org.jfree.data.time.TimePeriodValues:376	1.0 11.0 0.2886751345948129
org.jfree.data.time.TimePeriodValues:377	1.0 11.0 0.2886751345948129
org.jfree.data.time.Year:96	1.0 11.0 0.2886751345948129
org.jfree.data.time.Year:97	1.0 11.0 0.2886751345948129
org.jfree.data.time.Year:103	1.0 11.0 0.2886751345948129
org.jfree.data.time.Year:104	1.0 11.0 0.2886751345948129
org.jfree.data.time.Year:105	1.0 11.0 0.2886751345948129
org.jfree.data.time.Year:150	1.0 11.0 0.2886751345948129
org.jfree.data.time.Year:164	1.0 11.0 0.2886751345948129
org.jfree.data.time.Year:176	1.0 11.0 0.2886751345948129
org.jfree.data.time.Year:177	1.0 11.0 0.2886751345948129
org.jfree.data.time.Year:178	1.0 11.0 0.2886751345948129
org.jfree.data.time.Year:233	1.0 11.0 0.2886751345948129
org.jfree.data.time.Year:234	1.0 11.0 0.2886751345948129
org.jfree.data.time.Year:237	1.0 11.0 0.2886751345948129
org.jfree.data.time.Year:252	1.0 11.0 0.2886751345948129
org.jfree.data.time.Year:253	1.0 11.0 0.2886751345948129
org.jfree.data.time.Year:256	1.0 11.0 0.2886751345948129
org.jfree.data.time.RegularTimePeriod:70	1.0 12.0 0.2773500981126146
org.jfree.data.time.RegularTimePeriod:161	1.0 12.0 0.2773500981126146
org.jfree.data.time.RegularTimePeriod:182	1.0 12.0 0.2773500981126146
org.jfree.data.time.RegularTimePeriod:194	1.0 12.0 0.2773500981126146
org.jfree.data.time.TimePeriodValue:88	1.0 12.0 0.2773500981126146
org.jfree.data.time.TimePeriodValue:89	1.0 12.0 0.2773500981126146
org.jfree.data.time.TimePeriodValues:205	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:243	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:246	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:247	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:248	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:249	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:259	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:260	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:261	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:263	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:264	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:269	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:271	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:274	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:275	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:277	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:280	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:282	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:285	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:286	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:288	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:290	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:294	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:296	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:299	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:300	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:302	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:304	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:305	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:306	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:308	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:310	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:313	1.0 14.0 0.2581988897471611
