com.google.javascript.rhino.Node:1323	2.0 0.0 0.7071067811865475
com.google.javascript.jscomp.JSError:215	1.0 0.0 0.5
com.google.javascript.rhino.Node:875	2.0 3.0 0.4472135954999579
com.google.javascript.rhino.Node:876	2.0 3.0 0.4472135954999579
com.google.javascript.rhino.Node:888	2.0 3.0 0.4472135954999579
com.google.javascript.rhino.Node:889	2.0 3.0 0.4472135954999579
com.google.javascript.rhino.Node:890	2.0 3.0 0.4472135954999579
com.google.javascript.rhino.Node:908	2.0 3.0 0.4472135954999579
com.google.javascript.rhino.Node:912	2.0 3.0 0.4472135954999579
com.google.javascript.jscomp.GlobalNamespace:1040	3.0 12.0 0.3872983346207417
com.google.javascript.jscomp.GlobalNamespace:458	3.0 14.0 0.36380343755449945
com.google.javascript.jscomp.GlobalNamespace:459	3.0 14.0 0.36380343755449945
com.google.javascript.jscomp.GlobalNamespace:460	3.0 14.0 0.36380343755449945
com.google.javascript.jscomp.GlobalNamespace:461	3.0 14.0 0.36380343755449945
com.google.javascript.jscomp.GlobalNamespace:1044	3.0 14.0 0.36380343755449945
com.google.javascript.jscomp.GlobalNamespace:1048	3.0 14.0 0.36380343755449945
com.google.javascript.jscomp.GlobalNamespace:1049	3.0 14.0 0.36380343755449945
com.google.javascript.jscomp.GlobalNamespace:1050	3.0 14.0 0.36380343755449945
com.google.javascript.jscomp.CheckSideEffects:94	1.0 1.0 0.35355339059327373
com.google.javascript.jscomp.CollapseProperties:636	3.0 28.0 0.26940795304016235
com.google.javascript.jscomp.CollapseProperties:637	3.0 28.0 0.26940795304016235
com.google.javascript.jscomp.CollapseProperties:639	3.0 28.0 0.26940795304016235
com.google.javascript.jscomp.CollapseProperties:644	3.0 28.0 0.26940795304016235
com.google.javascript.jscomp.CheckSideEffects:88	1.0 3.0 0.25
com.google.javascript.jscomp.CheckSideEffects:92	1.0 3.0 0.25
com.google.javascript.jscomp.CheckSideEffects:97	1.0 3.0 0.25
com.google.javascript.jscomp.CheckSideEffects:98	1.0 3.0 0.25
com.google.javascript.jscomp.CheckSideEffects:102	1.0 3.0 0.25
com.google.javascript.jscomp.CollapseProperties:589	3.0 40.0 0.228747855498907
com.google.javascript.jscomp.CollapseProperties:588	3.0 45.0 0.21650635094610968
com.google.javascript.jscomp.CollapseProperties:592	3.0 45.0 0.21650635094610968
com.google.javascript.jscomp.CollapseProperties:594	3.0 45.0 0.21650635094610968
com.google.javascript.jscomp.CollapseProperties:597	3.0 45.0 0.21650635094610968
com.google.javascript.jscomp.CollapseProperties:601	3.0 45.0 0.21650635094610968
com.google.javascript.jscomp.CollapseProperties:602	3.0 45.0 0.21650635094610968
com.google.javascript.jscomp.CollapseProperties:603	3.0 45.0 0.21650635094610968
com.google.javascript.jscomp.CollapseProperties:606	3.0 45.0 0.21650635094610968
com.google.javascript.jscomp.CollapseProperties:634	3.0 45.0 0.21650635094610968
com.google.javascript.jscomp.CollapseProperties:647	3.0 45.0 0.21650635094610968
com.google.javascript.jscomp.GlobalNamespace:821	3.0 48.0 0.21004201260420147
com.google.javascript.jscomp.GlobalNamespace:822	3.0 48.0 0.21004201260420147
com.google.javascript.jscomp.GlobalNamespace:823	3.0 48.0 0.21004201260420147
com.google.javascript.jscomp.GlobalNamespace:824	3.0 48.0 0.21004201260420147
