com.google.javascript.jscomp.TypeInference:1042	1.0 16.0 0.17149858514250882
com.google.javascript.jscomp.JSError:203	2.0 72.0 0.1643989873053573
com.google.javascript.rhino.jstype.ModificationVisitor:95	1.0 19.0 0.15811388300841897
com.google.javascript.jscomp.TypeInference:967	1.0 47.0 0.10206207261596577
com.google.javascript.rhino.jstype.ModificationVisitor:109	1.0 47.0 0.10206207261596577
com.google.javascript.rhino.jstype.ModificationVisitor:117	1.0 47.0 0.10206207261596577
com.google.javascript.jscomp.TypeInference:1061	1.0 49.0 0.1
com.google.javascript.jscomp.TypeInference:1113	1.0 49.0 0.1
com.google.javascript.rhino.jstype.ModificationVisitor:132	1.0 63.0 0.08838834764831843
com.google.javascript.jscomp.TypeInference:1192	1.0 102.0 0.06967330142916177
com.google.javascript.jscomp.TypeInference:1198	1.0 102.0 0.06967330142916177
com.google.javascript.jscomp.TypeInference:1200	1.0 102.0 0.06967330142916177
com.google.javascript.jscomp.TypeInference:1202	1.0 102.0 0.06967330142916177
com.google.javascript.jscomp.TypeInference:1204	1.0 102.0 0.06967330142916177
com.google.javascript.jscomp.TypeInference:1206	1.0 102.0 0.06967330142916177
com.google.javascript.jscomp.TypeInference:1207	1.0 102.0 0.06967330142916177
com.google.javascript.jscomp.TypeInference:1209	1.0 102.0 0.06967330142916177
com.google.javascript.jscomp.parsing.JsDocInfoParser:2115	1.0 117.0 0.06509445549041194
com.google.javascript.jscomp.parsing.JsDocInfoParser:1983	1.0 126.0 0.06274558051381586
com.google.javascript.jscomp.parsing.JsDocInfoParser:1984	1.0 126.0 0.06274558051381586
com.google.javascript.jscomp.parsing.JsDocInfoParser:1985	1.0 126.0 0.06274558051381586
com.google.javascript.jscomp.parsing.JsDocInfoParser:2013	1.0 131.0 0.06154574548966636
com.google.javascript.jscomp.parsing.JsDocInfoParser:2014	1.0 131.0 0.06154574548966636
com.google.javascript.jscomp.parsing.JsDocInfoParser:2064	1.0 131.0 0.06154574548966636
com.google.javascript.jscomp.parsing.JsDocInfoParser:2065	1.0 131.0 0.06154574548966636
com.google.javascript.jscomp.parsing.JsDocInfoParser:2074	1.0 131.0 0.06154574548966636
com.google.javascript.jscomp.parsing.JsDocInfoParser:2108	1.0 131.0 0.06154574548966636
com.google.javascript.rhino.jstype.FunctionBuilder:136	1.0 155.0 0.05661385170722978
com.google.javascript.rhino.jstype.FunctionBuilder:137	1.0 155.0 0.05661385170722978
com.google.javascript.jscomp.parsing.JsDocInfoParser:2031	1.0 156.0 0.05643326479831003
com.google.javascript.jscomp.parsing.JsDocInfoParser:2034	1.0 156.0 0.05643326479831003
com.google.javascript.jscomp.parsing.JsDocInfoParser:1908	1.0 158.0 0.056077215409204434
com.google.javascript.jscomp.parsing.JsDocInfoParser:1909	1.0 158.0 0.056077215409204434
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:248	2.0 695.0 0.053567158400558014
com.google.javascript.rhino.jstype.FunctionBuilder:83	1.0 203.0 0.04950737714883372
com.google.javascript.rhino.jstype.FunctionBuilder:84	1.0 203.0 0.04950737714883372
com.google.javascript.jscomp.TypeCheck:1615	2.0 1006.0 0.0445435403187374
com.google.javascript.jscomp.ClosureCodingConvention:329	2.0 1086.0 0.042874646285627205
com.google.javascript.jscomp.TypeInference:881	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.TypeInference:882	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.TypeInference:887	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.TypedScopeCreator:521	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.TypedScopeCreator:522	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.TypedScopeCreator:523	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.TypedScopeCreator:1404	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.TypedScopeCreator:1406	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.TypedScopeCreator:1414	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.TypedScopeCreator:1416	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.TypedScopeCreator:1444	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.TypedScopeCreator:1446	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.TypedScopeCreator:1461	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.TypedScopeCreator:1463	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.TypedScopeCreator:1467	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.TypedScopeCreator:1469	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.TypedScopeCreator:1486	2.0 1087.0 0.04285495643554833
com.google.javascript.jscomp.parsing.JsDocTokenStream:107	1.0 291.0 0.0413802944301184
com.google.javascript.jscomp.BasicErrorManager:48	2.0 1180.0 0.04113450348948636
com.google.javascript.jscomp.JSError:115	2.0 1234.0 0.040225899335456484
com.google.javascript.jscomp.JSError:171	2.0 1234.0 0.040225899335456484
com.google.javascript.jscomp.JSError:176	2.0 1234.0 0.040225899335456484
com.google.javascript.jscomp.BasicErrorManager:106	2.0 1269.0 0.039668175187900966
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:186	2.0 1304.0 0.03913302400974161
com.google.javascript.jscomp.JSError:242	2.0 1344.0 0.03854716722458499
com.google.javascript.jscomp.JSError:154	2.0 1544.0 0.03596750006328032
com.google.javascript.jscomp.JSError:155	2.0 1544.0 0.03596750006328032
com.google.javascript.jscomp.JSError:156	2.0 1544.0 0.03596750006328032
com.google.javascript.jscomp.JSError:157	2.0 1544.0 0.03596750006328032
com.google.javascript.jscomp.JSError:158	2.0 1544.0 0.03596750006328032
com.google.javascript.jscomp.JSError:159	2.0 1544.0 0.03596750006328032
com.google.javascript.jscomp.JSError:160	2.0 1544.0 0.03596750006328032
com.google.javascript.jscomp.JSError:161	2.0 1544.0 0.03596750006328032
com.google.javascript.jscomp.JSError:162	2.0 1544.0 0.03596750006328032
com.google.javascript.jscomp.JSError:163	2.0 1544.0 0.03596750006328032
com.google.javascript.jscomp.TypeCheck:358	2.0 1626.0 0.03504998186163908
com.google.javascript.jscomp.TypeInference:543	2.0 1798.0 0.03333333333333333
com.google.javascript.rhino.jstype.PropertyMap:152	2.0 1993.0 0.03166237934306518
com.google.javascript.rhino.jstype.PropertyMap:153	2.0 1993.0 0.03166237934306518
com.google.javascript.rhino.jstype.PropertyMap:156	2.0 1993.0 0.03166237934306518
com.google.javascript.rhino.jstype.PropertyMap:157	2.0 1993.0 0.03166237934306518
com.google.javascript.rhino.jstype.PropertyMap:158	2.0 1993.0 0.03166237934306518
com.google.javascript.jscomp.FunctionTypeBuilder:535	2.0 2002.0 0.031591201180328175
com.google.javascript.rhino.jstype.PropertyMap:174	2.0 2005.0 0.031567581587358555
com.google.javascript.rhino.jstype.PropertyMap:175	2.0 2005.0 0.031567581587358555
com.google.javascript.rhino.jstype.PropertyMap:176	2.0 2005.0 0.031567581587358555
com.google.javascript.rhino.jstype.PropertyMap:177	2.0 2005.0 0.031567581587358555
com.google.javascript.rhino.jstype.PropertyMap:178	2.0 2005.0 0.031567581587358555
com.google.javascript.rhino.jstype.PropertyMap:179	2.0 2005.0 0.031567581587358555
com.google.javascript.rhino.jstype.PropertyMap:181	2.0 2005.0 0.031567581587358555
com.google.javascript.rhino.jstype.PropertyMap:186	2.0 2005.0 0.031567581587358555
com.google.javascript.rhino.jstype.ModificationVisitor:114	2.0 2019.0 0.03145805309302787
com.google.javascript.rhino.jstype.ModificationVisitor:115	2.0 2019.0 0.03145805309302787
com.google.javascript.rhino.jstype.ModificationVisitor:116	2.0 2019.0 0.03145805309302787
com.google.javascript.rhino.jstype.ModificationVisitor:119	2.0 2019.0 0.03145805309302787
com.google.javascript.rhino.jstype.ModificationVisitor:121	2.0 2019.0 0.03145805309302787
com.google.javascript.jscomp.FunctionTypeBuilder:309	2.0 2020.0 0.031450273186121945
com.google.javascript.rhino.jstype.ModificationVisitor:98	2.0 2026.0 0.03140371465106639
com.google.javascript.rhino.jstype.ModificationVisitor:100	2.0 2026.0 0.03140371465106639
com.google.javascript.rhino.jstype.ModificationVisitor:101	2.0 2026.0 0.03140371465106639
com.google.javascript.rhino.jstype.ModificationVisitor:102	2.0 2026.0 0.03140371465106639
com.google.javascript.rhino.jstype.ModificationVisitor:107	2.0 2026.0 0.03140371465106639
com.google.javascript.rhino.jstype.ModificationVisitor:112	2.0 2026.0 0.03140371465106639
com.google.javascript.rhino.jstype.ModificationVisitor:89	2.0 2047.0 0.03124237339830009
com.google.javascript.jscomp.FunctionTypeBuilder:576	2.0 2102.0 0.030831320798910367
com.google.javascript.jscomp.FunctionTypeBuilder:456	2.0 2107.0 0.030794751789719334
com.google.javascript.jscomp.FunctionTypeBuilder:460	2.0 2107.0 0.030794751789719334
com.google.javascript.jscomp.TypedScopeCreator:1286	2.0 2128.0 0.03064257065179478
com.google.javascript.jscomp.parsing.JsDocInfoParser:1900	2.0 2139.0 0.03056375179632487
com.google.javascript.jscomp.parsing.JsDocInfoParser:1901	2.0 2139.0 0.03056375179632487
com.google.javascript.rhino.jstype.TemplateTypeMapReplacer:56	2.0 2141.0 0.03054948633379918
com.google.javascript.rhino.jstype.TemplateTypeMapReplacer:69	2.0 2141.0 0.03054948633379918
com.google.javascript.rhino.jstype.TemplateType:80	2.0 2153.0 0.030464311020268867
com.google.javascript.jscomp.FunctionTypeBuilder:595	2.0 2159.0 0.030421989660145487
com.google.javascript.rhino.jstype.TemplateType:48	2.0 2159.0 0.030421989660145487
com.google.javascript.rhino.jstype.TemplateType:70	2.0 2159.0 0.030421989660145487
com.google.javascript.jscomp.TypedScopeCreator:723	2.0 2160.0 0.030414953233623677
com.google.javascript.jscomp.parsing.JsDocInfoParser:1448	2.0 2166.0 0.03037283696153935
com.google.javascript.jscomp.parsing.JsDocInfoParser:1946	2.0 2168.0 0.030358837035945812
com.google.javascript.jscomp.parsing.JsDocInfoParser:1947	2.0 2168.0 0.030358837035945812
com.google.javascript.jscomp.parsing.JsDocInfoParser:1948	2.0 2168.0 0.030358837035945812
com.google.javascript.jscomp.parsing.JsDocInfoParser:1956	2.0 2168.0 0.030358837035945812
com.google.javascript.jscomp.parsing.JsDocTokenStream:140	2.0 2168.0 0.030358837035945812
com.google.javascript.jscomp.parsing.JsDocInfoParser:1803	2.0 2171.0 0.03033787339871056
com.google.javascript.jscomp.FunctionTypeBuilder:640	2.0 2179.0 0.030282181982500447
com.google.javascript.rhino.jstype.TemplateType:60	2.0 2181.0 0.03026830698430012
com.google.javascript.jscomp.parsing.JsDocInfoParser:1405	2.0 2185.0 0.0302406141084343
com.google.javascript.jscomp.parsing.JsDocInfoParser:1411	2.0 2185.0 0.0302406141084343
com.google.javascript.jscomp.TypedScopeCreator:1195	2.0 2194.0 0.030178582014172842
com.google.javascript.jscomp.TypedScopeCreator:1196	2.0 2194.0 0.030178582014172842
com.google.javascript.jscomp.TypedScopeCreator:1198	2.0 2194.0 0.030178582014172842
com.google.javascript.rhino.jstype.UnionTypeBuilder:137	2.0 2199.0 0.03014428426242321
com.google.javascript.rhino.jstype.UnionTypeBuilder:138	2.0 2199.0 0.03014428426242321
com.google.javascript.rhino.JSDocInfo:1184	2.0 2204.0 0.03011010318298389
com.google.javascript.jscomp.FunctionTypeBuilder:635	2.0 2214.0 0.030042088406305484
com.google.javascript.jscomp.parsing.JsDocTokenStream:143	2.0 2215.0 0.030035312250043286
com.google.javascript.jscomp.parsing.JsDocTokenStream:144	2.0 2215.0 0.030035312250043286
com.google.javascript.jscomp.parsing.JsDocTokenStream:142	2.0 2234.0 0.02990743022772896
com.google.javascript.jscomp.TypedScopeCreator:720	2.0 2236.0 0.029894063777797554
com.google.javascript.jscomp.TypedScopeCreator:722	2.0 2236.0 0.029894063777797554
com.google.javascript.jscomp.TypedScopeCreator:718	2.0 2247.0 0.029820867295877664
com.google.javascript.jscomp.TypedScopeCreator:719	2.0 2247.0 0.029820867295877664
com.google.javascript.jscomp.parsing.JsDocInfoParser:1149	2.0 2268.0 0.02968260885977624
com.google.javascript.rhino.jstype.PropertyMap:133	1.0 572.0 0.02953980956336956
com.google.javascript.jscomp.parsing.JsDocTokenStream:138	2.0 2297.0 0.029494803841956824
com.google.javascript.jscomp.parsing.JsDocTokenStream:139	2.0 2297.0 0.029494803841956824
com.google.javascript.jscomp.InferJSDocInfo:170	2.0 2301.0 0.029469178464536953
com.google.javascript.jscomp.TypedScopeCreator:938	2.0 2309.0 0.029418127445752545
com.google.javascript.jscomp.TypedScopeCreator:974	2.0 2309.0 0.029418127445752545
com.google.javascript.jscomp.TypedScopeCreator:976	2.0 2309.0 0.029418127445752545
com.google.javascript.jscomp.FunctionTypeBuilder:443	2.0 2311.0 0.029405406092748724
com.google.javascript.jscomp.TypeCheck:1053	2.0 2312.0 0.029399051601892736
com.google.javascript.jscomp.TypeCheck:1054	2.0 2312.0 0.029399051601892736
com.google.javascript.jscomp.FunctionTypeBuilder:322	2.0 2314.0 0.029386354969211666
com.google.javascript.jscomp.FunctionTypeBuilder:323	2.0 2314.0 0.029386354969211666
com.google.javascript.jscomp.FunctionTypeBuilder:324	2.0 2314.0 0.029386354969211666
com.google.javascript.jscomp.TypedScopeCreator:967	2.0 2314.0 0.029386354969211666
com.google.javascript.jscomp.TypedScopeCreator:944	2.0 2316.0 0.029373674772302332
com.google.javascript.jscomp.TypedScopeCreator:1016	2.0 2316.0 0.029373674772302332
com.google.javascript.jscomp.TypedScopeCreator:1020	2.0 2316.0 0.029373674772302332
com.google.javascript.jscomp.TypedScopeCreator:1021	2.0 2316.0 0.029373674772302332
com.google.javascript.jscomp.TypedScopeCreator:1036	2.0 2316.0 0.029373674772302332
com.google.javascript.jscomp.TypedScopeCreator:1042	2.0 2316.0 0.029373674772302332
com.google.javascript.jscomp.TypedScopeCreator:558	2.0 2321.0 0.02934204595428665
com.google.javascript.jscomp.TypedScopeCreator:713	2.0 2321.0 0.02934204595428665
com.google.javascript.jscomp.TypedScopeCreator:714	2.0 2321.0 0.02934204595428665
com.google.javascript.jscomp.TypedScopeCreator:715	2.0 2321.0 0.02934204595428665
com.google.javascript.jscomp.TypedScopeCreator:716	2.0 2321.0 0.02934204595428665
com.google.javascript.jscomp.TypedScopeCreator:717	2.0 2321.0 0.02934204595428665
com.google.javascript.jscomp.TypedScopeCreator:729	2.0 2321.0 0.02934204595428665
com.google.javascript.jscomp.TypedScopeCreator:733	2.0 2321.0 0.02934204595428665
com.google.javascript.jscomp.TypedScopeCreator:735	2.0 2321.0 0.02934204595428665
com.google.javascript.jscomp.TypedScopeCreator:738	2.0 2321.0 0.02934204595428665
com.google.javascript.jscomp.TypedScopeCreator:1341	2.0 2321.0 0.02934204595428665
com.google.javascript.jscomp.TypeInference:431	2.0 2322.0 0.02933573244244288
com.google.javascript.jscomp.TypedScopeCreator:1006	2.0 2335.0 0.02925402590524127
com.google.javascript.rhino.JSTypeExpression:90	2.0 2343.0 0.029204083016228455
com.google.javascript.rhino.JSTypeExpression:97	2.0 2345.0 0.029191637209988307
com.google.javascript.jscomp.TypedScopeCreator:842	2.0 2352.0 0.02914820186645445
com.google.javascript.jscomp.parsing.JsDocInfoParser:1872	2.0 2359.0 0.029104959835001235
com.google.javascript.jscomp.TypedScopeCreator:240	2.0 2362.0 0.029086486358157505
com.google.javascript.jscomp.TypedScopeCreator:241	2.0 2362.0 0.029086486358157505
com.google.javascript.jscomp.TypedScopeCreator:242	2.0 2362.0 0.029086486358157505
com.google.javascript.jscomp.TypedScopeCreator:243	2.0 2362.0 0.029086486358157505
com.google.javascript.jscomp.TypedScopeCreator:244	2.0 2362.0 0.029086486358157505
com.google.javascript.jscomp.TypedScopeCreator:249	2.0 2362.0 0.029086486358157505
com.google.javascript.jscomp.TypedScopeCreator:527	2.0 2362.0 0.029086486358157505
com.google.javascript.jscomp.TypedScopeCreator:711	2.0 2366.0 0.02906190968595482
com.google.javascript.jscomp.parsing.JsDocInfoParser:788	2.0 2394.0 0.028891599832849384
com.google.javascript.rhino.jstype.FunctionType:324	2.0 2394.0 0.028891599832849384
com.google.javascript.jscomp.TypedScopeCreator:927	2.0 2410.0 0.02879561418604534
com.google.javascript.rhino.jstype.NullType:84	2.0 2425.0 0.028706491056201655
com.google.javascript.jscomp.TypeInference:159	2.0 2428.0 0.02868876552746235
com.google.javascript.jscomp.TypeInference:164	2.0 2428.0 0.02868876552746235
com.google.javascript.jscomp.TypedScopeCreator:2057	2.0 2428.0 0.02868876552746235
com.google.javascript.jscomp.TypedScopeCreator:2059	2.0 2428.0 0.02868876552746235
com.google.javascript.jscomp.TypedScopeCreator:2061	2.0 2428.0 0.02868876552746235
com.google.javascript.jscomp.TypedScopeCreator:2071	2.0 2428.0 0.02868876552746235
