com.google.javascript.jscomp.TypedScopeCreator:1805	1.0 11.0 0.2886751345948129
com.google.javascript.jscomp.parsing.JsDocInfoParser:951	1.0 45.0 0.14744195615489714
com.google.javascript.jscomp.TypedScopeCreator:1845	1.0 48.0 0.14285714285714285
com.google.javascript.jscomp.TypedScopeCreator:1314	1.0 57.0 0.13130643285972254
com.google.javascript.rhino.JSDocInfoBuilder:260	1.0 60.0 0.12803687993289598
com.google.javascript.jscomp.TypedScopeCreator:1824	1.0 61.0 0.1270001270001905
com.google.javascript.jscomp.TypedScopeCreator:1828	1.0 61.0 0.1270001270001905
com.google.javascript.jscomp.TypedScopeCreator:1829	1.0 61.0 0.1270001270001905
com.google.javascript.jscomp.TypedScopeCreator:1830	1.0 61.0 0.1270001270001905
com.google.javascript.jscomp.TypedScopeCreator:1832	1.0 61.0 0.1270001270001905
com.google.javascript.jscomp.TypedScopeCreator:1835	1.0 61.0 0.1270001270001905
com.google.javascript.jscomp.TypedScopeCreator:1837	1.0 61.0 0.1270001270001905
com.google.javascript.jscomp.TypedScopeCreator:1838	1.0 61.0 0.1270001270001905
com.google.javascript.jscomp.TypedScopeCreator:1841	1.0 61.0 0.1270001270001905
com.google.javascript.jscomp.TypedScopeCreator:1842	1.0 61.0 0.1270001270001905
com.google.javascript.jscomp.TypedScopeCreator:1850	1.0 61.0 0.1270001270001905
com.google.javascript.jscomp.TypedScopeCreator:1299	1.0 85.0 0.10783277320343841
com.google.javascript.jscomp.TypedScopeCreator:1300	1.0 85.0 0.10783277320343841
com.google.javascript.jscomp.TypedScopeCreator:1307	1.0 85.0 0.10783277320343841
com.google.javascript.jscomp.TypedScopeCreator:1308	1.0 85.0 0.10783277320343841
com.google.javascript.jscomp.TypedScopeCreator:1813	1.0 190.0 0.07235746052924216
com.google.javascript.jscomp.TypedScopeCreator:1818	1.0 190.0 0.07235746052924216
com.google.javascript.jscomp.TypedScopeCreator:1798	1.0 260.0 0.061898446059017294
com.google.javascript.jscomp.TypedScopeCreator:1799	1.0 260.0 0.061898446059017294
com.google.javascript.jscomp.NodeUtil:2400	1.0 447.0 0.0472455591261534
com.google.javascript.jscomp.NodeUtil:2404	1.0 447.0 0.0472455591261534
com.google.javascript.jscomp.NodeUtil:2399	1.0 540.0 0.04299335803923478
com.google.javascript.jscomp.NodeUtil:2401	1.0 540.0 0.04299335803923478
com.google.javascript.jscomp.NodeUtil:2402	1.0 540.0 0.04299335803923478
com.google.javascript.jscomp.TypeInference:114	1.0 944.0 0.03253000243161777
com.google.javascript.jscomp.TypeInference:107	1.0 949.0 0.03244428422615251
com.google.javascript.jscomp.TypeInference:108	1.0 949.0 0.03244428422615251
com.google.javascript.jscomp.TypedScopeCreator:827	1.0 1126.0 0.029787773436724965
com.google.javascript.jscomp.TypedScopeCreator:245	1.0 1149.0 0.029488391230979426
com.google.javascript.jscomp.TypedScopeCreator:1791	1.0 1149.0 0.029488391230979426
com.google.javascript.jscomp.TypedScopeCreator:1792	1.0 1149.0 0.029488391230979426
com.google.javascript.jscomp.TypedScopeCreator:1793	1.0 1149.0 0.029488391230979426
com.google.javascript.jscomp.TypedScopeCreator:1797	1.0 1149.0 0.029488391230979426
com.google.javascript.jscomp.TypedScopeCreator:1809	1.0 1149.0 0.029488391230979426
com.google.javascript.jscomp.BasicErrorManager:48	1.0 1360.0 0.027106343491104655
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:219	1.0 1504.0 0.02577696311132335
com.google.javascript.jscomp.TypedScopeCreator:1377	1.0 1512.0 0.02570872483645304
com.google.javascript.jscomp.TypedScopeCreator:1348	1.0 1520.0 0.02564102564102564
com.google.javascript.jscomp.JSError:115	1.0 1521.0 0.0256326007925508
com.google.javascript.jscomp.JSError:171	1.0 1529.0 0.025565499628245683
com.google.javascript.jscomp.JSError:176	1.0 1529.0 0.025565499628245683
com.google.javascript.jscomp.TypedScopeCreator:1333	1.0 1558.0 0.02532660297934526
com.google.javascript.jscomp.LinkedFlowScope:105	1.0 1561.0 0.025302269968462875
com.google.javascript.jscomp.LinkedFlowScope:106	1.0 1561.0 0.025302269968462875
com.google.javascript.jscomp.LinkedFlowScope:107	1.0 1561.0 0.025302269968462875
com.google.javascript.rhino.jstype.SimpleSlot:58	1.0 1587.0 0.02509428066142478
com.google.javascript.rhino.jstype.SimpleSlot:59	1.0 1587.0 0.02509428066142478
com.google.javascript.rhino.jstype.SimpleSlot:60	1.0 1587.0 0.02509428066142478
com.google.javascript.rhino.jstype.SimpleSlot:61	1.0 1587.0 0.02509428066142478
com.google.javascript.rhino.jstype.SimpleSlot:62	1.0 1587.0 0.02509428066142478
com.google.javascript.jscomp.TypeCheck:358	1.0 1618.0 0.02485287157347833
com.google.javascript.jscomp.BasicErrorManager:106	1.0 1620.0 0.024837535026770382
com.google.javascript.jscomp.JSError:242	1.0 1731.0 0.024028466566610635
com.google.javascript.jscomp.JSError:179	1.0 1973.0 0.022507456830317185
com.google.javascript.jscomp.ComposeWarningsGuard:113	1.0 2004.0 0.02233278122417767
com.google.javascript.jscomp.JSError:154	1.0 2009.0 0.022304986837273527
com.google.javascript.jscomp.JSError:155	1.0 2009.0 0.022304986837273527
com.google.javascript.jscomp.JSError:156	1.0 2009.0 0.022304986837273527
com.google.javascript.jscomp.JSError:157	1.0 2009.0 0.022304986837273527
com.google.javascript.jscomp.JSError:158	1.0 2009.0 0.022304986837273527
com.google.javascript.jscomp.JSError:159	1.0 2009.0 0.022304986837273527
com.google.javascript.jscomp.JSError:160	1.0 2009.0 0.022304986837273527
com.google.javascript.jscomp.JSError:161	1.0 2009.0 0.022304986837273527
com.google.javascript.jscomp.JSError:162	1.0 2009.0 0.022304986837273527
com.google.javascript.jscomp.JSError:163	1.0 2009.0 0.022304986837273527
com.google.javascript.rhino.jstype.PropertyMap:153	1.0 2062.0 0.02201660678463551
com.google.javascript.rhino.jstype.PropertyMap:156	1.0 2062.0 0.02201660678463551
com.google.javascript.rhino.jstype.PropertyMap:157	1.0 2062.0 0.02201660678463551
com.google.javascript.rhino.jstype.PropertyMap:158	1.0 2062.0 0.02201660678463551
com.google.javascript.rhino.jstype.PropertyMap:174	1.0 2074.0 0.021952851997938068
com.google.javascript.rhino.jstype.PropertyMap:176	1.0 2074.0 0.021952851997938068
com.google.javascript.rhino.jstype.PropertyMap:177	1.0 2074.0 0.021952851997938068
com.google.javascript.rhino.jstype.PropertyMap:178	1.0 2074.0 0.021952851997938068
