com.google.javascript.jscomp.parsing.JsDocTokenStream:108	1.0 7.0 0.35355339059327373
com.google.javascript.jscomp.CreateSyntheticBlocks:35	1.0 15.0 0.25
com.google.javascript.jscomp.CreateSyntheticBlocks:38	1.0 15.0 0.25
com.google.javascript.jscomp.CreateSyntheticBlocks:41	1.0 15.0 0.25
com.google.javascript.jscomp.CreateSyntheticBlocks:56	1.0 15.0 0.25
com.google.javascript.jscomp.CreateSyntheticBlocks:58	1.0 15.0 0.25
com.google.javascript.jscomp.CreateSyntheticBlocks:70	1.0 15.0 0.25
com.google.javascript.jscomp.CreateSyntheticBlocks:71	1.0 15.0 0.25
com.google.javascript.jscomp.CreateSyntheticBlocks:72	1.0 15.0 0.25
com.google.javascript.jscomp.CreateSyntheticBlocks:73	1.0 15.0 0.25
com.google.javascript.jscomp.CreateSyntheticBlocks:74	1.0 15.0 0.25
com.google.javascript.jscomp.CreateSyntheticBlocks:79	1.0 15.0 0.25
com.google.javascript.jscomp.CreateSyntheticBlocks:82	1.0 15.0 0.25
com.google.javascript.jscomp.CreateSyntheticBlocks:90	1.0 15.0 0.25
com.google.javascript.jscomp.CreateSyntheticBlocks:93	1.0 15.0 0.25
com.google.javascript.jscomp.CreateSyntheticBlocks:168	1.0 15.0 0.25
com.google.javascript.jscomp.CodeGenerator:910	1.0 77.0 0.11322770341445956
com.google.javascript.jscomp.CodeGenerator:911	1.0 77.0 0.11322770341445956
com.google.javascript.jscomp.CodeGenerator:912	1.0 77.0 0.11322770341445956
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:234	1.0 88.0 0.105999788000636
com.google.javascript.jscomp.WarningLevel:39	1.0 91.0 0.10425720702853739
com.google.javascript.jscomp.WarningLevel:40	1.0 91.0 0.10425720702853739
com.google.javascript.jscomp.DefaultPassConfig:354	1.0 96.0 0.10153461651336192
com.google.javascript.jscomp.DefaultPassConfig:459	1.0 96.0 0.10153461651336192
com.google.javascript.jscomp.DefaultPassConfig:688	1.0 96.0 0.10153461651336192
com.google.javascript.jscomp.DefaultPassConfig:706	1.0 96.0 0.10153461651336192
com.google.javascript.jscomp.CompilerOptions:1239	1.0 96.0 0.10153461651336192
com.google.javascript.jscomp.CompilerOptions:1240	1.0 96.0 0.10153461651336192
com.google.javascript.jscomp.CompilerOptions:1241	1.0 96.0 0.10153461651336192
com.google.javascript.jscomp.CompilerOptions:1261	1.0 96.0 0.10153461651336192
com.google.javascript.jscomp.CompilerOptions:1262	1.0 96.0 0.10153461651336192
com.google.javascript.jscomp.CompilerOptions:1263	1.0 96.0 0.10153461651336192
com.google.javascript.jscomp.CompilerOptions:1298	1.0 96.0 0.10153461651336192
com.google.javascript.jscomp.CompilerOptions:1299	1.0 96.0 0.10153461651336192
com.google.javascript.jscomp.CompilerOptions:1300	1.0 96.0 0.10153461651336192
com.google.javascript.jscomp.CompilationLevel:59	1.0 96.0 0.10153461651336192
com.google.javascript.jscomp.CompilationLevel:60	1.0 96.0 0.10153461651336192
com.google.javascript.jscomp.CompilationLevel:93	1.0 96.0 0.10153461651336192
com.google.javascript.jscomp.CompilationLevel:97	1.0 96.0 0.10153461651336192
