com.google.javascript.jscomp.parsing.IRFactory:1411	1.0 0.0 1.0
com.google.javascript.jscomp.NodeUtil:2155	1.0 2.0 0.5773502691896258
com.google.javascript.jscomp.AbstractPeepholeOptimization:111	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:776	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:777	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:784	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:785	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:786	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:787	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:788	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:790	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:791	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:793	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:794	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:795	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:797	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:775	1.0 5.0 0.4082482904638631
com.google.javascript.jscomp.NodeUtil:1193	1.0 7.0 0.35355339059327373
com.google.javascript.jscomp.CodeGenerator:503	1.0 8.0 0.3333333333333333
com.google.javascript.jscomp.CodeGenerator:504	1.0 8.0 0.3333333333333333
com.google.javascript.jscomp.CodeGenerator:505	1.0 8.0 0.3333333333333333
com.google.javascript.jscomp.CodeGenerator:508	1.0 8.0 0.3333333333333333
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:771	1.0 8.0 0.3333333333333333
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:772	1.0 8.0 0.3333333333333333
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:773	1.0 8.0 0.3333333333333333
com.google.javascript.rhino.IR:341	1.0 10.0 0.30151134457776363
com.google.javascript.rhino.IR:342	1.0 10.0 0.30151134457776363
com.google.javascript.rhino.IR:343	1.0 10.0 0.30151134457776363
com.google.javascript.rhino.IR:344	1.0 10.0 0.30151134457776363
com.google.javascript.jscomp.NodeUtil:769	1.0 11.0 0.2886751345948129
com.google.javascript.jscomp.CodeGenerator:278	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.CodeGenerator:279	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.CodeGenerator:280	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.CodeGenerator:281	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.CodeGenerator:282	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.CodeGenerator:283	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.CodeGenerator:284	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.CodeGenerator:285	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.CodeGenerator:483	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.CodeGenerator:486	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.CodeGenerator:487	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.CodeGenerator:488	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.CodeGenerator:489	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.CodeGenerator:490	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.NodeUtil:1184	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.AstValidator:223	1.0 14.0 0.2581988897471611
com.google.javascript.jscomp.AstValidator:224	1.0 14.0 0.2581988897471611
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:238	1.0 14.0 0.2581988897471611
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:234	1.0 18.0 0.22941573387056174
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:913	1.0 25.0 0.19611613513818404
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:989	1.0 25.0 0.19611613513818404
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:990	1.0 25.0 0.19611613513818404
com.google.javascript.jscomp.parsing.IRFactory:1479	1.0 26.0 0.19245008972987526
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:963	1.0 26.0 0.19245008972987526
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:964	1.0 26.0 0.19245008972987526
com.google.javascript.jscomp.NodeUtil:755	1.0 28.0 0.18569533817705186
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:749	1.0 31.0 0.17677669529663687
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:767	1.0 31.0 0.17677669529663687
