com.google.javascript.jscomp.PeepholeFoldConstants:1061	3.0 0.0 1.0
com.google.javascript.jscomp.PeepholeFoldConstants:930	2.0 0.0 0.8164965809277261
com.google.javascript.jscomp.PeepholeFoldConstants:940	2.0 0.0 0.8164965809277261
com.google.javascript.jscomp.PeepholeFoldConstants:941	2.0 0.0 0.8164965809277261
com.google.javascript.jscomp.NodeUtil:2128	3.0 3.0 0.7071067811865476
com.google.javascript.jscomp.PeepholeFoldConstants:1133	2.0 1.0 0.6666666666666666
com.google.javascript.jscomp.NodeUtil:2127	2.0 1.0 0.6666666666666666
com.google.javascript.jscomp.NodeUtil:2131	2.0 1.0 0.6666666666666666
com.google.javascript.jscomp.NodeUtil:1124	3.0 5.0 0.6123724356957946
com.google.javascript.jscomp.PeepholeFoldConstants:911	2.0 2.0 0.5773502691896258
com.google.javascript.jscomp.PeepholeFoldConstants:913	2.0 2.0 0.5773502691896258
com.google.javascript.jscomp.PeepholeFoldConstants:916	2.0 2.0 0.5773502691896258
com.google.javascript.jscomp.PeepholeFoldConstants:918	2.0 2.0 0.5773502691896258
com.google.javascript.jscomp.PeepholeFoldConstants:924	2.0 2.0 0.5773502691896258
com.google.javascript.jscomp.PeepholeFoldConstants:925	2.0 2.0 0.5773502691896258
com.google.javascript.jscomp.PeepholeFoldConstants:1026	2.0 2.0 0.5773502691896258
com.google.javascript.jscomp.PeepholeFoldConstants:1027	2.0 2.0 0.5773502691896258
com.google.javascript.jscomp.PeepholeFoldConstants:1131	2.0 2.0 0.5773502691896258
com.google.javascript.jscomp.PeepholeFoldConstants:990	1.0 0.0 0.5773502691896258
com.google.javascript.jscomp.NodeUtil:2130	2.0 2.0 0.5773502691896258
com.google.javascript.jscomp.NodeUtil:2134	1.0 0.0 0.5773502691896258
com.google.javascript.jscomp.NodeUtil:270	1.0 0.0 0.5773502691896258
com.google.javascript.jscomp.NodeUtil:273	1.0 0.0 0.5773502691896258
com.google.javascript.jscomp.NodeUtil:325	1.0 0.0 0.5773502691896258
com.google.javascript.jscomp.NodeUtil:357	1.0 0.0 0.5773502691896258
com.google.javascript.jscomp.NodeUtil:358	1.0 0.0 0.5773502691896258
