com.google.javascript.jscomp.NodeUtil:346	3.0 3.0 0.7071067811865476
com.google.javascript.jscomp.ProcessDefines:407	2.0 5.0 0.4364357804719848
com.google.javascript.jscomp.NodeUtil:337	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:342	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:343	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.ProcessDefines:148	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.ProcessDefines:149	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:321	3.0 32.0 0.29277002188455997
com.google.javascript.jscomp.JSError:189	2.0 22.0 0.23570226039551587
com.google.javascript.jscomp.JSError:71	1.0 5.0 0.23570226039551587
com.google.javascript.jscomp.ProcessDefines:281	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:242	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:246	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:254	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:278	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:279	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:280	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:284	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:285	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:286	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:292	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:405	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:432	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:443	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:468	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:469	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:470	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:471	2.0 33.0 0.19518001458970666
com.google.javascript.jscomp.ProcessDefines:176	2.0 101.0 0.11377602479771486
com.google.javascript.jscomp.ProcessDefines:204	2.0 101.0 0.11377602479771486
com.google.javascript.jscomp.NodeUtil:326	1.0 29.0 0.10540925533894598
com.google.javascript.jscomp.ProcessDefines:60	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:100	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:101	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:102	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:103	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:111	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:112	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:116	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:119	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:120	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:123	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:124	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:140	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:144	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:145	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:146	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:147	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:150	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:174	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:175	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:206	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:207	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:208	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:224	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:231	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:232	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:233	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:235	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:236	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:237	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:240	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:241	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:255	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:262	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:271	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:272	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:276	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:277	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:318	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:325	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:338	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:358	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:359	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:369	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.ProcessDefines:384	2.0 119.0 0.1049727762162956
com.google.javascript.jscomp.GlobalNamespace:250	2.0 261.0 0.07120188545089044
com.google.javascript.jscomp.GlobalNamespace:251	2.0 261.0 0.07120188545089044
com.google.javascript.jscomp.GlobalNamespace:254	2.0 261.0 0.07120188545089044
com.google.javascript.jscomp.GlobalNamespace:266	2.0 282.0 0.06851887098275317
com.google.javascript.jscomp.GlobalNamespace:793	2.0 308.0 0.06558258357839529
com.google.javascript.jscomp.GlobalNamespace:314	2.0 308.0 0.06558258357839529
com.google.javascript.jscomp.GlobalNamespace:776	2.0 308.0 0.06558258357839529
com.google.javascript.jscomp.GlobalNamespace:777	2.0 308.0 0.06558258357839529
com.google.javascript.jscomp.GlobalNamespace:795	2.0 308.0 0.06558258357839529
com.google.javascript.jscomp.GlobalNamespace:797	2.0 308.0 0.06558258357839529
com.google.javascript.jscomp.GlobalNamespace:801	2.0 308.0 0.06558258357839529
com.google.javascript.jscomp.GlobalNamespace:1013	2.0 308.0 0.06558258357839529
com.google.javascript.jscomp.GlobalNamespace:1015	2.0 308.0 0.06558258357839529
com.google.javascript.jscomp.GlobalNamespace:153	2.0 329.0 0.06346808159753768
com.google.javascript.jscomp.GlobalNamespace:157	2.0 329.0 0.06346808159753768
com.google.javascript.jscomp.GlobalNamespace:226	2.0 329.0 0.06346808159753768
com.google.javascript.jscomp.GlobalNamespace:227	2.0 329.0 0.06346808159753768
com.google.javascript.jscomp.GlobalNamespace:756	2.0 329.0 0.06346808159753768
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:144	3.0 947.0 0.056195148694901643
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:257	3.0 950.0 0.05610662910931732
com.google.javascript.jscomp.JSError:113	2.0 1092.0 0.03491087285168191
com.google.javascript.jscomp.JSError:157	2.0 1092.0 0.03491087285168191
com.google.javascript.jscomp.JSError:162	2.0 1092.0 0.03491087285168191
com.google.javascript.jscomp.BasicErrorManager:99	2.0 1211.0 0.03315423167212019
com.google.javascript.jscomp.NodeTraversal:407	2.0 1295.0 0.03206264749164882
com.google.javascript.jscomp.CompilerInput:282	2.0 1322.0 0.03173404079876884
com.google.javascript.jscomp.JSError:141	2.0 1348.0 0.03142696805273545
com.google.javascript.jscomp.JSError:142	2.0 1348.0 0.03142696805273545
com.google.javascript.jscomp.JSError:143	2.0 1348.0 0.03142696805273545
com.google.javascript.jscomp.JSError:144	2.0 1348.0 0.03142696805273545
com.google.javascript.jscomp.JSError:145	2.0 1348.0 0.03142696805273545
com.google.javascript.jscomp.JSError:146	2.0 1348.0 0.03142696805273545
com.google.javascript.jscomp.JSError:147	2.0 1348.0 0.03142696805273545
com.google.javascript.jscomp.JSError:148	2.0 1348.0 0.03142696805273545
com.google.javascript.jscomp.JSError:149	2.0 1348.0 0.03142696805273545
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:265	3.0 3558.0 0.029025161208007102
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:266	3.0 3558.0 0.029025161208007102
