org.apache.commons.lang3.time.FastDateFormat:655	1.0 0.0 1.0
org.apache.commons.lang3.time.FastDateFormat:1130	1.0 1.0 0.7071067811865475
org.apache.commons.lang3.time.FastDateFormat:1131	1.0 1.0 0.7071067811865475
org.apache.commons.lang3.time.FastDateFormat:1171	1.0 1.0 0.7071067811865475
org.apache.commons.lang3.time.FastDateFormat:1172	1.0 1.0 0.7071067811865475
org.apache.commons.lang3.time.FastDateFormat:820	1.0 30.0 0.1796053020267749
org.apache.commons.lang3.time.FastDateFormat:821	1.0 30.0 0.1796053020267749
org.apache.commons.lang3.time.FastDateFormat:822	1.0 30.0 0.1796053020267749
org.apache.commons.lang3.time.FastDateFormat:196	1.0 35.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateFormat:738	1.0 35.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateFormat:743	1.0 35.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateFormat:1115	1.0 35.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateFormat:1116	1.0 35.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateFormat:1117	1.0 35.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateFormat:1123	1.0 35.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateFormat:1348	1.0 35.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateFormat:1349	1.0 35.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateFormat:1355	1.0 35.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateFormat:1356	1.0 35.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateFormat:1357	1.0 35.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateFormat:1361	1.0 35.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateFormat:1148	1.0 36.0 0.1643989873053573
org.apache.commons.lang3.time.FastDateFormat:1149	1.0 36.0 0.1643989873053573
org.apache.commons.lang3.time.FastDateFormat:1150	1.0 36.0 0.1643989873053573
org.apache.commons.lang3.time.FastDateFormat:1151	1.0 36.0 0.1643989873053573
org.apache.commons.lang3.time.FastDateFormat:1157	1.0 36.0 0.1643989873053573
org.apache.commons.lang3.time.FastDateFormat:1158	1.0 36.0 0.1643989873053573
org.apache.commons.lang3.time.FastDateFormat:1159	1.0 36.0 0.1643989873053573
org.apache.commons.lang3.time.FastDateFormat:1161	1.0 36.0 0.1643989873053573
org.apache.commons.lang3.time.FastDateFormat:1163	1.0 36.0 0.1643989873053573
org.apache.commons.lang3.time.FastDateFormat:1164	1.0 36.0 0.1643989873053573
org.apache.commons.lang3.time.FastDateFormat:888	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.time.FastDateFormat:889	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.time.FastDateFormat:890	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.time.FastDateFormat:891	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.time.FastDateFormat:893	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.time.FastDateFormat:543	1.0 45.0 0.14744195615489714
org.apache.commons.lang3.time.FastDateFormat:771	1.0 45.0 0.14744195615489714
org.apache.commons.lang3.time.FastDateFormat:1333	1.0 45.0 0.14744195615489714
org.apache.commons.lang3.time.FastDateFormat:1334	1.0 45.0 0.14744195615489714
org.apache.commons.lang3.time.FastDateFormat:1335	1.0 45.0 0.14744195615489714
org.apache.commons.lang3.time.FastDateFormat:1341	1.0 45.0 0.14744195615489714
org.apache.commons.lang3.time.FastDateFormat:111	1.0 46.0 0.14586499149789456
org.apache.commons.lang3.time.FastDateFormat:112	1.0 46.0 0.14586499149789456
org.apache.commons.lang3.time.FastDateFormat:113	1.0 46.0 0.14586499149789456
org.apache.commons.lang3.time.FastDateFormat:114	1.0 46.0 0.14586499149789456
org.apache.commons.lang3.time.FastDateFormat:115	1.0 46.0 0.14586499149789456
org.apache.commons.lang3.time.FastDateFormat:213	1.0 46.0 0.14586499149789456
org.apache.commons.lang3.time.FastDateFormat:214	1.0 46.0 0.14586499149789456
org.apache.commons.lang3.time.FastDateFormat:215	1.0 46.0 0.14586499149789456
org.apache.commons.lang3.time.FastDateFormat:216	1.0 46.0 0.14586499149789456
org.apache.commons.lang3.time.FastDateFormat:217	1.0 46.0 0.14586499149789456
org.apache.commons.lang3.time.FastDateFormat:220	1.0 46.0 0.14586499149789456
org.apache.commons.lang3.time.FastDateFormat:535	1.0 46.0 0.14586499149789456
org.apache.commons.lang3.time.FastDateFormat:536	1.0 46.0 0.14586499149789456
org.apache.commons.lang3.time.FastDateFormat:539	1.0 46.0 0.14586499149789456
org.apache.commons.lang3.time.FastDateFormat:542	1.0 46.0 0.14586499149789456
org.apache.commons.lang3.time.FastDateFormat:545	1.0 46.0 0.14586499149789456
