org.apache.commons.lang3.builder.HashCodeBuilder:174	1.0 0.0 1.0
org.apache.commons.lang3.builder.HashCodeBuilder:400	1.0 3.0 0.5
org.apache.commons.lang3.builder.HashCodeBuilder:137	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:152	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:173	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:177	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:178	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:179	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:180	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:181	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:186	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:187	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:192	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:196	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:197	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:198	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:360	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:361	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:362	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:363	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:364	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:366	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:522	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:523	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:538	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:539	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:107	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:55	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:59	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:63	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:67	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:71	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:75	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:79	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:83	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:87	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:91	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:95	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:99	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:103	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:107	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:111	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:115	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:119	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:123	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:127	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:1627	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:1645	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:1646	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.ArrayUtils:1730	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.IDKey:40	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.IDKey:42	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.IDKey:46	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.IDKey:47	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.IDKey:55	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.IDKey:65	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.IDKey:68	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.IDKey:69	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.IDKey:73	1.0 7.0 0.35355339059327373
org.apache.commons.lang3.builder.HashCodeBuilder:359	1.0 11.0 0.2886751345948129
org.apache.commons.lang3.builder.HashCodeBuilder:356	1.0 12.0 0.2773500981126146
org.apache.commons.lang3.builder.HashCodeBuilder:883	1.0 12.0 0.2773500981126146
org.apache.commons.lang3.builder.HashCodeBuilder:855	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.builder.HashCodeBuilder:859	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.builder.HashCodeBuilder:886	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.builder.HashCodeBuilder:585	1.0 37.0 0.16222142113076254
