org.apache.commons.lang.text.StrBuilder:158	2.0 3.0 0.6324555320336759
org.apache.commons.lang.text.StrBuilder:1183	1.0 2.0 0.4082482904638631
org.apache.commons.lang.text.StrBuilder:1184	1.0 2.0 0.4082482904638631
org.apache.commons.lang.text.StrBuilder:1185	1.0 2.0 0.4082482904638631
org.apache.commons.lang.text.StrBuilder:1186	1.0 2.0 0.4082482904638631
org.apache.commons.lang.text.StrBuilder:1227	1.0 3.0 0.35355339059327373
org.apache.commons.lang.text.StrBuilder:1228	1.0 3.0 0.35355339059327373
org.apache.commons.lang.text.StrBuilder:1229	1.0 3.0 0.35355339059327373
org.apache.commons.lang.text.StrBuilder:1230	1.0 3.0 0.35355339059327373
org.apache.commons.lang.text.StrBuilder:98	2.0 141.0 0.11826247919781652
org.apache.commons.lang.text.StrBuilder:99	2.0 141.0 0.11826247919781652
org.apache.commons.lang.text.StrBuilder:107	2.0 144.0 0.11704114719613057
org.apache.commons.lang.text.StrBuilder:111	2.0 144.0 0.11704114719613057
org.apache.commons.lang.text.StrBuilder:112	2.0 144.0 0.11704114719613057
org.apache.commons.lang.text.StrMatcher:37	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:41	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:45	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:50	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:54	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:58	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:62	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:66	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:70	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:216	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:217	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:317	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:318	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:319	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:284	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:285	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:286	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:287	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:386	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:387	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrMatcher:413	2.0 161.0 0.11076975512434226
