org.apache.commons.lang.builder.EqualsBuilder:372	1.0 15.0 0.25
org.apache.commons.lang.builder.EqualsBuilder:368	1.0 45.0 0.14744195615489714
org.apache.commons.lang.builder.EqualsBuilder:371	1.0 45.0 0.14744195615489714
org.apache.commons.lang.builder.EqualsBuilder:831	1.0 61.0 0.1270001270001905
org.apache.commons.lang.builder.EqualsBuilder:92	1.0 62.0 0.1259881576697424
org.apache.commons.lang.builder.EqualsBuilder:100	1.0 62.0 0.1259881576697424
org.apache.commons.lang.builder.EqualsBuilder:102	1.0 62.0 0.1259881576697424
org.apache.commons.lang.builder.EqualsBuilder:381	0 19.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:374	0 45.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:378	0 45.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:379	0 45.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:408	0 45.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:375	0.0 4.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:376	0.0 4.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:382	0 33.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:384	0 2.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:388	0 33.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:389	0 6.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:390	0 28.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:391	0 4.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:392	0 25.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:393	0 4.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:394	0 22.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:395	0 7.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:396	0 16.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:397	0 4.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:398	0 13.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:399	0 4.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:400	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:401	0 4.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:402	0 7.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:403	0 4.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:406	0 4.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:423	0 13.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:426	0 13.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:427	0 13.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:438	0 11.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:441	0 11.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:442	0 11.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:453	0 6.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:456	0 6.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:457	0 6.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:468	0 9.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:471	0 9.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:472	0 9.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:483	0 6.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:486	0 6.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:487	0 6.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:504	0 6.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:507	0 6.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:524	0 6.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:527	0 6.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:538	0 6.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:541	0 6.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:542	0 6.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:556	0 17.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:559	0 17.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:562	0 17.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:566	0 17.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:570	0 17.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:571	0 17.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:573	0 17.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:587	0 7.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:590	0 7.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:593	0 7.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:597	0 7.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:601	0 7.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:602	0 7.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:604	0 7.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:618	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:621	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:624	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:628	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:632	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:633	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:635	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:649	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:652	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:655	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:659	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:663	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:664	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:666	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:680	0 8.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:683	0 8.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:686	0 8.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:690	0 8.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:694	0 8.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:695	0 8.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:697	0 8.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:711	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:714	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:717	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:721	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:725	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:726	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:728	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:742	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:745	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:748	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:752	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:756	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:757	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:759	0 5.0 0.0
