org.apache.commons.lang3.StringEscapeUtils:556	1.0 1.0 0.7071067811865475
org.apache.commons.lang3.StringEscapeUtils:156	1.0 2.0 0.5773502691896258
org.apache.commons.lang3.StringEscapeUtils:160	1.0 2.0 0.5773502691896258
org.apache.commons.lang3.StringEscapeUtils:161	1.0 2.0 0.5773502691896258
org.apache.commons.lang3.StringEscapeUtils:167	1.0 2.0 0.5773502691896258
org.apache.commons.lang3.StringUtils:1737	1.0 2.0 0.5773502691896258
org.apache.commons.lang3.StringUtils:1740	1.0 2.0 0.5773502691896258
org.apache.commons.lang3.StringUtils:1741	1.0 2.0 0.5773502691896258
org.apache.commons.lang3.StringUtils:1742	1.0 2.0 0.5773502691896258
org.apache.commons.lang3.StringUtils:1743	1.0 2.0 0.5773502691896258
org.apache.commons.lang3.StringUtils:1744	1.0 2.0 0.5773502691896258
org.apache.commons.lang3.StringUtils:1745	1.0 2.0 0.5773502691896258
org.apache.commons.lang3.StringUtils:1746	1.0 2.0 0.5773502691896258
org.apache.commons.lang3.StringUtils:1747	1.0 2.0 0.5773502691896258
org.apache.commons.lang3.StringUtils:1763	1.0 2.0 0.5773502691896258
org.apache.commons.lang3.StringEscapeUtils:52	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:72	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:94	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:109	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:124	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:140	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:183	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:206	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:217	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:233	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:250	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:266	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:145	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:149	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:150	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:268	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:272	1.0 24.0 0.2
org.apache.commons.lang3.StringEscapeUtils:273	1.0 24.0 0.2
org.apache.commons.lang3.ArrayUtils:320	1.0 24.0 0.2
org.apache.commons.lang3.ArrayUtils:323	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.AggregateTranslator:40	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.AggregateTranslator:41	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.AggregateTranslator:42	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.CharSequenceTranslator:108	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.CharSequenceTranslator:109	1.0 24.0 0.2
