org.apache.commons.math3.optimization.direct.CMAESOptimizer:482	1.0 0.0 1.0
org.apache.commons.math3.optimization.direct.CMAESOptimizer:476	1.0 0.25 0.8944271909999159
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:87	1.0 0.5 0.8164965809277261
org.apache.commons.math3.optimization.direct.CMAESOptimizer:583	1.0 1.0 0.7071067811865475
org.apache.commons.math3.util.MathArrays:143	1.0 1.75 0.6030226891555273
org.apache.commons.math3.util.MathArrays:145	1.0 1.75 0.6030226891555273
org.apache.commons.math3.util.MathArrays:147	1.0 1.75 0.6030226891555273
org.apache.commons.math3.optimization.direct.CMAESOptimizer:459	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:246	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:247	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:253	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:256	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:929	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:930	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:931	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:932	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:934	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:955	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:956	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:970	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:974	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1014	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1016	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1018	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1021	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1024	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1033	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1034	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1035	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1036	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1038	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.direct.CMAESOptimizer:540	1.0 4.0 0.4472135954999579
org.apache.commons.math3.optimization.direct.CMAESOptimizer:541	1.0 4.0 0.4472135954999579
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:128	1.0 6.0 0.3779644730092272
org.apache.commons.math3.optimization.direct.CMAESOptimizer:515	1.0 6.0 0.3779644730092272
org.apache.commons.math3.optimization.direct.CMAESOptimizer:529	1.0 6.0 0.3779644730092272
org.apache.commons.math3.optimization.direct.CMAESOptimizer:751	1.0 6.25 0.3713906763541037
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:136	1.0 6.5 0.3651483716701107
org.apache.commons.math3.optimization.direct.CMAESOptimizer:957	1.0 6.75 0.3592106040535498
org.apache.commons.math3.optimization.direct.CMAESOptimizer:958	1.0 6.75 0.3592106040535498
org.apache.commons.math3.optimization.direct.CMAESOptimizer:960	1.0 6.75 0.3592106040535498
org.apache.commons.math3.optimization.direct.CMAESOptimizer:971	1.0 6.75 0.3592106040535498
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1015	1.0 6.75 0.3592106040535498
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:112	1.0 7.0 0.35355339059327373
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:113	1.0 7.0 0.35355339059327373
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:114	1.0 7.0 0.35355339059327373
org.apache.commons.math3.optimization.direct.CMAESOptimizer:535	1.0 7.75 0.3380617018914066
org.apache.commons.math3.optimization.direct.CMAESOptimizer:536	1.0 7.75 0.3380617018914066
org.apache.commons.math3.optimization.direct.CMAESOptimizer:537	1.0 7.75 0.3380617018914066
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:109	1.0 8.0 0.3333333333333333
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:100	1.0 8.0 0.3333333333333333
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:101	1.0 8.0 0.3333333333333333
org.apache.commons.math3.optimization.direct.CMAESOptimizer:521	1.0 8.75 0.32025630761017426
org.apache.commons.math3.optimization.direct.CMAESOptimizer:522	1.0 8.75 0.32025630761017426
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:97	1.0 9.0 0.31622776601683794
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:115	1.0 9.25 0.31234752377721214
org.apache.commons.math3.optimization.direct.CMAESOptimizer:927	1.0 11.0 0.2886751345948129
org.apache.commons.math3.optimization.direct.CMAESOptimizer:953	1.0 11.0 0.2886751345948129
org.apache.commons.math3.optimization.direct.CMAESOptimizer:975	1.0 11.0 0.2886751345948129
org.apache.commons.math3.optimization.direct.CMAESOptimizer:514	1.0 11.75 0.28005601680560194
org.apache.commons.math3.util.FastMath:3514	1.0 12.0 0.2773500981126146
org.apache.commons.math3.util.FastMath:3519	1.0 12.0 0.2773500981126146
org.apache.commons.math3.util.FastMath:3520	1.0 12.0 0.2773500981126146
org.apache.commons.math3.util.FastMath:3523	1.0 12.0 0.2773500981126146
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:123	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:124	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:125	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:131	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:132	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:133	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:556	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:91	1.0 13.0 0.2672612419124244
