org.apache.commons.math3.fraction.Fraction:597	1.0 1.0 0.7071067811865475
org.apache.commons.math3.fraction.Fraction:555	1.0 2.0 0.5773502691896258
org.apache.commons.math3.fraction.Fraction:319	1.0 26.0 0.19245008972987526
org.apache.commons.math3.fraction.Fraction:42	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:45	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:48	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:51	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:54	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:57	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:60	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:63	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:66	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:69	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:72	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:75	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:78	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:81	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:256	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:257	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:261	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:271	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:272	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:273	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:274	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:278	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:282	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:283	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:284	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:35	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:385	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:386	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:387	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:388	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:392	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:399	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:400	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:402	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:403	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:406	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:407	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:409	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:410	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:411	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:413	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:419	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:425	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:426	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:429	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:430	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:432	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:435	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:438	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.ArithmeticUtils:439	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.FastMath:113	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.FastMath:126	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.FastMath:139	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.FastMath:158	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.FastMath:177	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.FastMath:196	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.FastMath:216	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.FastMath:235	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.FastMath:254	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.FastMath:275	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.FastMath:283	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.FastMath:286	1.0 205.0 0.06967330142916177
org.apache.commons.math3.util.FastMath:2900	1.0 205.0 0.06967330142916177
org.apache.commons.math3.fraction.Fraction:333	0.0 147.0 0.0
org.apache.commons.math3.fraction.Fraction:334	0.0 56.0 0.0
org.apache.commons.math3.fraction.Fraction:361	0.0 28.0 0.0
org.apache.commons.math3.fraction.Fraction:369	0.0 29.0 0.0
org.apache.commons.math3.fraction.Fraction:262	0.0 17.0 0.0
org.apache.commons.math3.fraction.Fraction:267	0.0 17.0 0.0
