org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSet:83	1.0 0.8181818181818182 0.7416198487095662
org.apache.commons.math3.geometry.euclidean.twod.SubLine:56	1.0 0.9545454545454546 0.7152816976385906
org.apache.commons.math3.geometry.euclidean.twod.SubLine:57	1.0 0.9545454545454546 0.7152816976385906
org.apache.commons.math3.geometry.euclidean.twod.SubLine:139	1.0 0.9545454545454546 0.7152816976385906
org.apache.commons.math3.geometry.euclidean.twod.SubLine:140	1.0 0.9545454545454546 0.7152816976385906
org.apache.commons.math3.util.FastMath:2480	1.0 1.2954545454545454 0.6600330024752064
org.apache.commons.math3.util.FastMath:2482	1.0 1.2954545454545454 0.6600330024752064
org.apache.commons.math3.util.FastMath:2483	1.0 1.2954545454545454 0.6600330024752064
org.apache.commons.math3.util.FastMath:2484	1.0 1.2954545454545454 0.6600330024752064
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:135	1.0 1.3636363636363635 0.650443635587991
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:136	1.0 1.3636363636363635 0.650443635587991
org.apache.commons.math3.geometry.euclidean.threed.Plane:81	1.0 3.0 0.5
org.apache.commons.math3.geometry.euclidean.threed.Plane:82	1.0 3.0 0.5
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:330	1.0 5.636363636363637 0.388181570282322
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:331	1.0 5.636363636363637 0.388181570282322
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:329	1.0 5.704545454545454 0.3862027218610472
org.apache.commons.math3.geometry.euclidean.threed.SubPlane:42	1.0 5.818181818181818 0.38297084310253526
org.apache.commons.math3.geometry.euclidean.threed.SubPlane:43	1.0 5.818181818181818 0.38297084310253526
org.apache.commons.math3.geometry.euclidean.threed.Plane:225	1.0 5.886363636363637 0.3810702316530973
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:286	1.0 5.931818181818182 0.3798187661003169
