org.apache.commons.math3.optimization.linear.Relationship:59	1.0 1.0 0.7071067811865475
org.apache.commons.math3.optimization.linear.SimplexTableau:406	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.linear.SimplexTableau:407	1.0 2.0 0.5773502691896258
org.apache.commons.math3.optimization.linear.Relationship:57	1.0 4.0 0.4472135954999579
org.apache.commons.math3.optimization.linear.SimplexTableau:261	1.0 4.0 0.4472135954999579
org.apache.commons.math3.optimization.linear.SimplexTableau:339	1.0 4.0 0.4472135954999579
org.apache.commons.math3.optimization.linear.SimplexTableau:199	1.0 15.0 0.25
org.apache.commons.math3.optimization.linear.SimplexTableau:298	1.0 15.0 0.25
org.apache.commons.math3.optimization.linear.SimplexTableau:299	1.0 15.0 0.25
org.apache.commons.math3.optimization.PointValuePair:67	1.0 15.0 0.25
org.apache.commons.math3.optimization.PointValuePair:68	1.0 15.0 0.25
org.apache.commons.math3.util.Pair:63	1.0 15.0 0.25
org.apache.commons.math3.optimization.linear.SimplexTableau:347	1.0 16.0 0.24253562503633297
org.apache.commons.math3.optimization.linear.SimplexSolver:181	1.0 16.0 0.24253562503633297
org.apache.commons.math3.optimization.linear.SimplexTableau:332	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:333	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:336	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:337	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:338	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:344	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:345	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:346	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:351	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:352	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:353	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:354	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:355	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:356	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:361	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:362	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:365	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:366	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexTableau:367	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:74	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:75	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:76	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:262	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:263	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:266	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:269	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:270	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:271	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:275	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:276	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:279	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:280	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:281	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:284	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:286	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:290	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:526	1.0 17.0 0.23570226039551587
org.apache.commons.math3.linear.Array2DRowRealMatrix:527	1.0 17.0 0.23570226039551587
org.apache.commons.math3.util.MathUtils:257	1.0 17.0 0.23570226039551587
org.apache.commons.math3.util.MathUtils:260	1.0 17.0 0.23570226039551587
org.apache.commons.math3.optimization.linear.SimplexSolver:174	1.0 18.0 0.22941573387056174
org.apache.commons.math3.linear.AbstractRealMatrix:44	1.0 18.0 0.22941573387056174
org.apache.commons.math3.optimization.linear.SimplexTableau:317	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexTableau:320	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexTableau:397	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexTableau:398	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexTableau:399	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexTableau:401	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexTableau:402	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexTableau:403	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexTableau:404	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexTableau:405	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexTableau:409	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexTableau:410	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexTableau:415	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexTableau:420	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexTableau:421	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexTableau:426	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.PointValuePair:41	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.PointValuePair:42	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.PointValuePair:55	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.PointValuePair:59	1.0 19.0 0.22360679774997896
org.apache.commons.math3.util.Pair:42	1.0 19.0 0.22360679774997896
org.apache.commons.math3.util.Pair:43	1.0 19.0 0.22360679774997896
org.apache.commons.math3.util.Pair:44	1.0 19.0 0.22360679774997896
org.apache.commons.math3.util.Pair:45	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexSolver:173	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexSolver:178	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexSolver:201	1.0 19.0 0.22360679774997896
org.apache.commons.math3.linear.ArrayRealVector:448	1.0 19.0 0.22360679774997896
org.apache.commons.math3.linear.ArrayRealVector:449	1.0 19.0 0.22360679774997896
org.apache.commons.math3.linear.ArrayRealVector:450	1.0 19.0 0.22360679774997896
