org.apache.commons.math.optimization.RealPointValuePair:68	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexSolver:181	1.0 15.0 0.25
org.apache.commons.math.optimization.linear.SimplexTableau:347	1.0 15.0 0.25
org.apache.commons.math.optimization.linear.SimplexTableau:332	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:333	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:336	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:337	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:338	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:344	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:345	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:346	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:351	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:352	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:353	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:354	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:355	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:356	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:361	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:362	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:365	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:366	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexTableau:367	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:73	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:74	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:75	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:261	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:262	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:265	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:268	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:269	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:270	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:274	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:275	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:278	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:279	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:280	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:283	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:285	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:289	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:525	1.0 16.0 0.24253562503633297
org.apache.commons.math.linear.Array2DRowRealMatrix:526	1.0 16.0 0.24253562503633297
org.apache.commons.math.util.MathUtils:330	1.0 16.0 0.24253562503633297
org.apache.commons.math.util.MathUtils:333	1.0 16.0 0.24253562503633297
org.apache.commons.math.optimization.linear.SimplexSolver:174	1.0 17.0 0.23570226039551587
org.apache.commons.math.linear.AbstractRealMatrix:44	1.0 17.0 0.23570226039551587
org.apache.commons.math.optimization.RealPointValuePair:44	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.RealPointValuePair:45	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.RealPointValuePair:46	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.RealPointValuePair:47	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexSolver:173	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexSolver:178	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexSolver:197	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexTableau:317	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexTableau:320	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexTableau:397	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexTableau:398	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexTableau:399	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexTableau:401	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexTableau:402	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexTableau:403	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexTableau:404	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexTableau:405	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexTableau:409	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexTableau:413	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexTableau:418	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexTableau:419	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexTableau:424	1.0 18.0 0.22941573387056174
org.apache.commons.math.linear.ArrayRealVector:447	1.0 18.0 0.22941573387056174
org.apache.commons.math.linear.ArrayRealVector:448	1.0 18.0 0.22941573387056174
org.apache.commons.math.linear.ArrayRealVector:449	1.0 18.0 0.22941573387056174
org.apache.commons.math.linear.ArrayRealVector:450	1.0 18.0 0.22941573387056174
org.apache.commons.math.linear.ArrayRealVector:451	1.0 18.0 0.22941573387056174
org.apache.commons.math.linear.ArrayRealVector:452	1.0 18.0 0.22941573387056174
org.apache.commons.math.linear.ArrayRealVector:454	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:92	1.0 18.0 0.22941573387056174
org.apache.commons.math.util.Precision:92	1.0 18.0 0.22941573387056174
org.apache.commons.math.optimization.linear.SimplexSolver:192	1.0 19.0 0.22360679774997896
org.apache.commons.math.optimization.linear.SimplexSolver:194	1.0 19.0 0.22360679774997896
org.apache.commons.math.optimization.linear.SimplexSolver:70	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:71	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:72	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:73	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:74	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:75	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:76	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:79	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:90	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:91	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:92	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:93	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:94	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:96	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:97	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:98	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:99	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:101	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:102	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:103	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:104	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:109	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:111	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:125	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:137	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:139	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:140	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:141	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:146	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:147	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:150	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:151	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:152	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:153	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexSolver:156	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexTableau:311	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexTableau:312	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexTableau:313	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexTableau:314	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexTableau:315	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexTableau:316	1.0 20.0 0.2182178902359924
