org.apache.commons.math.stat.descriptive.SummaryStatistics:647	3.0 5.0 0.43301270189221935
org.apache.commons.math.stat.descriptive.SummaryStatistics:643	3.0 6.0 0.408248290463863
org.apache.commons.math.stat.descriptive.SummaryStatistics:635	1.0 1.0 0.2886751345948129
org.apache.commons.math.stat.descriptive.SummaryStatistics:636	1.0 1.0 0.2886751345948129
org.apache.commons.math.stat.descriptive.SummaryStatistics:637	1.0 1.0 0.2886751345948129
org.apache.commons.math.stat.descriptive.SummaryStatistics:577	1.0 1.0 0.2886751345948129
org.apache.commons.math.stat.descriptive.SummaryStatistics:578	1.0 1.0 0.2886751345948129
org.apache.commons.math.stat.descriptive.SummaryStatistics:579	1.0 1.0 0.2886751345948129
org.apache.commons.math.stat.descriptive.moment.Variance:124	1.0 1.0 0.2886751345948129
org.apache.commons.math.stat.descriptive.moment.Variance:125	1.0 1.0 0.2886751345948129
org.apache.commons.math.stat.descriptive.moment.Variance:126	1.0 1.0 0.2886751345948129
org.apache.commons.math.stat.descriptive.moment.Variance:127	1.0 1.0 0.2886751345948129
org.apache.commons.math.stat.descriptive.moment.Variance:420	1.0 1.0 0.2886751345948129
org.apache.commons.math.util.FastMath:1165	3.0 17.0 0.27386127875258304
org.apache.commons.math.util.FastMath:1166	3.0 17.0 0.27386127875258304
org.apache.commons.math.util.FastMath:1168	3.0 17.0 0.27386127875258304
org.apache.commons.math.util.FastMath:1169	3.0 17.0 0.27386127875258304
org.apache.commons.math.util.FastMath:1171	3.0 17.0 0.27386127875258304
org.apache.commons.math.util.FastMath:1173	3.0 17.0 0.27386127875258304
org.apache.commons.math.util.FastMath:1174	3.0 17.0 0.27386127875258304
org.apache.commons.math.util.FastMath:1176	3.0 17.0 0.27386127875258304
org.apache.commons.math.util.FastMath:1177	3.0 17.0 0.27386127875258304
org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic:163	3.0 23.0 0.24019223070763068
org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic:167	3.0 23.0 0.24019223070763068
org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic:171	3.0 23.0 0.24019223070763068
org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic:175	3.0 23.0 0.24019223070763068
org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic:180	3.0 23.0 0.24019223070763068
org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic:184	3.0 23.0 0.24019223070763068
