org.apache.commons.math.complex.Complex:1179	2.0 0.0 1.0
org.apache.commons.math.complex.Complex:257	2.0 2.0 0.7071067811865475
org.apache.commons.math.util.FastMath:2991	1.0 1.0 0.5
org.apache.commons.math.util.FastMath:2994	1.0 1.0 0.5
org.apache.commons.math.complex.Complex:583	1.0 2.0 0.4082482904638631
org.apache.commons.math.complex.Complex:256	2.0 13.0 0.3651483716701107
org.apache.commons.math.complex.Complex:579	1.0 3.0 0.35355339059327373
org.apache.commons.math.complex.Complex:251	2.0 15.0 0.34299717028501764
org.apache.commons.math.complex.Complex:252	2.0 15.0 0.34299717028501764
org.apache.commons.math.complex.Complex:268	1.0 4.0 0.31622776601683794
org.apache.commons.math.complex.Complex:269	1.0 4.0 0.31622776601683794
org.apache.commons.math.complex.Complex:270	1.0 4.0 0.31622776601683794
org.apache.commons.math.complex.Complex:747	1.0 6.0 0.2672612419124244
org.apache.commons.math.util.FastMath:1315	1.0 6.0 0.2672612419124244
org.apache.commons.math.util.FastMath:2990	1.0 7.0 0.25
org.apache.commons.math.util.FastMath:2997	1.0 7.0 0.25
org.apache.commons.math.complex.Complex:273	1.0 8.0 0.23570226039551587
org.apache.commons.math.complex.Complex:274	1.0 8.0 0.23570226039551587
org.apache.commons.math.complex.Complex:275	1.0 8.0 0.23570226039551587
org.apache.commons.math.util.FastMath:2978	1.0 8.0 0.23570226039551587
org.apache.commons.math.util.FastMath:2979	1.0 8.0 0.23570226039551587
org.apache.commons.math.util.FastMath:2980	1.0 8.0 0.23570226039551587
org.apache.commons.math.util.FastMath:2982	1.0 8.0 0.23570226039551587
org.apache.commons.math.util.FastMath:1429	1.0 10.0 0.21320071635561041
org.apache.commons.math.util.FastMath:1430	1.0 10.0 0.21320071635561041
org.apache.commons.math.util.FastMath:1431	1.0 10.0 0.21320071635561041
org.apache.commons.math.util.FastMath:1432	1.0 10.0 0.21320071635561041
org.apache.commons.math.util.FastMath:1433	1.0 10.0 0.21320071635561041
org.apache.commons.math.util.FastMath:1434	1.0 10.0 0.21320071635561041
org.apache.commons.math.util.FastMath:1435	1.0 10.0 0.21320071635561041
org.apache.commons.math.complex.Complex:260	1.0 11.0 0.20412414523193154
org.apache.commons.math.complex.Complex:264	1.0 11.0 0.20412414523193154
org.apache.commons.math.complex.Complex:265	1.0 11.0 0.20412414523193154
org.apache.commons.math.complex.Complex:267	1.0 11.0 0.20412414523193154
org.apache.commons.math.complex.Complex:419	1.0 11.0 0.20412414523193154
org.apache.commons.math.complex.Complex:750	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1256	1.0 14.0 0.18257418583505536
