org.apache.commons.math.dfp.Dfp:2119	1.0 12.0 0.2773500981126146
org.apache.commons.math.dfp.Dfp:1041	1.0 14.0 0.2581988897471611
org.apache.commons.math.dfp.Dfp:1234	1.0 18.0 0.22941573387056174
org.apache.commons.math.dfp.Dfp:2328	1.0 18.0 0.22941573387056174
org.apache.commons.math.dfp.Dfp:1105	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:576	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:801	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2305	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2313	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2317	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2318	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2319	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2326	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2327	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2331	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2332	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2336	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2340	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2341	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2342	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2345	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2349	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2354	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2355	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2356	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2357	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2359	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2366	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2370	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2375	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2376	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2378	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:2382	1.0 19.0 0.22360679774997896
org.apache.commons.math.dfp.Dfp:661	1.0 20.0 0.2182178902359924
org.apache.commons.math.dfp.DfpField:414	1.0 20.0 0.2182178902359924
org.apache.commons.math.dfp.Dfp:1096	1.0 21.0 0.21320071635561041
org.apache.commons.math.dfp.Dfp:1099	1.0 21.0 0.21320071635561041
org.apache.commons.math.dfp.Dfp:1102	1.0 21.0 0.21320071635561041
org.apache.commons.math.dfp.Dfp:539	1.0 24.0 0.2
org.apache.commons.math.dfp.Dfp:543	1.0 24.0 0.2
org.apache.commons.math.dfp.Dfp:544	1.0 24.0 0.2
org.apache.commons.math.dfp.Dfp:545	1.0 24.0 0.2
