org.apache.commons.math.geometry.Vector3D:473	1.0 3.0 0.5
org.apache.commons.math.geometry.Vector3D:181	1.0 17.0 0.23570226039551587
org.apache.commons.math.geometry.Vector3D:189	1.0 17.0 0.23570226039551587
org.apache.commons.math.geometry.Vector3D:197	1.0 17.0 0.23570226039551587
org.apache.commons.math.geometry.Vector3D:35	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3D:38	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3D:41	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3D:44	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3D:47	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3D:50	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3D:53	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3D:57	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3D:61	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3D:65	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3D:69	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3D:93	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3D:94	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3D:95	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3D:96	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3D:97	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3DFormat:80	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3DFormat:81	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3DFormat:103	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3DFormat:104	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3DFormat:105	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3DFormat:106	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3DFormat:107	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3DFormat:108	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3DFormat:109	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3DFormat:110	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3DFormat:111	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3DFormat:159	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3DFormat:168	1.0 31.0 0.17677669529663687
org.apache.commons.math.util.CompositeFormat:56	1.0 31.0 0.17677669529663687
org.apache.commons.math.util.CompositeFormat:57	1.0 31.0 0.17677669529663687
org.apache.commons.math.util.CompositeFormat:58	1.0 31.0 0.17677669529663687
org.apache.commons.math.geometry.Vector3D:211	0.0 18.0 0.0
org.apache.commons.math.geometry.Vector3D:266	0.0 13.0 0.0
org.apache.commons.math.geometry.Vector3D:449	0.0 7.0 0.0
org.apache.commons.math.geometry.Vector3D:307	0.0 3.0 0.0
org.apache.commons.math.geometry.Vector3D:308	0.0 3.0 0.0
org.apache.commons.math.geometry.Vector3D:312	0.0 3.0 0.0
org.apache.commons.math.geometry.Vector3D:315	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:316	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:317	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:362	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:370	0.0 4.0 0.0
org.apache.commons.math.geometry.Vector3D:107	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:108	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:109	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:110	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:111	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:112	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:120	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:121	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:122	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:123	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:124	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:134	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:135	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:136	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:137	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:138	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:151	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:152	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:153	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:154	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:155	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:170	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:171	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:172	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:173	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:174	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:204	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:225	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:486	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:487	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:488	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:489	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:501	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:502	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:503	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:504	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:531	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:532	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:533	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:534	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:516	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:517	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:518	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:519	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:275	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:249	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:258	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:233	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:241	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:283	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:284	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:287	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:313	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:314	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:337	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:338	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:342	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:343	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:344	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:354	0.0 2.0 0.0
org.apache.commons.math.geometry.Vector3D:285	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:309	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:319	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:320	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:339	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:346	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:347	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:348	0.0 1.0 0.0
org.apache.commons.math.geometry.Vector3D:350	0.0 1.0 0.0
org.apache.commons.math.exception.MathArithmeticException:50	0.0 3.0 0.0
org.apache.commons.math.exception.MathArithmeticException:51	0.0 3.0 0.0
org.apache.commons.math.exception.MathArithmeticException:52	0.0 3.0 0.0
org.apache.commons.math.exception.MathRuntimeException:47	0.0 3.0 0.0
org.apache.commons.math.exception.MathRuntimeException:53	0.0 3.0 0.0
