org.apache.commons.math3.optim.BaseOptimizer:93	20.0 0.0 0.8451542547285166
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:451	16.0 0.0 0.7559289460184544
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1109	15.0 0.0 0.7319250547113999
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1110	15.0 0.0 0.7319250547113999
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1111	15.0 0.0 0.7319250547113999
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1113	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:579	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:580	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:612	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:614	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:615	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:619	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:623	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:624	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:625	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:626	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:627	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:629	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:631	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:632	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:633	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:635	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:636	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:637	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.EigenDecomposition:638	15.0 0.0 0.7319250547113999
