org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:152	3.0 0.0 0.8660254037844387
org.apache.commons.math.ConvergingAlgorithmImpl:82	3.0 1.0 0.75
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:105	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:113	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:80	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:81	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:82	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:83	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:84	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:85	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:86	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:87	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:88	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:152	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:153	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:157	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:158	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:193	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:219	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:231	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:232	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:233	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:234	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:237	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:240	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:241	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:242	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:243	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:244	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:247	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:254	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:256	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:257	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:262	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:263	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:264	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:272	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:273	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:274	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:275	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:276	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:277	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:278	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:301	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:308	2.0 0.0 0.7071067811865475
org.apache.commons.math.random.JDKRandomGenerator:28	2.0 0.0 0.7071067811865475
org.apache.commons.math.optimization.univariate.BrentOptimizer:107	4.0 5.0 0.6666666666666666
org.apache.commons.math.optimization.univariate.BrentOptimizer:108	4.0 5.0 0.6666666666666666
org.apache.commons.math.optimization.univariate.BrentOptimizer:175	4.0 5.0 0.6666666666666666
org.apache.commons.math.optimization.univariate.BrentOptimizer:182	4.0 5.0 0.6666666666666666
org.apache.commons.math.optimization.univariate.BrentOptimizer:158	4.0 5.0 0.6666666666666666
org.apache.commons.math.optimization.univariate.BrentOptimizer:159	4.0 5.0 0.6666666666666666
org.apache.commons.math.optimization.univariate.BrentOptimizer:162	4.0 5.0 0.6666666666666666
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:82	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:126	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:127	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:128	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:129	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:130	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:137	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:138	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:142	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:143	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:159	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:193	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:197	4.0 6.0 0.6324555320336759
org.apache.commons.math.ConvergingAlgorithmImpl:78	4.0 6.0 0.6324555320336759
org.apache.commons.math.ConvergingAlgorithmImpl:87	4.0 6.0 0.6324555320336759
org.apache.commons.math.ConvergingAlgorithmImpl:88	4.0 6.0 0.6324555320336759
org.apache.commons.math.ConvergingAlgorithmImpl:92	4.0 6.0 0.6324555320336759
org.apache.commons.math.ConvergingAlgorithmImpl:102	4.0 6.0 0.6324555320336759
org.apache.commons.math.ConvergingAlgorithmImpl:103	4.0 6.0 0.6324555320336759
org.apache.commons.math.ConvergingAlgorithmImpl:117	4.0 6.0 0.6324555320336759
org.apache.commons.math.ConvergingAlgorithmImpl:118	4.0 6.0 0.6324555320336759
org.apache.commons.math.ConvergingAlgorithmImpl:122	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:38	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:43	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:44	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:45	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:46	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:47	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:48	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:60	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:61	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:99	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:102	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:106	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:114	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:115	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:116	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:117	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:118	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:119	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:120	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:123	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:124	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:126	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:127	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:128	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:129	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:130	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:133	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:134	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:135	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:136	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:137	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:139	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:140	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:141	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:142	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:143	4.0 6.0 0.6324555320336759
org.apache.commons.math.optimization.univariate.BrentOptimizer:145	4.0 6.0 0.6324555320336759
