org.apache.commons.math.analysis.solvers.BisectionSolver:72	1.0 0.0 1.0
org.apache.commons.math.analysis.solvers.BisectionSolver:66	1.0 1.0 0.7071067811865475
org.apache.commons.math.analysis.solvers.BisectionSolver:79	1.0 3.0 0.5
org.apache.commons.math.analysis.solvers.BisectionSolver:80	1.0 3.0 0.5
org.apache.commons.math.analysis.solvers.BisectionSolver:85	1.0 3.0 0.5
org.apache.commons.math.analysis.solvers.BisectionSolver:86	1.0 3.0 0.5
org.apache.commons.math.analysis.solvers.BisectionSolver:87	1.0 3.0 0.5
org.apache.commons.math.analysis.solvers.BisectionSolver:88	1.0 3.0 0.5
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:165	1.0 3.0 0.5
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:166	1.0 3.0 0.5
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:167	1.0 3.0 0.5
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:208	1.0 3.0 0.5
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:213	1.0 3.0 0.5
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils:223	1.0 3.0 0.5
org.apache.commons.math.analysis.solvers.BisectionSolver:52	1.0 11.0 0.2886751345948129
org.apache.commons.math.analysis.solvers.BisectionSolver:53	1.0 11.0 0.2886751345948129
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:93	1.0 14.0 0.2581988897471611
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:94	1.0 14.0 0.2581988897471611
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:95	1.0 14.0 0.2581988897471611
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:96	1.0 14.0 0.2581988897471611
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:41	1.0 15.0 0.25
org.apache.commons.math.ConvergingAlgorithmImpl:61	1.0 15.0 0.25
org.apache.commons.math.ConvergingAlgorithmImpl:62	1.0 15.0 0.25
org.apache.commons.math.ConvergingAlgorithmImpl:63	1.0 15.0 0.25
org.apache.commons.math.ConvergingAlgorithmImpl:64	1.0 15.0 0.25
org.apache.commons.math.ConvergingAlgorithmImpl:65	1.0 15.0 0.25
org.apache.commons.math.ConvergingAlgorithmImpl:66	1.0 15.0 0.25
org.apache.commons.math.ConvergingAlgorithmImpl:67	1.0 15.0 0.25
org.apache.commons.math.ConvergingAlgorithmImpl:68	1.0 15.0 0.25
org.apache.commons.math.ConvergingAlgorithmImpl:69	1.0 15.0 0.25
org.apache.commons.math.analysis.solvers.BisectionSolver:89	0.0 3.0 0.0
org.apache.commons.math.analysis.solvers.BisectionSolver:91	0.0 3.0 0.0
org.apache.commons.math.analysis.solvers.BisectionSolver:93	0.0 3.0 0.0
org.apache.commons.math.analysis.solvers.BisectionSolver:96	0.0 3.0 0.0
org.apache.commons.math.analysis.solvers.BisectionSolver:99	0.0 3.0 0.0
org.apache.commons.math.analysis.solvers.BisectionSolver:100	0.0 3.0 0.0
org.apache.commons.math.analysis.solvers.BisectionSolver:101	0.0 3.0 0.0
org.apache.commons.math.analysis.solvers.BisectionSolver:102	0.0 3.0 0.0
org.apache.commons.math.analysis.solvers.BisectionSolver:104	0.0 3.0 0.0
org.apache.commons.math.analysis.solvers.BisectionSolver:44	0.0 1.0 0.0
org.apache.commons.math.analysis.solvers.BisectionSolver:45	0.0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:121	0.0 2.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:122	0.0 2.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:126	0.0 2.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:131	0.0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:132	0.0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:102	0.0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:105	0.0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:109	0.0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:110	0.0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:141	0.0 3.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:142	0.0 3.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:143	0.0 3.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:144	0.0 3.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:74	0.0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:75	0.0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:78	0.0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:79	0.0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:80	0.0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:81	0.0 1.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:78	0.0 2.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:79	0.0 2.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:83	0.0 5.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:108	0.0 2.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:109	0.0 2.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:113	0.0 2.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:73	0.0 1.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:93	0.0 2.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:94	0.0 2.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:98	0.0 2.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:103	0.0 1.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:104	0.0 1.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:88	0.0 1.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:89	0.0 1.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:118	0.0 1.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:119	0.0 1.0 0.0
