org.apache.commons.math.optimization.linear.SimplexTableau:349	1.0 3.0 0.5
org.apache.commons.math.optimization.linear.SimplexSolver:151	1.0 7.0 0.35355339059327373
org.apache.commons.math.optimization.linear.SimplexSolver:190	1.0 7.0 0.35355339059327373
org.apache.commons.math.optimization.linear.SimplexTableau:297	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexSolver:179	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexTableau:310	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:311	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:312	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:313	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:314	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:315	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:317	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:319	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:320	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:321	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:340	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:341	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:342	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:343	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:344	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:345	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:346	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:351	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:352	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:357	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:458	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:481	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:129	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:132	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:133	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:134	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:137	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:154	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:171	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:172	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:176	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:192	1.0 10.0 0.30151134457776363
org.apache.commons.math.linear.ArrayRealVector:884	1.0 10.0 0.30151134457776363
org.apache.commons.math.linear.ArrayRealVector:885	1.0 10.0 0.30151134457776363
org.apache.commons.math.linear.ArrayRealVector:886	1.0 10.0 0.30151134457776363
org.apache.commons.math.linear.ArrayRealVector:887	1.0 10.0 0.30151134457776363
org.apache.commons.math.linear.ArrayRealVector:889	1.0 10.0 0.30151134457776363
org.apache.commons.math.linear.ArrayRealVector:1287	1.0 10.0 0.30151134457776363
org.apache.commons.math.linear.ArrayRealVector:1292	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.RealPointValuePair:48	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.RealPointValuePair:49	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.RealPointValuePair:50	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.RealPointValuePair:51	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.RealPointValuePair:86	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:92	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:146	1.0 11.0 0.2886751345948129
org.apache.commons.math.optimization.linear.SimplexSolver:149	1.0 11.0 0.2886751345948129
org.apache.commons.math.optimization.linear.SimplexSolver:150	1.0 11.0 0.2886751345948129
org.apache.commons.math.optimization.linear.SimplexSolver:188	1.0 11.0 0.2886751345948129
org.apache.commons.math.optimization.linear.SimplexSolver:189	1.0 11.0 0.2886751345948129
org.apache.commons.math.optimization.linear.SimplexTableau:307	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexTableau:370	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexTableau:371	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexTableau:373	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexTableau:497	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:42	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:43	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:49	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:50	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:51	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:59	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:60	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:61	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:62	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:63	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:64	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:67	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:77	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:78	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:79	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:80	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:81	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:82	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:83	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:84	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:85	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:89	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:102	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:104	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:105	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:106	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:111	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:112	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:115	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:116	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:117	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:118	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:121	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:167	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:185	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexSolver:187	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:61	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:62	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:63	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:67	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:68	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:86	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:89	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:98	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:99	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:100	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:101	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:103	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:106	1.0 12.0 0.2773500981126146
org.apache.commons.math.util.MathUtils:367	1.0 12.0 0.2773500981126146
org.apache.commons.math.util.MathUtils:368	1.0 12.0 0.2773500981126146
org.apache.commons.math.util.MathUtils:369	1.0 12.0 0.2773500981126146
org.apache.commons.math.util.MathUtils:370	1.0 12.0 0.2773500981126146
org.apache.commons.math.util.MathUtils:372	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexTableau:134	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:171	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:178	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:179	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:249	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:250	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:441	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:449	1.0 13.0 0.2672612419124244
org.apache.commons.math.linear.ArrayRealVector:338	1.0 13.0 0.2672612419124244
org.apache.commons.math.linear.ArrayRealVector:339	1.0 13.0 0.2672612419124244
org.apache.commons.math.linear.ArrayRealVector:340	1.0 13.0 0.2672612419124244
org.apache.commons.math.linear.ArrayRealVector:342	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:296	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:273	1.0 15.0 0.25
org.apache.commons.math.optimization.linear.SimplexTableau:291	1.0 15.0 0.25
org.apache.commons.math.optimization.linear.SimplexTableau:292	1.0 15.0 0.25
org.apache.commons.math.optimization.linear.SimplexTableau:293	1.0 15.0 0.25
org.apache.commons.math.optimization.linear.SimplexTableau:294	1.0 15.0 0.25
org.apache.commons.math.optimization.linear.SimplexTableau:295	1.0 15.0 0.25
org.apache.commons.math.optimization.linear.SimplexTableau:300	1.0 15.0 0.25
org.apache.commons.math.optimization.linear.SimplexTableau:387	1.0 15.0 0.25
org.apache.commons.math.optimization.linear.SimplexTableau:388	1.0 15.0 0.25
org.apache.commons.math.optimization.linear.SimplexTableau:391	1.0 15.0 0.25
org.apache.commons.math.optimization.linear.SimplexTableau:398	1.0 15.0 0.25
