org.joda.time.field.FieldUtils:140	1.0 0.0 1.0
org.joda.time.field.FieldUtils:138	1.0 12.0 0.2773500981126146
org.joda.time.field.FieldUtils:142	1.0 25.0 0.19611613513818404
org.joda.time.field.FieldUtils:144	1.0 26.0 0.19245008972987526
org.joda.time.field.FieldUtils:145	1.0 26.0 0.19245008972987526
org.joda.time.field.FieldUtils:148	1.0 26.0 0.19245008972987526
org.joda.time.field.FieldUtils:136	1.0 51.0 0.1386750490563073
org.joda.time.field.FieldUtils:214	0 1977.0 0.0
org.joda.time.field.FieldUtils:219	0 1976.0 0.0
org.joda.time.field.FieldUtils:232	0 2020.0 0.0
org.joda.time.field.FieldUtils:237	0 2019.0 0.0
org.joda.time.field.FieldUtils:318	0 453.0 0.0
org.joda.time.field.FieldUtils:319	0 444.0 0.0
org.joda.time.field.FieldUtils:82	0 1172.0 0.0
org.joda.time.field.FieldUtils:84	0 1172.0 0.0
org.joda.time.field.FieldUtils:88	0 1172.0 0.0
org.joda.time.field.FieldUtils:64	0 1001.0 0.0
org.joda.time.field.FieldUtils:66	0 1001.0 0.0
org.joda.time.field.FieldUtils:67	0 33.0 0.0
org.joda.time.field.FieldUtils:70	0 999.0 0.0
org.joda.time.field.FieldUtils:119	0 98.0 0.0
org.joda.time.field.FieldUtils:120	0 98.0 0.0
org.joda.time.field.FieldUtils:123	0 98.0 0.0
org.joda.time.field.FieldUtils:160	0 75.0 0.0
org.joda.time.field.FieldUtils:163	0 75.0 0.0
org.joda.time.field.FieldUtils:164	0 32.0 0.0
org.joda.time.field.FieldUtils:273	0 53.0 0.0
org.joda.time.field.FieldUtils:289	0 53.0 0.0
org.joda.time.field.FieldUtils:293	0 53.0 0.0
org.joda.time.field.FieldUtils:294	0 53.0 0.0
org.joda.time.field.FieldUtils:296	0 53.0 0.0
org.joda.time.field.FieldUtils:297	0 53.0 0.0
org.joda.time.field.FieldUtils:100	0 226.0 0.0
org.joda.time.field.FieldUtils:102	0 226.0 0.0
org.joda.time.field.FieldUtils:106	0 226.0 0.0
org.joda.time.field.FieldUtils:184	0 291.0 0.0
org.joda.time.field.FieldUtils:185	0 285.0 0.0
org.joda.time.field.FieldUtils:49	0 38.0 0.0
org.joda.time.field.FieldUtils:52	0 38.0 0.0
org.joda.time.field.FieldUtils:166	0 56.0 0.0
org.joda.time.field.FieldUtils:167	0 14.0 0.0
org.joda.time.field.FieldUtils:169	0 54.0 0.0
org.joda.time.field.FieldUtils:170	0 54.0 0.0
org.joda.time.field.FieldUtils:171	0 4.0 0.0
org.joda.time.field.FieldUtils:173	0 54.0 0.0
org.joda.time.field.FieldUtils:321	0 37.0 0.0
org.joda.time.field.FieldUtils:324	0 37.0 0.0
org.joda.time.field.FieldUtils:215	0 73.0 0.0
org.joda.time.field.FieldUtils:300	0 32.0 0.0
org.joda.time.field.FieldUtils:302	0 32.0 0.0
org.joda.time.field.FieldUtils:305	0 32.0 0.0
org.joda.time.field.FieldUtils:103	0 6.0 0.0
org.joda.time.field.FieldUtils:233	0 20.0 0.0
org.joda.time.field.FieldUtils:187	0 18.0 0.0
org.joda.time.field.FieldUtils:50	0 7.0 0.0
org.joda.time.field.FieldUtils:121	0 21.0 0.0
org.joda.time.field.FieldUtils:85	0 7.0 0.0
org.joda.time.field.FieldUtils:249	0 1.0 0.0
org.joda.time.field.FieldUtils:250	0 1.0 0.0
org.joda.time.field.FieldUtils:146	0 3.0 0.0
org.joda.time.field.FieldUtils:161	0 1.0 0.0
org.joda.time.IllegalFieldValueException:41	0 120.0 0.0
org.joda.time.IllegalFieldValueException:44	0 120.0 0.0
org.joda.time.IllegalFieldValueException:50	0 106.0 0.0
org.joda.time.IllegalFieldValueException:53	0 93.0 0.0
org.joda.time.IllegalFieldValueException:59	0 120.0 0.0
org.joda.time.IllegalFieldValueException:63	0 120.0 0.0
org.joda.time.IllegalFieldValueException:108	0 110.0 0.0
org.joda.time.IllegalFieldValueException:109	0 110.0 0.0
org.joda.time.IllegalFieldValueException:110	0 110.0 0.0
org.joda.time.IllegalFieldValueException:111	0 110.0 0.0
org.joda.time.IllegalFieldValueException:112	0 110.0 0.0
org.joda.time.IllegalFieldValueException:113	0 110.0 0.0
org.joda.time.IllegalFieldValueException:114	0 110.0 0.0
org.joda.time.IllegalFieldValueException:115	0 110.0 0.0
org.joda.time.IllegalFieldValueException:116	0 110.0 0.0
org.joda.time.IllegalFieldValueException:117	0 110.0 0.0
org.joda.time.IllegalFieldValueException:74	0 6.0 0.0
org.joda.time.IllegalFieldValueException:76	0 6.0 0.0
org.joda.time.IllegalFieldValueException:79	0 6.0 0.0
org.joda.time.IllegalFieldValueException:80	0 6.0 0.0
org.joda.time.IllegalFieldValueException:81	0 6.0 0.0
org.joda.time.IllegalFieldValueException:84	0 6.0 0.0
org.joda.time.IllegalFieldValueException:86	0 6.0 0.0
org.joda.time.IllegalFieldValueException:150	0 1.0 0.0
org.joda.time.IllegalFieldValueException:151	0 1.0 0.0
org.joda.time.IllegalFieldValueException:152	0 1.0 0.0
org.joda.time.IllegalFieldValueException:153	0 1.0 0.0
org.joda.time.IllegalFieldValueException:154	0 1.0 0.0
org.joda.time.IllegalFieldValueException:155	0 1.0 0.0
org.joda.time.IllegalFieldValueException:156	0 1.0 0.0
org.joda.time.IllegalFieldValueException:157	0 1.0 0.0
org.joda.time.IllegalFieldValueException:158	0 1.0 0.0
org.joda.time.IllegalFieldValueException:159	0 1.0 0.0
org.joda.time.IllegalFieldValueException:207	0 1.0 0.0
org.joda.time.IllegalFieldValueException:208	0 1.0 0.0
org.joda.time.IllegalFieldValueException:209	0 1.0 0.0
org.joda.time.IllegalFieldValueException:210	0 1.0 0.0
org.joda.time.IllegalFieldValueException:211	0 1.0 0.0
org.joda.time.IllegalFieldValueException:212	0 1.0 0.0
org.joda.time.IllegalFieldValueException:213	0 1.0 0.0
org.joda.time.IllegalFieldValueException:214	0 1.0 0.0
org.joda.time.IllegalFieldValueException:215	0 1.0 0.0
org.joda.time.IllegalFieldValueException:216	0 1.0 0.0
org.joda.time.IllegalFieldValueException:225	0 1.0 0.0
org.joda.time.IllegalFieldValueException:226	0 1.0 0.0
org.joda.time.IllegalFieldValueException:227	0 1.0 0.0
org.joda.time.IllegalFieldValueException:228	0 1.0 0.0
org.joda.time.IllegalFieldValueException:229	0 1.0 0.0
org.joda.time.IllegalFieldValueException:230	0 1.0 0.0
org.joda.time.IllegalFieldValueException:231	0 1.0 0.0
org.joda.time.IllegalFieldValueException:232	0 1.0 0.0
org.joda.time.IllegalFieldValueException:233	0 1.0 0.0
org.joda.time.IllegalFieldValueException:234	0 1.0 0.0
org.joda.time.IllegalFieldValueException:243	0 8.0 0.0
org.joda.time.IllegalFieldValueException:252	0 8.0 0.0
org.joda.time.IllegalFieldValueException:261	0 8.0 0.0
org.joda.time.IllegalFieldValueException:270	0 8.0 0.0
org.joda.time.IllegalFieldValueException:279	0 8.0 0.0
org.joda.time.IllegalFieldValueException:288	0 8.0 0.0
org.joda.time.IllegalFieldValueException:289	0 8.0 0.0
org.joda.time.IllegalFieldValueException:290	0 8.0 0.0
org.joda.time.IllegalFieldValueException:292	0 8.0 0.0
org.joda.time.IllegalFieldValueException:301	0 8.0 0.0
org.joda.time.IllegalFieldValueException:310	0 8.0 0.0
org.joda.time.IllegalFieldValueException:45	0 27.0 0.0
org.joda.time.IllegalFieldValueException:48	0 15.0 0.0
org.joda.time.IllegalFieldValueException:51	0 13.0 0.0
org.joda.time.IllegalFieldValueException:46	0 12.0 0.0
org.joda.time.IllegalFieldValueException:171	0 1.0 0.0
org.joda.time.IllegalFieldValueException:172	0 1.0 0.0
org.joda.time.IllegalFieldValueException:173	0 1.0 0.0
org.joda.time.IllegalFieldValueException:174	0 1.0 0.0
org.joda.time.IllegalFieldValueException:175	0 1.0 0.0
org.joda.time.IllegalFieldValueException:176	0 1.0 0.0
org.joda.time.IllegalFieldValueException:177	0 1.0 0.0
org.joda.time.IllegalFieldValueException:178	0 1.0 0.0
org.joda.time.IllegalFieldValueException:179	0 1.0 0.0
org.joda.time.IllegalFieldValueException:180	0 1.0 0.0
org.joda.time.IllegalFieldValueException:77	0 5.0 0.0
org.joda.time.IllegalFieldValueException:189	0 5.0 0.0
org.joda.time.IllegalFieldValueException:190	0 5.0 0.0
org.joda.time.IllegalFieldValueException:191	0 5.0 0.0
org.joda.time.IllegalFieldValueException:192	0 5.0 0.0
org.joda.time.IllegalFieldValueException:193	0 5.0 0.0
org.joda.time.IllegalFieldValueException:194	0 5.0 0.0
org.joda.time.IllegalFieldValueException:195	0 5.0 0.0
org.joda.time.IllegalFieldValueException:196	0 5.0 0.0
org.joda.time.IllegalFieldValueException:197	0 5.0 0.0
org.joda.time.IllegalFieldValueException:198	0 5.0 0.0
org.joda.time.IllegalFieldValueException:60	0 9.0 0.0
org.joda.time.IllegalFieldValueException:129	0 9.0 0.0
org.joda.time.IllegalFieldValueException:130	0 9.0 0.0
org.joda.time.IllegalFieldValueException:131	0 9.0 0.0
org.joda.time.IllegalFieldValueException:132	0 9.0 0.0
org.joda.time.IllegalFieldValueException:133	0 9.0 0.0
org.joda.time.IllegalFieldValueException:134	0 9.0 0.0
org.joda.time.IllegalFieldValueException:135	0 9.0 0.0
org.joda.time.IllegalFieldValueException:136	0 9.0 0.0
org.joda.time.IllegalFieldValueException:137	0 9.0 0.0
org.joda.time.IllegalFieldValueException:138	0 9.0 0.0
