org.joda.time.IllegalFieldValueException:314	1.0 0.0 1.0
org.joda.time.chrono.GJChronology:356	1.0 18.0 0.22941573387056174
org.joda.time.chrono.GJChronology:364	1.0 18.0 0.22941573387056174
org.joda.time.field.FieldUtils:233	1.0 18.0 0.22941573387056174
org.joda.time.DateMidnight:343	1.0 30.0 0.1796053020267749
org.joda.time.IllegalFieldValueException:53	1.0 51.0 0.1386750490563073
org.joda.time.IllegalFieldValueException:50	1.0 64.0 0.12403473458920847
org.joda.time.IllegalFieldValueException:108	1.0 68.0 0.1203858530857692
org.joda.time.IllegalFieldValueException:109	1.0 68.0 0.1203858530857692
org.joda.time.IllegalFieldValueException:110	1.0 68.0 0.1203858530857692
org.joda.time.IllegalFieldValueException:111	1.0 68.0 0.1203858530857692
org.joda.time.IllegalFieldValueException:112	1.0 68.0 0.1203858530857692
org.joda.time.IllegalFieldValueException:113	1.0 68.0 0.1203858530857692
org.joda.time.IllegalFieldValueException:114	1.0 68.0 0.1203858530857692
org.joda.time.IllegalFieldValueException:115	1.0 68.0 0.1203858530857692
org.joda.time.IllegalFieldValueException:116	1.0 68.0 0.1203858530857692
org.joda.time.IllegalFieldValueException:117	1.0 68.0 0.1203858530857692
org.joda.time.IllegalFieldValueException:41	1.0 78.0 0.1125087900926024
org.joda.time.IllegalFieldValueException:44	1.0 78.0 0.1125087900926024
org.joda.time.IllegalFieldValueException:59	1.0 78.0 0.1125087900926024
org.joda.time.IllegalFieldValueException:63	1.0 78.0 0.1125087900926024
org.joda.time.DateTimeFieldType:378	1.0 120.0 0.09090909090909091
org.joda.time.chrono.GJChronology:123	1.0 185.0 0.07332355751067665
org.joda.time.chrono.GJChronology:194	1.0 777.0 0.03585173696910374
org.joda.time.Instant:144	1.0 777.0 0.03585173696910374
org.joda.time.chrono.JulianChronology:224	1.0 962.0 0.03222454963485545
org.joda.time.chrono.GJChronology:489	1.0 963.0 0.03220783132004154
org.joda.time.chrono.GJChronology:490	1.0 963.0 0.03220783132004154
org.joda.time.chrono.GJChronology:491	1.0 963.0 0.03220783132004154
org.joda.time.chrono.GJChronology:492	1.0 963.0 0.03220783132004154
org.joda.time.chrono.GJChronology:493	1.0 963.0 0.03220783132004154
org.joda.time.chrono.GJChronology:494	1.0 963.0 0.03220783132004154
org.joda.time.chrono.GJChronology:495	1.0 963.0 0.03220783132004154
org.joda.time.chrono.GJChronology:496	1.0 963.0 0.03220783132004154
org.joda.time.chrono.GJChronology:497	1.0 963.0 0.03220783132004154
org.joda.time.chrono.GJChronology:498	1.0 963.0 0.03220783132004154
org.joda.time.chrono.GJChronology:500	1.0 963.0 0.03220783132004154
org.joda.time.chrono.BasicYearDateTimeField:131	1.0 963.0 0.03220783132004154
org.joda.time.chrono.GJChronology:83	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:105	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:108	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:189	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:191	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:199	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:200	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:201	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:202	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:214	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:215	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:228	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:230	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:271	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:272	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:453	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:455	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:456	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:457	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:458	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:460	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:461	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:462	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:464	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:468	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:473	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:479	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:485	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:505	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:514	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:515	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:520	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:521	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:529	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:531	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:532	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:534	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:537	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:539	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:541	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:543	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:545	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:547	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:549	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:555	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:557	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:558	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:560	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:563	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:600	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:601	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:610	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:611	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:612	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:613	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:614	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:615	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:618	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:620	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:621	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:622	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:624	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:625	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:752	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:922	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:923	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:933	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:934	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:944	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:945	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:946	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:947	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:949	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:950	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:1071	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:1072	1.0 964.0 0.03219113899898252
org.joda.time.chrono.GJChronology:1073	1.0 964.0 0.03219113899898252
org.joda.time.chrono.BasicYearDateTimeField:127	1.0 964.0 0.03219113899898252
