org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:1793	1.0 0.0 1.0
org.jfree.chart.plot.CategoryPlot:1613	1.0 4.0 0.4472135954999579
org.jfree.chart.plot.CategoryPlot:1614	1.0 4.0 0.4472135954999579
org.jfree.chart.plot.CategoryPlot:1665	1.0 7.0 0.35355339059327373
org.jfree.chart.plot.CategoryPlot:1667	1.0 7.0 0.35355339059327373
org.jfree.chart.plot.CategoryPlot:1672	1.0 7.0 0.35355339059327373
org.jfree.chart.plot.CategoryPlot:1678	1.0 7.0 0.35355339059327373
org.jfree.chart.plot.CategoryPlot:1679	1.0 7.0 0.35355339059327373
org.jfree.chart.plot.CategoryPlot:1684	1.0 7.0 0.35355339059327373
org.jfree.chart.plot.CategoryPlot:567	1.0 13.0 0.2672612419124244
org.jfree.chart.plot.CategoryPlot:568	1.0 13.0 0.2672612419124244
org.jfree.chart.plot.CategoryPlot:1339	1.0 14.0 0.2581988897471611
org.jfree.chart.plot.CategoryPlot:1340	1.0 14.0 0.2581988897471611
org.jfree.chart.plot.CategoryPlot:1352	1.0 22.0 0.20851441405707477
org.jfree.chart.plot.CategoryPlot:1353	1.0 22.0 0.20851441405707477
org.jfree.chart.plot.CategoryPlot:1356	1.0 22.0 0.20851441405707477
org.jfree.chart.plot.CategoryPlot:1362	1.0 22.0 0.20851441405707477
org.jfree.chart.plot.CategoryPlot:1365	1.0 22.0 0.20851441405707477
org.jfree.chart.plot.CategoryPlot:1367	1.0 22.0 0.20851441405707477
org.jfree.chart.renderer.category.LineAndShapeRenderer:201	1.0 27.0 0.1889822365046136
org.jfree.chart.renderer.category.LineAndShapeRenderer:202	1.0 27.0 0.1889822365046136
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:1791	1.0 37.0 0.16222142113076254
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:1792	1.0 37.0 0.16222142113076254
org.jfree.data.category.DefaultCategoryDataset:259	1.0 43.0 0.15075567228888181
org.jfree.data.category.DefaultCategoryDataset:260	1.0 43.0 0.15075567228888181
org.jfree.chart.renderer.category.LineAndShapeRenderer:211	1.0 50.0 0.14002800840280097
org.jfree.chart.renderer.category.LineAndShapeRenderer:212	1.0 50.0 0.14002800840280097
org.jfree.chart.renderer.category.LineAndShapeRenderer:213	1.0 50.0 0.14002800840280097
org.jfree.chart.renderer.category.LineAndShapeRenderer:214	1.0 50.0 0.14002800840280097
org.jfree.chart.renderer.category.LineAndShapeRenderer:215	1.0 50.0 0.14002800840280097
org.jfree.chart.renderer.category.LineAndShapeRenderer:216	1.0 50.0 0.14002800840280097
org.jfree.chart.renderer.category.LineAndShapeRenderer:217	1.0 50.0 0.14002800840280097
org.jfree.chart.renderer.category.LineAndShapeRenderer:218	1.0 50.0 0.14002800840280097
org.jfree.chart.renderer.category.LineAndShapeRenderer:219	1.0 50.0 0.14002800840280097
org.jfree.chart.renderer.category.LineAndShapeRenderer:220	1.0 50.0 0.14002800840280097
org.jfree.chart.renderer.category.LineAndShapeRenderer:221	1.0 50.0 0.14002800840280097
org.jfree.chart.renderer.category.LineAndShapeRenderer:222	1.0 50.0 0.14002800840280097
org.jfree.chart.renderer.category.LineAndShapeRenderer:223	1.0 50.0 0.14002800840280097
org.jfree.chart.LegendItemCollection:107	1.0 60.0 0.12803687993289598
org.jfree.chart.LegendItemCollection:68	1.0 64.0 0.12403473458920847
org.jfree.chart.LegendItemCollection:69	1.0 64.0 0.12403473458920847
org.jfree.chart.LegendItemCollection:70	1.0 64.0 0.12403473458920847
org.jfree.data.category.DefaultCategoryDataset:243	1.0 79.0 0.11180339887498948
org.jfree.data.category.DefaultCategoryDataset:244	1.0 79.0 0.11180339887498948
org.jfree.data.category.DefaultCategoryDataset:246	1.0 79.0 0.11180339887498948
org.jfree.data.category.DefaultCategoryDataset:80	1.0 95.0 0.10206207261596577
org.jfree.data.category.DefaultCategoryDataset:81	1.0 95.0 0.10206207261596577
org.jfree.data.category.DefaultCategoryDataset:83	1.0 95.0 0.10206207261596577
org.jfree.data.category.DefaultCategoryDataset:84	1.0 95.0 0.10206207261596577
org.jfree.data.category.AbstractCategoryDataset:64	1.0 95.0 0.10206207261596577
org.jfree.data.category.AbstractCategoryDataset:65	1.0 95.0 0.10206207261596577
org.jfree.data.category.AbstractCategoryDataset:87	1.0 95.0 0.10206207261596577
org.jfree.data.category.AbstractCategoryDataset:88	1.0 95.0 0.10206207261596577
org.jfree.data.category.AbstractCategoryDataset:90	1.0 95.0 0.10206207261596577
org.jfree.data.KeyedObjects2D:257	1.0 97.0 0.10101525445522107
org.jfree.data.KeyedObjects2D:258	1.0 97.0 0.10101525445522107
org.jfree.data.SelectableValue:65	1.0 101.0 0.09901475429766744
org.jfree.data.SelectableValue:66	1.0 101.0 0.09901475429766744
org.jfree.data.SelectableValue:74	1.0 101.0 0.09901475429766744
org.jfree.data.SelectableValue:75	1.0 101.0 0.09901475429766744
org.jfree.data.SelectableValue:76	1.0 101.0 0.09901475429766744
org.jfree.data.SelectableValue:77	1.0 101.0 0.09901475429766744
org.jfree.data.KeyedObjects2D:270	1.0 103.0 0.09805806756909202
org.jfree.data.KeyedObjects2D:273	1.0 103.0 0.09805806756909202
org.jfree.data.KeyedObjects2D:277	1.0 103.0 0.09805806756909202
org.jfree.data.KeyedObjects2D:278	1.0 103.0 0.09805806756909202
org.jfree.data.KeyedObjects2D:282	1.0 103.0 0.09805806756909202
org.jfree.data.KeyedObjects2D:283	1.0 103.0 0.09805806756909202
org.jfree.data.KeyedObjects2D:284	1.0 103.0 0.09805806756909202
org.jfree.data.KeyedObjects2D:286	1.0 103.0 0.09805806756909202
org.jfree.data.KeyedObjects2D:287	1.0 103.0 0.09805806756909202
org.jfree.data.KeyedObjects2D:292	1.0 103.0 0.09805806756909202
org.jfree.data.KeyedObjects2D:73	1.0 113.0 0.0936585811581694
org.jfree.data.KeyedObjects2D:74	1.0 113.0 0.0936585811581694
org.jfree.data.KeyedObjects2D:75	1.0 113.0 0.0936585811581694
org.jfree.data.KeyedObjects2D:76	1.0 113.0 0.0936585811581694
org.jfree.data.KeyedObjects2D:77	1.0 113.0 0.0936585811581694
org.jfree.chart.plot.CategoryPlot:286	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:291	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:294	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:309	1.0 114.0 0.09325048082403138
