org.jfree.chart.plot.PiePlot:2613	0 0.0 0
org.jfree.chart.plot.PiePlot:670	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1398	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1423	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1448	0 1.0 0.0
org.jfree.chart.plot.PiePlot:706	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2049	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2050	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2051	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2611	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2612	0 3.0 0.0
org.jfree.chart.plot.PiePlot:551	0 5.0 0.0
org.jfree.chart.plot.PiePlot:731	0 6.0 0.0
org.jfree.chart.plot.PiePlot:732	0 6.0 0.0
org.jfree.chart.plot.PiePlot:735	0 6.0 0.0
org.jfree.chart.plot.PiePlot:246	0 35.0 0.0
org.jfree.chart.plot.PiePlot:250	0 35.0 0.0
org.jfree.chart.plot.PiePlot:253	0 35.0 0.0
org.jfree.chart.plot.PiePlot:257	0 35.0 0.0
org.jfree.chart.plot.PiePlot:260	0 35.0 0.0
org.jfree.chart.plot.PiePlot:264	0 35.0 0.0
org.jfree.chart.plot.PiePlot:316	0 35.0 0.0
org.jfree.chart.plot.PiePlot:319	0 35.0 0.0
org.jfree.chart.plot.PiePlot:322	0 35.0 0.0
org.jfree.chart.plot.PiePlot:365	0 35.0 0.0
org.jfree.chart.plot.PiePlot:383	0 35.0 0.0
org.jfree.chart.plot.PiePlot:389	0 35.0 0.0
org.jfree.chart.plot.PiePlot:395	0 35.0 0.0
org.jfree.chart.plot.PiePlot:398	0 35.0 0.0
org.jfree.chart.plot.PiePlot:401	0 35.0 0.0
org.jfree.chart.plot.PiePlot:456	0 35.0 0.0
org.jfree.chart.plot.PiePlot:492	0 35.0 0.0
org.jfree.chart.plot.PiePlot:493	0 35.0 0.0
org.jfree.chart.plot.PiePlot:494	0 35.0 0.0
org.jfree.chart.plot.PiePlot:497	0 35.0 0.0
org.jfree.chart.plot.PiePlot:499	0 35.0 0.0
org.jfree.chart.plot.PiePlot:500	0 35.0 0.0
org.jfree.chart.plot.PiePlot:501	0 35.0 0.0
org.jfree.chart.plot.PiePlot:502	0 35.0 0.0
org.jfree.chart.plot.PiePlot:503	0 35.0 0.0
org.jfree.chart.plot.PiePlot:505	0 35.0 0.0
org.jfree.chart.plot.PiePlot:506	0 35.0 0.0
org.jfree.chart.plot.PiePlot:508	0 35.0 0.0
org.jfree.chart.plot.PiePlot:509	0 35.0 0.0
org.jfree.chart.plot.PiePlot:510	0 35.0 0.0
org.jfree.chart.plot.PiePlot:512	0 35.0 0.0
org.jfree.chart.plot.PiePlot:513	0 35.0 0.0
org.jfree.chart.plot.PiePlot:515	0 35.0 0.0
org.jfree.chart.plot.PiePlot:517	0 35.0 0.0
org.jfree.chart.plot.PiePlot:518	0 35.0 0.0
org.jfree.chart.plot.PiePlot:519	0 35.0 0.0
org.jfree.chart.plot.PiePlot:520	0 35.0 0.0
org.jfree.chart.plot.PiePlot:521	0 35.0 0.0
org.jfree.chart.plot.PiePlot:522	0 35.0 0.0
org.jfree.chart.plot.PiePlot:523	0 35.0 0.0
org.jfree.chart.plot.PiePlot:524	0 35.0 0.0
org.jfree.chart.plot.PiePlot:525	0 35.0 0.0
org.jfree.chart.plot.PiePlot:527	0 35.0 0.0
org.jfree.chart.plot.PiePlot:528	0 35.0 0.0
org.jfree.chart.plot.PiePlot:530	0 35.0 0.0
org.jfree.chart.plot.PiePlot:532	0 35.0 0.0
org.jfree.chart.plot.PiePlot:533	0 35.0 0.0
org.jfree.chart.plot.PiePlot:534	0 35.0 0.0
org.jfree.chart.plot.PiePlot:535	0 35.0 0.0
org.jfree.chart.plot.PiePlot:536	0 35.0 0.0
org.jfree.chart.plot.PiePlot:537	0 35.0 0.0
org.jfree.chart.plot.PiePlot:539	0 35.0 0.0
org.jfree.chart.plot.PiePlot:540	0 35.0 0.0
org.jfree.chart.plot.PiePlot:541	0 35.0 0.0
org.jfree.chart.plot.PiePlot:483	0 11.0 0.0
org.jfree.chart.plot.PiePlot:484	0 11.0 0.0
org.jfree.chart.plot.PiePlot:495	0 17.0 0.0
org.jfree.chart.plot.PiePlot:1410	0 16.0 0.0
org.jfree.chart.plot.PiePlot:1411	0 16.0 0.0
org.jfree.chart.plot.PiePlot:1412	0 16.0 0.0
org.jfree.chart.plot.PiePlot:1862	0 17.0 0.0
org.jfree.chart.plot.PiePlot:1863	0 17.0 0.0
org.jfree.chart.plot.PiePlot:1864	0 17.0 0.0
org.jfree.chart.plot.PiePlot:2798	0 20.0 0.0
org.jfree.chart.plot.PiePlot:2801	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2804	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2807	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2808	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2811	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2814	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2817	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2820	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2823	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2826	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2829	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2833	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2837	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2840	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2844	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2849	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2853	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2858	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2861	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2864	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2867	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2871	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2875	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2878	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2881	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2885	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2889	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2893	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2897	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2900	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2903	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2906	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2909	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2912	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2915	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2918	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2921	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2925	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2929	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2932	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2935	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2938	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2942	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2946	0 19.0 0.0
org.jfree.chart.plot.PiePlot:2951	0 19.0 0.0
org.jfree.chart.plot.PiePlot:1886	0 5.0 0.0
org.jfree.chart.plot.PiePlot:1887	0 5.0 0.0
org.jfree.chart.plot.PiePlot:1888	0 5.0 0.0
org.jfree.chart.plot.PiePlot:2995	0 6.0 0.0
org.jfree.chart.plot.PiePlot:2996	0 6.0 0.0
org.jfree.chart.plot.PiePlot:2997	0 6.0 0.0
org.jfree.chart.plot.PiePlot:2998	0 6.0 0.0
org.jfree.chart.plot.PiePlot:2999	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3000	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3001	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3002	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3003	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3004	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3005	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3006	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3007	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3008	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3020	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3021	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3022	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3023	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3024	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3025	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3026	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3027	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3028	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3029	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3030	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3031	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3032	0 6.0 0.0
org.jfree.chart.plot.PiePlot:3033	0 6.0 0.0
org.jfree.chart.plot.PiePlot:564	0 2.0 0.0
org.jfree.chart.plot.PiePlot:565	0 2.0 0.0
org.jfree.chart.plot.PiePlot:566	0 2.0 0.0
org.jfree.chart.plot.PiePlot:570	0 2.0 0.0
org.jfree.chart.plot.PiePlot:571	0 2.0 0.0
org.jfree.chart.plot.PiePlot:577	0 2.0 0.0
org.jfree.chart.plot.PiePlot:578	0 2.0 0.0
org.jfree.chart.plot.PiePlot:579	0 2.0 0.0
org.jfree.chart.plot.PiePlot:614	0 2.0 0.0
org.jfree.chart.plot.PiePlot:641	0 1.0 0.0
org.jfree.chart.plot.PiePlot:808	0 1.0 0.0
org.jfree.chart.plot.PiePlot:833	0 3.0 0.0
org.jfree.chart.plot.PiePlot:836	0 3.0 0.0
org.jfree.chart.plot.PiePlot:837	0 3.0 0.0
org.jfree.chart.plot.PiePlot:838	0 2.0 0.0
org.jfree.chart.plot.PiePlot:842	0 3.0 0.0
org.jfree.chart.plot.PiePlot:843	0 3.0 0.0
org.jfree.chart.plot.PiePlot:844	0 3.0 0.0
org.jfree.chart.plot.PiePlot:845	0 3.0 0.0
org.jfree.chart.plot.PiePlot:846	0 3.0 0.0
org.jfree.chart.plot.PiePlot:851	0 3.0 0.0
org.jfree.chart.plot.PiePlot:855	0 3.0 0.0
org.jfree.chart.plot.PiePlot:873	0 2.0 0.0
org.jfree.chart.plot.PiePlot:874	0 2.0 0.0
org.jfree.chart.plot.PiePlot:875	0 2.0 0.0
org.jfree.chart.plot.PiePlot:876	0 2.0 0.0
org.jfree.chart.plot.PiePlot:879	0 2.0 0.0
org.jfree.chart.plot.PiePlot:882	0 2.0 0.0
org.jfree.chart.plot.PiePlot:996	0 3.0 0.0
org.jfree.chart.plot.PiePlot:1023	0 3.0 0.0
org.jfree.chart.plot.PiePlot:1026	0 3.0 0.0
org.jfree.chart.plot.PiePlot:1027	0 3.0 0.0
org.jfree.chart.plot.PiePlot:1032	0 3.0 0.0
org.jfree.chart.plot.PiePlot:1043	0 3.0 0.0
org.jfree.chart.plot.PiePlot:1045	0 3.0 0.0
