org.jfree.data.time.TimeSeries:880	1.0 1.0 0.7071067811865475
org.jfree.data.time.TimeSeries:857	1.0 2.0 0.5773502691896258
org.jfree.data.time.TimeSeries:876	1.0 4.0 0.4472135954999579
org.jfree.data.time.TimeSeries:879	1.0 4.0 0.4472135954999579
org.jfree.data.time.TimeSeries:140	1.0 10.0 0.30151134457776363
org.jfree.data.time.TimeSeries:142	1.0 10.0 0.30151134457776363
org.jfree.data.time.TimeSeries:141	1.0 11.0 0.2886751345948129
org.jfree.data.time.Day:83	1.0 14.0 0.2581988897471611
org.jfree.data.time.Day:88	1.0 14.0 0.2581988897471611
org.jfree.data.time.Day:92	1.0 14.0 0.2581988897471611
org.jfree.data.time.Day:96	1.0 14.0 0.2581988897471611
org.jfree.data.time.Year:96	1.0 20.0 0.2182178902359924
org.jfree.data.time.Year:97	1.0 20.0 0.2182178902359924
org.jfree.data.time.Year:103	1.0 20.0 0.2182178902359924
org.jfree.data.time.Year:104	1.0 20.0 0.2182178902359924
org.jfree.data.time.Year:105	1.0 20.0 0.2182178902359924
org.jfree.data.time.Year:176	1.0 20.0 0.2182178902359924
org.jfree.data.time.Year:177	1.0 20.0 0.2182178902359924
org.jfree.data.time.Year:178	1.0 20.0 0.2182178902359924
org.jfree.data.time.Year:233	1.0 20.0 0.2182178902359924
org.jfree.data.time.Year:234	1.0 20.0 0.2182178902359924
org.jfree.data.time.Year:237	1.0 20.0 0.2182178902359924
org.jfree.data.time.Year:252	1.0 20.0 0.2182178902359924
org.jfree.data.time.Year:253	1.0 20.0 0.2182178902359924
org.jfree.data.time.Year:256	1.0 20.0 0.2182178902359924
org.jfree.data.time.Year:320	1.0 20.0 0.2182178902359924
org.jfree.data.time.Year:336	1.0 20.0 0.2182178902359924
org.jfree.data.time.TimeSeries:586	1.0 21.0 0.21320071635561041
org.jfree.data.time.TimeSeries:587	1.0 21.0 0.21320071635561041
org.jfree.data.time.TimeSeries:600	1.0 21.0 0.21320071635561041
org.jfree.data.time.TimeSeries:601	1.0 21.0 0.21320071635561041
org.jfree.data.time.TimeSeries:602	1.0 21.0 0.21320071635561041
org.jfree.data.time.TimeSeries:153	1.0 23.0 0.20412414523193154
org.jfree.data.time.TimeSeries:155	1.0 23.0 0.20412414523193154
org.jfree.data.time.TimeSeries:339	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:370	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:489	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:492	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:504	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:505	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:506	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:507	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:508	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:511	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:512	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:534	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:536	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:540	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:543	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:544	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:548	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:738	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:750	1.0 25.0 0.19611613513818404
org.jfree.data.general.Series:313	1.0 25.0 0.19611613513818404
org.jfree.data.general.Series:314	1.0 25.0 0.19611613513818404
org.jfree.data.general.Series:316	1.0 25.0 0.19611613513818404
org.jfree.data.general.Series:326	1.0 25.0 0.19611613513818404
org.jfree.data.general.Series:327	1.0 25.0 0.19611613513818404
org.jfree.data.general.Series:334	1.0 25.0 0.19611613513818404
org.jfree.data.general.SeriesChangeEvent:61	1.0 25.0 0.19611613513818404
org.jfree.data.general.SeriesChangeEvent:62	1.0 25.0 0.19611613513818404
org.jfree.data.time.RegularTimePeriod:70	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeriesDataItem:92	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeriesDataItem:93	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeriesDataItem:96	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeriesDataItem:97	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeriesDataItem:98	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeriesDataItem:116	1.0 25.0 0.19611613513818404
org.jfree.data.time.TimeSeries:238	1.0 26.0 0.19245008972987526
org.jfree.data.time.TimeSeries:172	1.0 29.0 0.18257418583505536
org.jfree.data.time.TimeSeries:173	1.0 29.0 0.18257418583505536
org.jfree.data.time.TimeSeries:174	1.0 29.0 0.18257418583505536
org.jfree.data.time.TimeSeries:175	1.0 29.0 0.18257418583505536
