org.jfree.chart.plot.Marker:265	1.0 4.0 0.4472135954999579
org.jfree.chart.plot.Marker:238	1.0 26.0 0.19245008972987526
org.jfree.chart.plot.Marker:211	1.0 29.0 0.18257418583505536
org.jfree.chart.plot.ValueMarker:107	1.0 30.0 0.1796053020267749
org.jfree.chart.plot.ValueMarker:95	1.0 94.0 0.10259783520851541
org.jfree.chart.plot.ValueMarker:96	1.0 94.0 0.10259783520851541
org.jfree.chart.plot.ValueMarker:97	1.0 94.0 0.10259783520851541
org.jfree.chart.plot.Marker:117	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:175	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:177	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:180	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:183	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:187	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:188	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:189	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:190	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:191	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:193	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:194	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:195	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:196	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:197	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:198	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:200	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Marker:201	1.0 116.0 0.09245003270420485
org.jfree.chart.util.LengthAdjustmentType:59	1.0 116.0 0.09245003270420485
org.jfree.chart.util.LengthAdjustmentType:63	1.0 116.0 0.09245003270420485
org.jfree.chart.util.LengthAdjustmentType:67	1.0 116.0 0.09245003270420485
org.jfree.chart.util.LengthAdjustmentType:78	1.0 116.0 0.09245003270420485
org.jfree.chart.util.LengthAdjustmentType:79	1.0 116.0 0.09245003270420485
org.jfree.chart.util.LengthAdjustmentType:80	1.0 116.0 0.09245003270420485
