org.jfree.chart.renderer.category.MinMaxCategoryRenderer:174	1.0 0.0 1.0
org.jfree.chart.renderer.AbstractRenderer:135	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:138	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:141	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:158	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:290	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:313	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:315	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:316	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:318	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:319	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:321	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:322	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:323	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:325	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:326	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:327	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:329	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:330	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:331	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:333	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:334	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:335	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:337	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:338	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:339	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:341	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:342	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:343	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:345	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:346	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:348	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:349	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:351	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:352	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:354	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:355	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:358	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:359	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:362	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:363	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:365	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:367	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:2151	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.AbstractRenderer:2154	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:107	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:112	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:117	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:132	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:144	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:145	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:448	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:449	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:488	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:489	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:490	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:491	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.ItemLabelAnchor:169	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.ItemLabelAnchor:170	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.ItemLabelAnchor:171	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.ItemLabelPosition:93	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.ItemLabelPosition:113	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.ItemLabelPosition:117	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.ItemLabelPosition:120	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.ItemLabelPosition:125	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.ItemLabelPosition:126	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.ItemLabelPosition:127	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.ItemLabelPosition:128	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.ItemLabelPosition:130	1.0 4.0 0.4472135954999579
org.jfree.chart.text.TextAnchor:88	1.0 4.0 0.4472135954999579
org.jfree.chart.text.TextAnchor:126	1.0 4.0 0.4472135954999579
org.jfree.chart.text.TextAnchor:127	1.0 4.0 0.4472135954999579
