com.google.javascript.rhino.jstype.UnionTypeBuilder:157	1.0 12.0 0.2773500981126146
com.google.javascript.rhino.jstype.NoObjectType:342	1.0 15.0 0.25
com.google.javascript.rhino.jstype.NoType:129	1.0 17.0 0.23570226039551587
com.google.javascript.rhino.jstype.NoObjectType:285	1.0 76.0 0.11396057645963795
com.google.javascript.rhino.testing.BaseJSTypeTestCase:388	1.0 83.0 0.1091089451179962
com.google.javascript.rhino.jstype.NamedType:97	1.0 198.0 0.07088812050083358
com.google.javascript.rhino.jstype.NamedType:104	1.0 198.0 0.07088812050083358
com.google.javascript.rhino.jstype.NamedType:106	1.0 198.0 0.07088812050083358
com.google.javascript.rhino.jstype.NamedType:107	1.0 198.0 0.07088812050083358
com.google.javascript.rhino.jstype.NamedType:108	1.0 198.0 0.07088812050083358
com.google.javascript.rhino.jstype.NamedType:109	1.0 198.0 0.07088812050083358
com.google.javascript.rhino.jstype.NamedType:110	1.0 198.0 0.07088812050083358
com.google.javascript.rhino.jstype.NamedType:111	1.0 198.0 0.07088812050083358
com.google.javascript.rhino.testing.BaseJSTypeTestCase:113	1.0 670.0 0.038604571824109146
com.google.javascript.rhino.testing.BaseJSTypeTestCase:114	1.0 670.0 0.038604571824109146
com.google.javascript.rhino.testing.BaseJSTypeTestCase:115	1.0 670.0 0.038604571824109146
com.google.javascript.rhino.testing.BaseJSTypeTestCase:116	1.0 670.0 0.038604571824109146
com.google.javascript.rhino.testing.BaseJSTypeTestCase:117	1.0 670.0 0.038604571824109146
com.google.javascript.rhino.testing.TestErrorReporter:64	1.0 708.0 0.037555788309433985
com.google.javascript.rhino.testing.TestErrorReporter:65	1.0 708.0 0.037555788309433985
com.google.javascript.rhino.testing.TestErrorReporter:67	1.0 708.0 0.037555788309433985
com.google.javascript.rhino.testing.TestErrorReporter:68	1.0 708.0 0.037555788309433985
com.google.javascript.rhino.testing.TestErrorReporter:69	1.0 708.0 0.037555788309433985
com.google.javascript.rhino.testing.TestErrorReporter:70	1.0 708.0 0.037555788309433985
