com.google.javascript.jscomp.parsing.JsDocInfoParser:1949	2.0 0.0 1.0
com.google.javascript.jscomp.parsing.JsDocInfoParser:2404	2.0 10.0 0.4082482904638631
com.google.javascript.jscomp.parsing.JsDocInfoParser:2399	2.0 45.0 0.20628424925175867
com.google.javascript.jscomp.parsing.JsDocInfoParser:1908	2.0 97.0 0.1421338109037403
com.google.javascript.jscomp.parsing.JsDocInfoParser:2009	2.0 97.0 0.1421338109037403
com.google.javascript.jscomp.parsing.JsDocInfoParser:2010	2.0 97.0 0.1421338109037403
com.google.javascript.jscomp.parsing.JsDocInfoParser:2011	2.0 97.0 0.1421338109037403
com.google.javascript.jscomp.parsing.JsDocInfoParser:2012	2.0 97.0 0.1421338109037403
com.google.javascript.jscomp.parsing.JsDocInfoParser:83	2.0 110.0 0.1336306209562122
com.google.javascript.jscomp.parsing.JsDocInfoParser:2005	2.0 155.0 0.11286652959662007
com.google.javascript.jscomp.parsing.JsDocInfoParser:2006	2.0 155.0 0.11286652959662007
com.google.javascript.jscomp.parsing.JsDocInfoParser:2007	2.0 155.0 0.11286652959662007
com.google.javascript.jscomp.parsing.JsDocInfoParser:2008	2.0 155.0 0.11286652959662007
com.google.javascript.jscomp.parsing.JsDocInfoParser:48	2.0 166.0 0.1091089451179962
com.google.javascript.jscomp.parsing.JsDocInfoParser:2001	2.0 180.0 0.10482848367219183
com.google.javascript.jscomp.parsing.JsDocInfoParser:2003	2.0 180.0 0.10482848367219183
com.google.javascript.jscomp.parsing.JsDocInfoParser:2004	2.0 180.0 0.10482848367219183
com.google.javascript.jscomp.parsing.JsDocInfoParser:1997	2.0 210.0 0.09712858623572641
com.google.javascript.jscomp.parsing.JsDocInfoParser:1998	2.0 210.0 0.09712858623572641
com.google.javascript.jscomp.parsing.JsDocInfoParser:1999	2.0 210.0 0.09712858623572641
com.google.javascript.jscomp.parsing.JsDocInfoParser:2000	2.0 210.0 0.09712858623572641
com.google.javascript.jscomp.parsing.JsDocInfoParser:1930	2.0 212.0 0.09667364890456635
com.google.javascript.jscomp.parsing.JsDocInfoParser:1931	2.0 212.0 0.09667364890456635
com.google.javascript.jscomp.parsing.JsDocInfoParser:1992	2.0 212.0 0.09667364890456635
com.google.javascript.jscomp.parsing.JsDocTokenStream:41	2.0 444.0 0.06696495301824251
com.google.javascript.jscomp.parsing.JsDocTokenStream:42	2.0 444.0 0.06696495301824251
com.google.javascript.rhino.jstype.SimpleSourceFile:50	2.0 530.0 0.06131393394849658
com.google.javascript.rhino.jstype.SimpleSourceFile:51	2.0 530.0 0.06131393394849658
com.google.javascript.rhino.jstype.SimpleSourceFile:52	2.0 530.0 0.06131393394849658
com.google.javascript.rhino.jstype.SimpleSourceFile:53	2.0 530.0 0.06131393394849658
com.google.javascript.rhino.jstype.SimpleSourceFile:57	2.0 530.0 0.06131393394849658
com.google.javascript.jscomp.parsing.ParserRunner:54	2.0 622.0 0.05661385170722978
com.google.javascript.jscomp.parsing.JsDocInfoParser:2372	2.0 2525.0 0.02813276230657099
com.google.javascript.rhino.jstype.PropertyMap:153	2.0 2632.0 0.027555424922739644
com.google.javascript.rhino.jstype.PropertyMap:156	2.0 2632.0 0.027555424922739644
com.google.javascript.rhino.jstype.PropertyMap:157	2.0 2632.0 0.027555424922739644
com.google.javascript.rhino.jstype.PropertyMap:158	2.0 2632.0 0.027555424922739644
com.google.javascript.rhino.jstype.PropertyMap:174	2.0 2644.0 0.02749286996141075
com.google.javascript.rhino.jstype.PropertyMap:177	2.0 2644.0 0.02749286996141075
com.google.javascript.rhino.jstype.PropertyMap:178	2.0 2644.0 0.02749286996141075
com.google.javascript.rhino.jstype.PropertyMap:179	2.0 2644.0 0.02749286996141075
com.google.javascript.rhino.jstype.PropertyMap:181	2.0 2644.0 0.02749286996141075
com.google.javascript.rhino.jstype.PropertyMap:186	2.0 2644.0 0.02749286996141075
com.google.javascript.jscomp.parsing.JsDocInfoParser:2570	2.0 2970.0 0.025941231853830935
com.google.javascript.jscomp.parsing.JsDocInfoParser:2571	2.0 2970.0 0.025941231853830935
com.google.javascript.jscomp.parsing.JsDocInfoParser:1716	2.0 3005.0 0.025789818384225206
com.google.javascript.jscomp.parsing.JsDocInfoParser:1717	2.0 3005.0 0.025789818384225206
com.google.javascript.jscomp.parsing.JsDocInfoParser:949	2.0 3021.0 0.025721478235254717
com.google.javascript.jscomp.parsing.JsDocInfoParser:950	2.0 3021.0 0.025721478235254717
com.google.javascript.jscomp.parsing.JsDocInfoParser:951	2.0 3021.0 0.025721478235254717
com.google.javascript.jscomp.parsing.JsDocInfoParser:1270	2.0 3055.0 0.025578040958226515
com.google.javascript.jscomp.parsing.JsDocInfoParser:1334	2.0 3055.0 0.025578040958226515
com.google.javascript.jscomp.parsing.JsDocInfoParser:1715	2.0 3055.0 0.025578040958226515
com.google.javascript.jscomp.parsing.JsDocInfoParser:1329	2.0 3119.0 0.025314427702792283
com.google.javascript.jscomp.parsing.JsDocInfoParser:1331	2.0 3119.0 0.025314427702792283
com.google.javascript.jscomp.parsing.JsDocInfoParser:2568	2.0 3156.0 0.025165695359475018
com.google.javascript.jscomp.parsing.JsDocInfoParser:934	2.0 3159.0 0.025153750562333717
com.google.javascript.jscomp.parsing.JsDocInfoParser:935	2.0 3159.0 0.025153750562333717
com.google.javascript.jscomp.parsing.JsDocInfoParser:937	2.0 3159.0 0.025153750562333717
com.google.javascript.jscomp.parsing.JsDocInfoParser:938	2.0 3159.0 0.025153750562333717
com.google.javascript.jscomp.parsing.JsDocInfoParser:939	2.0 3159.0 0.025153750562333717
com.google.javascript.jscomp.parsing.JsDocInfoParser:944	2.0 3159.0 0.025153750562333717
com.google.javascript.jscomp.parsing.JsDocInfoParser:947	2.0 3159.0 0.025153750562333717
com.google.javascript.jscomp.parsing.JsDocInfoParser:948	2.0 3159.0 0.025153750562333717
com.google.javascript.jscomp.parsing.JsDocInfoParser:2550	2.0 3159.0 0.025153750562333717
com.google.javascript.jscomp.parsing.JsDocInfoParser:2563	2.0 3162.0 0.025141822757713452
com.google.javascript.jscomp.parsing.JsDocInfoParser:2566	2.0 3162.0 0.025141822757713452
com.google.javascript.jscomp.parsing.JsDocInfoParser:2567	2.0 3162.0 0.025141822757713452
com.google.javascript.jscomp.parsing.JsDocInfoParser:2569	2.0 3162.0 0.025141822757713452
com.google.javascript.jscomp.parsing.JsDocInfoParser:2576	2.0 3162.0 0.025141822757713452
com.google.javascript.jscomp.parsing.JsDocInfoParser:2577	2.0 3162.0 0.025141822757713452
com.google.javascript.jscomp.parsing.JsDocInfoParser:1808	2.0 3163.0 0.025137850591995053
com.google.javascript.jscomp.parsing.JsDocInfoParser:1888	2.0 3174.0 0.02509428066142478
com.google.javascript.jscomp.parsing.JsDocInfoParser:1928	2.0 3177.0 0.02508243721830711
com.google.javascript.jscomp.parsing.JsDocInfoParser:1929	2.0 3177.0 0.02508243721830711
com.google.javascript.jscomp.parsing.JsDocInfoParser:1924	2.0 3181.0 0.025066672014223933
com.google.javascript.jscomp.parsing.JsDocInfoParser:1927	2.0 3181.0 0.025066672014223933
com.google.javascript.jscomp.parsing.JsDocInfoParser:1918	2.0 3186.0 0.025047007249281213
com.google.javascript.jscomp.parsing.JsDocInfoParser:1921	2.0 3186.0 0.025047007249281213
com.google.javascript.jscomp.parsing.JsDocInfoParser:1885	2.0 3199.0 0.02499609466528899
com.google.javascript.jscomp.parsing.JsDocInfoParser:1916	2.0 3203.0 0.02498049160842196
com.google.javascript.jscomp.parsing.JsDocInfoParser:1857	2.0 3208.0 0.024961028814965893
com.google.javascript.jscomp.parsing.JsDocInfoParser:1948	2.0 3220.0 0.024914503091731197
com.google.javascript.rhino.jstype.PropertyMap:114	2.0 3289.0 0.02465193742567222
com.google.javascript.rhino.jstype.PropertyMap:118	2.0 3289.0 0.02465193742567222
com.google.javascript.rhino.jstype.PropertyMap:119	2.0 3289.0 0.02465193742567222
com.google.javascript.rhino.jstype.PropertyMap:102	2.0 3296.0 0.024625761678892605
com.google.javascript.rhino.jstype.PropertyMap:103	2.0 3296.0 0.024625761678892605
