com.google.javascript.jscomp.ScopedAliases:360	2.0 8.0 0.4472135954999579
com.google.javascript.jscomp.ScopedAliases:358	2.0 54.0 0.1889822365046136
com.google.javascript.jscomp.ScopedAliases:421	2.0 54.0 0.1889822365046136
com.google.javascript.jscomp.CompilerOptions:2344	2.0 55.0 0.1873171623163388
com.google.javascript.jscomp.CompilerOptions:2345	2.0 55.0 0.1873171623163388
com.google.javascript.jscomp.ScopedAliases:299	2.0 58.0 0.18257418583505536
com.google.javascript.jscomp.ScopedAliases:312	2.0 58.0 0.18257418583505536
com.google.javascript.jscomp.ScopedAliases:313	2.0 58.0 0.18257418583505536
com.google.javascript.jscomp.ScopedAliases:314	2.0 58.0 0.18257418583505536
com.google.javascript.jscomp.ScopedAliases:422	2.0 58.0 0.18257418583505536
com.google.javascript.jscomp.JSError:203	2.0 84.0 0.15249857033260467
com.google.javascript.jscomp.NodeUtil:442	2.0 149.0 0.1150870675296872
com.google.javascript.jscomp.NodeUtil:443	2.0 149.0 0.1150870675296872
com.google.javascript.jscomp.ScopedAliases:322	2.0 178.0 0.10540925533894598
com.google.javascript.jscomp.NodeUtil:427	2.0 222.0 0.0944911182523068
com.google.javascript.jscomp.NodeUtil:428	2.0 222.0 0.0944911182523068
com.google.javascript.jscomp.NodeUtil:429	2.0 222.0 0.0944911182523068
com.google.javascript.rhino.SourcePosition:47	2.0 239.0 0.09109750373485538
com.google.javascript.jscomp.ScopedAliases:82	2.0 261.0 0.08720414403938948
com.google.javascript.jscomp.ScopedAliases:86	2.0 261.0 0.08720414403938948
com.google.javascript.jscomp.ScopedAliases:92	2.0 261.0 0.08720414403938948
com.google.javascript.jscomp.ScopedAliases:96	2.0 261.0 0.08720414403938948
com.google.javascript.jscomp.ScopedAliases:100	2.0 261.0 0.08720414403938948
com.google.javascript.jscomp.ScopedAliases:108	2.0 261.0 0.08720414403938948
com.google.javascript.jscomp.ScopedAliases:112	2.0 261.0 0.08720414403938948
com.google.javascript.jscomp.ScopedAliases:265	2.0 261.0 0.08720414403938948
com.google.javascript.jscomp.ScopedAliases:270	2.0 261.0 0.08720414403938948
com.google.javascript.jscomp.ScopedAliases:289	2.0 261.0 0.08720414403938948
com.google.javascript.jscomp.ScopedAliases:295	2.0 261.0 0.08720414403938948
com.google.javascript.jscomp.ScopedAliases:301	2.0 261.0 0.08720414403938948
com.google.javascript.jscomp.ScopedAliases:309	2.0 261.0 0.08720414403938948
com.google.javascript.jscomp.ScopedAliases:316	2.0 261.0 0.08720414403938948
com.google.javascript.jscomp.NodeUtil:2849	2.0 560.0 0.05965499862718936
com.google.javascript.jscomp.NodeUtil:2850	2.0 560.0 0.05965499862718936
com.google.javascript.jscomp.AstValidator:121	1.0 357.0 0.037371754637596795
com.google.javascript.jscomp.JSError:115	2.0 1531.0 0.036119682191538494
com.google.javascript.jscomp.JSError:171	2.0 1539.0 0.036025803716501
com.google.javascript.jscomp.JSError:176	2.0 1539.0 0.036025803716501
com.google.javascript.jscomp.BasicErrorManager:106	2.0 1630.0 0.03500700210070024
com.google.javascript.jscomp.JSError:242	2.0 1740.0 0.03388370737858486
com.google.javascript.jscomp.AstValidator:346	2.0 2006.0 0.031559720154890156
com.google.javascript.jscomp.AstValidator:349	2.0 2006.0 0.031559720154890156
com.google.javascript.jscomp.JSError:154	2.0 2022.0 0.03143473067309657
com.google.javascript.jscomp.JSError:155	2.0 2022.0 0.03143473067309657
com.google.javascript.jscomp.JSError:156	2.0 2022.0 0.03143473067309657
com.google.javascript.jscomp.JSError:157	2.0 2022.0 0.03143473067309657
com.google.javascript.jscomp.JSError:158	2.0 2022.0 0.03143473067309657
com.google.javascript.jscomp.JSError:159	2.0 2022.0 0.03143473067309657
com.google.javascript.jscomp.JSError:160	2.0 2022.0 0.03143473067309657
com.google.javascript.jscomp.JSError:161	2.0 2022.0 0.03143473067309657
com.google.javascript.jscomp.JSError:162	2.0 2022.0 0.03143473067309657
com.google.javascript.jscomp.JSError:163	2.0 2022.0 0.03143473067309657
com.google.javascript.jscomp.AstValidator:281	2.0 2112.0 0.03075831259604325
com.google.javascript.jscomp.AstValidator:352	2.0 2435.0 0.02864753332081586
com.google.javascript.jscomp.AstValidator:353	2.0 2435.0 0.02864753332081586
com.google.javascript.jscomp.AstValidator:354	2.0 2435.0 0.02864753332081586
com.google.javascript.jscomp.AstValidator:355	2.0 2435.0 0.02864753332081586
com.google.javascript.jscomp.AstValidator:357	2.0 2435.0 0.02864753332081586
com.google.javascript.jscomp.NodeUtil:3335	2.0 2458.0 0.028513297425610054
com.google.javascript.jscomp.AstValidator:375	2.0 2472.0 0.028432506701809173
com.google.javascript.jscomp.AstValidator:376	2.0 2472.0 0.028432506701809173
com.google.javascript.jscomp.AstValidator:380	2.0 2472.0 0.028432506701809173
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:240	1.0 633.0 0.02808279781508652
com.google.javascript.jscomp.AstValidator:368	2.0 3230.0 0.02487592975524973
com.google.javascript.jscomp.AstValidator:369	2.0 3230.0 0.02487592975524973
com.google.javascript.jscomp.LineNumberCheck:42	2.0 3605.0 0.02354734390638877
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:175	1.0 909.0 0.02344036154692477
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:176	1.0 909.0 0.02344036154692477
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:186	2.0 3687.0 0.023284165108693317
com.google.javascript.jscomp.AstValidator:780	2.0 3729.0 0.023152738856064555
com.google.javascript.jscomp.AstValidator:69	2.0 3775.0 0.0230113185995666
com.google.javascript.jscomp.AstValidator:72	2.0 3775.0 0.0230113185995666
com.google.javascript.jscomp.AstValidator:73	2.0 3775.0 0.0230113185995666
com.google.javascript.jscomp.AstValidator:74	2.0 3775.0 0.0230113185995666
com.google.javascript.jscomp.NodeUtil:3326	2.0 3777.0 0.02300522853234348
com.google.javascript.jscomp.NodeUtil:3327	2.0 3777.0 0.02300522853234348
com.google.javascript.jscomp.NodeUtil:3328	2.0 3777.0 0.02300522853234348
com.google.javascript.jscomp.NodeUtil:3329	2.0 3777.0 0.02300522853234348
com.google.javascript.jscomp.NodeUtil:3330	2.0 3777.0 0.02300522853234348
com.google.javascript.jscomp.NodeUtil:3334	2.0 3777.0 0.02300522853234348
com.google.javascript.jscomp.NodeUtil:3337	2.0 3777.0 0.02300522853234348
com.google.javascript.jscomp.NodeUtil:3338	2.0 3777.0 0.02300522853234348
com.google.javascript.jscomp.NodeUtil:3339	2.0 3777.0 0.02300522853234348
com.google.javascript.jscomp.NodeUtil:3340	2.0 3777.0 0.02300522853234348
com.google.javascript.jscomp.NodeUtil:3341	2.0 3777.0 0.02300522853234348
com.google.javascript.jscomp.NodeUtil:3343	2.0 3777.0 0.02300522853234348
com.google.javascript.rhino.Node:1558	2.0 3823.0 0.022866478019001178
com.google.javascript.jscomp.parsing.IRFactory:257	1.0 964.0 0.02276257268029927
com.google.javascript.jscomp.RecentChange:36	2.0 3930.0 0.022553203740992234
com.google.javascript.jscomp.RecentChange:37	2.0 3930.0 0.022553203740992234
com.google.javascript.jscomp.AstValidator:340	2.0 3971.0 0.02243653128423514
com.google.javascript.jscomp.AstValidator:341	2.0 3971.0 0.02243653128423514
com.google.javascript.jscomp.AstValidator:342	2.0 3971.0 0.02243653128423514
com.google.javascript.jscomp.AstValidator:77	2.0 4073.0 0.022153951024868453
com.google.javascript.jscomp.AstValidator:80	2.0 4073.0 0.022153951024868453
com.google.javascript.jscomp.AstValidator:82	2.0 4073.0 0.022153951024868453
com.google.javascript.jscomp.AstValidator:331	2.0 4074.0 0.022151233248863027
com.google.javascript.jscomp.AstValidator:334	2.0 4076.0 0.022145800696175846
com.google.javascript.jscomp.AstValidator:337	2.0 4076.0 0.022145800696175846
com.google.javascript.jscomp.AstValidator:89	2.0 4103.0 0.022072850260802523
com.google.javascript.jscomp.AstValidator:777	2.0 4109.0 0.022056736728838056
com.google.javascript.jscomp.AstValidator:86	2.0 4110.0 0.022054054569561544
com.google.javascript.jscomp.AstValidator:304	2.0 4110.0 0.022054054569561544
com.google.javascript.jscomp.AstValidator:308	2.0 4110.0 0.022054054569561544
com.google.javascript.jscomp.AstValidator:311	2.0 4110.0 0.022054054569561544
com.google.javascript.jscomp.AstValidator:768	2.0 4110.0 0.022054054569561544
com.google.javascript.rhino.Node:1527	2.0 4216.0 0.02177517781546711
com.google.javascript.jscomp.CompilerOptions:2250	2.0 4329.0 0.02148923256283155
com.google.javascript.jscomp.Compiler:974	2.0 4329.0 0.02148923256283155
