com.google.javascript.jscomp.DisambiguateProperties:491	2.0 19.0 0.3086066999241838
com.google.javascript.rhino.Node:1459	1.0 6.0 0.2672612419124244
com.google.javascript.jscomp.TypedScopeCreator:1571	2.0 35.0 0.23249527748763857
com.google.javascript.jscomp.CodeGenerator:656	2.0 50.0 0.19611613513818404
com.google.javascript.jscomp.CodeGenerator:658	2.0 50.0 0.19611613513818404
com.google.javascript.jscomp.CodeGenerator:659	2.0 50.0 0.19611613513818404
com.google.javascript.jscomp.CodeGenerator:705	2.0 50.0 0.19611613513818404
com.google.javascript.jscomp.CodeGenerator:798	2.0 51.0 0.19425717247145283
com.google.javascript.jscomp.TypedScopeCreator:1582	2.0 53.0 0.19069251784911848
com.google.javascript.jscomp.CodeGenerator:815	2.0 54.0 0.1889822365046136
com.google.javascript.jscomp.DisambiguateProperties:827	2.0 56.0 0.18569533817705186
com.google.javascript.jscomp.graph.StandardUnionFind:119	2.0 58.0 0.18257418583505536
com.google.javascript.jscomp.graph.StandardUnionFind:120	2.0 58.0 0.18257418583505536
com.google.javascript.jscomp.graph.StandardUnionFind:121	2.0 58.0 0.18257418583505536
com.google.javascript.jscomp.graph.StandardUnionFind:122	2.0 58.0 0.18257418583505536
com.google.javascript.jscomp.graph.StandardUnionFind:123	2.0 58.0 0.18257418583505536
com.google.javascript.jscomp.graph.StandardUnionFind:125	2.0 58.0 0.18257418583505536
com.google.javascript.jscomp.graph.StandardUnionFind:127	2.0 58.0 0.18257418583505536
com.google.javascript.jscomp.graph.StandardUnionFind:128	2.0 58.0 0.18257418583505536
com.google.javascript.jscomp.graph.StandardUnionFind:129	2.0 58.0 0.18257418583505536
com.google.javascript.jscomp.graph.StandardUnionFind:130	2.0 58.0 0.18257418583505536
com.google.javascript.jscomp.graph.StandardUnionFind:131	2.0 58.0 0.18257418583505536
com.google.javascript.jscomp.DisambiguateProperties:171	2.0 59.0 0.18107149208503706
com.google.javascript.jscomp.DisambiguateProperties:176	2.0 59.0 0.18107149208503706
com.google.javascript.jscomp.DisambiguateProperties:271	2.0 59.0 0.18107149208503706
com.google.javascript.jscomp.DisambiguateProperties:274	2.0 59.0 0.18107149208503706
com.google.javascript.jscomp.CodeGenerator:701	2.0 59.0 0.18107149208503706
com.google.javascript.jscomp.CodeGenerator:702	2.0 59.0 0.18107149208503706
com.google.javascript.jscomp.graph.StandardUnionFind:75	2.0 60.0 0.1796053020267749
com.google.javascript.jscomp.DisambiguateProperties:308	2.0 61.0 0.1781741612749496
com.google.javascript.jscomp.DisambiguateProperties:838	2.0 61.0 0.1781741612749496
