com.google.javascript.rhino.SourcePosition:87	1.0 0.0 1.0
com.google.javascript.jscomp.parsing.JsDocInfoParser:1838	1.0 6.0 0.3779644730092272
com.google.javascript.jscomp.parsing.JsDocInfoParser:1839	1.0 6.0 0.3779644730092272
com.google.javascript.jscomp.parsing.JsDocInfoParser:2303	1.0 7.0 0.35355339059327373
com.google.javascript.jscomp.parsing.JsDocInfoParser:947	1.0 26.0 0.19245008972987526
com.google.javascript.jscomp.parsing.JsDocInfoParser:2341	1.0 41.0 0.1543033499620919
com.google.javascript.jscomp.parsing.JsDocInfoParser:2342	1.0 41.0 0.1543033499620919
com.google.javascript.jscomp.parsing.JsDocInfoParser:2298	1.0 42.0 0.15249857033260467
com.google.javascript.jscomp.parsing.JsDocInfoParser:2299	1.0 42.0 0.15249857033260467
com.google.javascript.jscomp.parsing.JsDocInfoParser:958	1.0 68.0 0.1203858530857692
com.google.javascript.jscomp.parsing.JsDocInfoParser:1483	1.0 81.0 0.11043152607484653
com.google.javascript.rhino.JSDocInfoBuilder:170	1.0 88.0 0.105999788000636
com.google.javascript.rhino.JSDocInfoBuilder:171	1.0 88.0 0.105999788000636
com.google.javascript.rhino.JSDocInfoBuilder:172	1.0 88.0 0.105999788000636
com.google.javascript.jscomp.parsing.JsDocInfoParser:1475	1.0 101.0 0.09901475429766744
com.google.javascript.jscomp.parsing.JsDocInfoParser:82	1.0 106.0 0.09667364890456635
com.google.javascript.jscomp.parsing.JsDocInfoParser:86	1.0 106.0 0.09667364890456635
com.google.javascript.jscomp.parsing.JsDocInfoParser:48	1.0 155.0 0.08006407690254357
com.google.javascript.rhino.SourcePosition:86	1.0 182.0 0.07392212709545729
com.google.javascript.rhino.JSDocInfoBuilder:152	1.0 182.0 0.07392212709545729
com.google.javascript.rhino.JSDocInfoBuilder:154	1.0 182.0 0.07392212709545729
com.google.javascript.rhino.JSDocInfoBuilder:155	1.0 182.0 0.07392212709545729
com.google.javascript.rhino.JSDocInfoBuilder:157	1.0 182.0 0.07392212709545729
