com.google.javascript.jscomp.CodeGenerator:1015	1.0 0.0 1.0
com.google.javascript.jscomp.CodeGenerator:961	1.0 465.0 0.04632410546120795
com.google.javascript.jscomp.CodeGenerator:1013	1.0 476.0 0.04578685464956301
com.google.javascript.jscomp.CodeGenerator:1014	1.0 476.0 0.04578685464956301
com.google.javascript.jscomp.CodeGenerator:632	1.0 489.0 0.045175395145262566
com.google.javascript.jscomp.CodeGenerator:638	1.0 489.0 0.045175395145262566
com.google.javascript.jscomp.CodeGenerator:639	1.0 489.0 0.045175395145262566
com.google.javascript.jscomp.CodeGenerator:976	1.0 490.0 0.04512936824065242
com.google.javascript.jscomp.CodeGenerator:977	1.0 490.0 0.04512936824065242
com.google.javascript.jscomp.CodeGenerator:978	1.0 490.0 0.04512936824065242
com.google.javascript.jscomp.CodeGenerator:948	1.0 491.0 0.045083481733371615
com.google.javascript.jscomp.CodeGenerator:949	1.0 491.0 0.045083481733371615
com.google.javascript.jscomp.CodeGenerator:950	1.0 491.0 0.045083481733371615
com.google.javascript.jscomp.CodeGenerator:951	1.0 491.0 0.045083481733371615
com.google.javascript.jscomp.CodeGenerator:953	1.0 491.0 0.045083481733371615
com.google.javascript.jscomp.CodeGenerator:954	1.0 491.0 0.045083481733371615
com.google.javascript.jscomp.CodeGenerator:957	1.0 491.0 0.045083481733371615
com.google.javascript.jscomp.CodeGenerator:960	1.0 491.0 0.045083481733371615
com.google.javascript.jscomp.CodeGenerator:969	1.0 491.0 0.045083481733371615
com.google.javascript.jscomp.CodeGenerator:981	1.0 491.0 0.045083481733371615
com.google.javascript.jscomp.CodeGenerator:1010	1.0 501.0 0.04463218426774518
com.google.javascript.jscomp.CodeGenerator:1011	1.0 501.0 0.04463218426774518
com.google.javascript.jscomp.CodeGenerator:1012	1.0 501.0 0.04463218426774518
com.google.javascript.jscomp.CodeGenerator:1073	1.0 501.0 0.04463218426774518
com.google.javascript.jscomp.CodeGenerator:1074	1.0 501.0 0.04463218426774518
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:257	1.0 712.0 0.03745029431365691
com.google.javascript.rhino.Node:521	1.0 733.0 0.03691067352627811
com.google.javascript.jscomp.CodeGenerator:203	1.0 1741.0 0.02395939925913801
com.google.javascript.jscomp.CodeGenerator:206	1.0 1741.0 0.02395939925913801
com.google.javascript.jscomp.CodeGenerator:195	1.0 1743.0 0.023945657130528784
com.google.javascript.jscomp.CodeGenerator:196	1.0 1743.0 0.023945657130528784
com.google.javascript.jscomp.CodeGenerator:197	1.0 1743.0 0.023945657130528784
com.google.javascript.jscomp.CodeGenerator:198	1.0 1743.0 0.023945657130528784
com.google.javascript.jscomp.CodeGenerator:385	1.0 2002.0 0.02234392810843759
com.google.javascript.jscomp.CodeGenerator:180	1.0 2030.0 0.022189373390928115
com.google.javascript.jscomp.CodeGenerator:181	1.0 2030.0 0.022189373390928115
com.google.javascript.jscomp.CodeGenerator:182	1.0 2030.0 0.022189373390928115
com.google.javascript.jscomp.CodeGenerator:901	1.0 2471.0 0.020112949667728242
com.google.javascript.jscomp.CodeGenerator:902	1.0 2471.0 0.020112949667728242
com.google.javascript.jscomp.CodeGenerator:903	1.0 2471.0 0.020112949667728242
com.google.javascript.jscomp.CodeConsumer:223	1.0 2497.0 0.020008004803202244
com.google.javascript.jscomp.CodeGenerator:1156	1.0 2552.0 0.01979131233319198
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:266	1.0 2764.0 0.0190174565282241
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:267	1.0 2764.0 0.0190174565282241
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:268	1.0 2764.0 0.0190174565282241
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:269	1.0 2764.0 0.0190174565282241
com.google.javascript.jscomp.CodeGenerator:900	1.0 2990.0 0.01828486648462095
com.google.javascript.jscomp.CodeGenerator:909	1.0 2990.0 0.01828486648462095
com.google.javascript.jscomp.CodeGenerator:871	1.0 3050.0 0.018104181553118947
com.google.javascript.jscomp.CodeGenerator:872	1.0 3050.0 0.018104181553118947
com.google.javascript.jscomp.CodeGenerator:879	1.0 3094.0 0.017975032046140385
