com.google.javascript.jscomp.CommandLineRunner:334	1.0 0.0 1.0
com.google.javascript.jscomp.CommandLineRunner:83	1.0 3.0 0.5
com.google.javascript.jscomp.CommandLineRunner:89	1.0 3.0 0.5
com.google.javascript.jscomp.CommandLineRunner:153	1.0 3.0 0.5
com.google.javascript.jscomp.CommandLineRunner:177	1.0 3.0 0.5
com.google.javascript.jscomp.CommandLineRunner:197	1.0 3.0 0.5
com.google.javascript.jscomp.CommandLineRunner:268	1.0 3.0 0.5
com.google.javascript.jscomp.CommandLineRunner:279	1.0 3.0 0.5
com.google.javascript.jscomp.CommandLineRunner:294	1.0 3.0 0.5
com.google.javascript.jscomp.CommandLineRunner:313	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:98	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:99	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:100	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:101	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:102	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:107	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:113	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:114	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:115	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:116	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:117	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:1188	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:1189	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:1197	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:1208	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:1219	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:1227	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:1235	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:1247	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:1258	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:1269	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:1279	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:1295	1.0 3.0 0.5
com.google.javascript.jscomp.AbstractCommandLineRunner:1306	1.0 3.0 0.5
