com.google.javascript.rhino.Node:933	1.0 0.0 1.0
com.google.javascript.rhino.Node:855	1.0 1.0 0.7071067811865475
com.google.javascript.rhino.Node:929	1.0 1.0 0.7071067811865475
com.google.javascript.rhino.Node:932	1.0 1.0 0.7071067811865475
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:309	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:310	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:312	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:313	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:314	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:316	1.0 3.0 0.5
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:268	1.0 4.0 0.4472135954999579
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:302	1.0 6.0 0.3779644730092272
com.google.javascript.jscomp.NodeUtil:1653	1.0 11.0 0.2886751345948129
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:276	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:277	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:283	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:630	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:637	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:645	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:654	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:49	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:633	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:646	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:649	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.NodeUtil:299	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.NodeUtil:137	1.0 13.0 0.2672612419124244
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:826	1.0 15.0 0.25
com.google.javascript.jscomp.NodeUtil:494	1.0 15.0 0.25
com.google.javascript.jscomp.NodeUtil:496	1.0 15.0 0.25
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:749	1.0 17.0 0.23570226039551587
com.google.javascript.jscomp.CodeGenerator:425	1.0 17.0 0.23570226039551587
com.google.javascript.jscomp.CodeGenerator:428	1.0 17.0 0.23570226039551587
com.google.javascript.jscomp.CodeGenerator:431	1.0 17.0 0.23570226039551587
com.google.javascript.jscomp.CodeGenerator:432	1.0 17.0 0.23570226039551587
com.google.javascript.jscomp.CodeGenerator:435	1.0 17.0 0.23570226039551587
com.google.javascript.jscomp.CodeGenerator:436	1.0 17.0 0.23570226039551587
com.google.javascript.jscomp.CodeGenerator:439	1.0 17.0 0.23570226039551587
com.google.javascript.jscomp.CodeGenerator:440	1.0 17.0 0.23570226039551587
com.google.javascript.jscomp.CodeGenerator:441	1.0 17.0 0.23570226039551587
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:544	1.0 18.0 0.22941573387056174
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:545	1.0 18.0 0.22941573387056174
com.google.javascript.jscomp.CodeGenerator:522	1.0 18.0 0.22941573387056174
com.google.javascript.jscomp.CodeGenerator:523	1.0 18.0 0.22941573387056174
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:713	1.0 20.0 0.2182178902359924
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:714	1.0 20.0 0.2182178902359924
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:718	1.0 20.0 0.2182178902359924
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:719	1.0 20.0 0.2182178902359924
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:727	1.0 20.0 0.2182178902359924
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:728	1.0 20.0 0.2182178902359924
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:820	1.0 22.0 0.20851441405707477
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:821	1.0 22.0 0.20851441405707477
