com.google.javascript.jscomp.parsing.TypeSafeDispatcher:241	1.0 4.0 0.4472135954999579
com.google.javascript.jscomp.CheckGlobalThis:164	1.0 12.0 0.2773500981126146
com.google.javascript.jscomp.JSError:189	1.0 15.0 0.25
com.google.javascript.jscomp.CheckGlobalThis:150	1.0 18.0 0.22941573387056174
com.google.javascript.jscomp.parsing.IRFactory:493	1.0 20.0 0.2182178902359924
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:253	1.0 20.0 0.2182178902359924
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:249	1.0 23.0 0.20412414523193154
com.google.javascript.jscomp.JSError:99	1.0 23.0 0.20412414523193154
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:184	1.0 24.0 0.2
com.google.javascript.jscomp.parsing.IRFactory:490	1.0 25.0 0.19611613513818404
com.google.javascript.jscomp.parsing.IRFactory:492	1.0 25.0 0.19611613513818404
com.google.javascript.jscomp.BasicErrorManager:99	1.0 35.0 0.16666666666666666
com.google.javascript.jscomp.Compiler:182	1.0 46.0 0.14586499149789456
com.google.javascript.jscomp.Compiler:269	1.0 46.0 0.14586499149789456
com.google.javascript.jscomp.LineNumberCheck:42	1.0 46.0 0.14586499149789456
com.google.javascript.jscomp.LineNumberCheck:43	1.0 46.0 0.14586499149789456
com.google.javascript.jscomp.LineNumberCheck:52	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:226	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:227	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:228	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:229	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:231	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:233	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:235	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:237	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:239	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:241	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:243	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:246	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:249	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:250	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:251	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:252	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:253	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:254	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:255	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:257	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:260	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:261	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:262	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:263	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:264	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:265	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:266	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:267	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:268	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:269	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:270	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:271	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:272	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:273	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:275	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:278	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:279	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:280	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:282	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:285	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:286	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:287	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:288	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:289	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:290	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:291	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:292	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:293	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:294	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:295	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:296	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:297	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:298	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:299	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:300	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:301	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:302	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:303	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:304	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:305	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:306	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:307	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:308	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.testing.BaseJSTypeTestCase:309	1.0 46.0 0.14586499149789456
