org.apache.commons.lang3.StringEscapeUtils:506	1.0 1.0 0.7071067811865475
org.apache.commons.lang3.text.translate.AggregateTranslator:51	1.0 15.0 0.25
org.apache.commons.lang3.text.translate.AggregateTranslator:52	1.0 15.0 0.25
org.apache.commons.lang3.text.translate.LookupTranslator:78	1.0 15.0 0.25
org.apache.commons.lang3.text.translate.LookupTranslator:65	1.0 16.0 0.24253562503633297
org.apache.commons.lang3.text.translate.LookupTranslator:66	1.0 16.0 0.24253562503633297
org.apache.commons.lang3.text.translate.LookupTranslator:70	1.0 16.0 0.24253562503633297
org.apache.commons.lang3.text.translate.LookupTranslator:73	1.0 16.0 0.24253562503633297
org.apache.commons.lang3.StringEscapeUtils:52	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:72	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:94	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:109	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:124	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:140	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:183	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:206	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:217	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:233	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:250	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:266	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:145	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:149	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:150	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:268	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:272	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.StringEscapeUtils:273	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.AggregateTranslator:40	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.AggregateTranslator:41	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.AggregateTranslator:42	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:46	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:50	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:54	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:58	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:62	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:66	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:70	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:74	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:78	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:82	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:86	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:90	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:94	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:98	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:102	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:106	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:110	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:114	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:118	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:317	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.ArrayUtils:320	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.CharSequenceTranslator:114	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.CharSequenceTranslator:115	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.CharSequenceTranslator:116	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.CharSequenceTranslator:117	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:34	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:35	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:138	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:139	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:147	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:148	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:349	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:350	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:358	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:359	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:370	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:371	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:377	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:378	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:386	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:387	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:395	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:396	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:408	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:409	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:417	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:418	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:419	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:420	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:422	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.LookupTranslator:40	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.LookupTranslator:41	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.LookupTranslator:42	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.LookupTranslator:43	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.LookupTranslator:56	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.LookupTranslator:57	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.LookupTranslator:58	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.OctalUnescaper:34	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.OctalUnescaper:36	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.UnicodeEscaper:85	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.CharSequenceTranslator:87	1.0 23.0 0.20412414523193154
