org.apache.commons.lang3.text.translate.EntityArrays:30	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:31	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.EntityArrays:131	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.EntityArrays:135	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.EntityArrays:333	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.EntityArrays:336	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.EntityArrays:344	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.EntityArrays:347	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.EntityArrays:352	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.EntityArrays:355	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.EntityArrays:364	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.EntityArrays:372	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.EntityArrays:373	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.EntityArrays:374	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.EntityArrays:375	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.EntityArrays:377	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.EntityArrays:130	0.0 20.0 0.0
org.apache.commons.lang3.text.translate.EntityArrays:134	0.0 21.0 0.0
org.apache.commons.lang3.text.translate.EntityArrays:332	0.0 20.0 0.0
org.apache.commons.lang3.text.translate.EntityArrays:335	0.0 20.0 0.0
org.apache.commons.lang3.text.translate.EntityArrays:343	0.0 20.0 0.0
org.apache.commons.lang3.text.translate.EntityArrays:346	0.0 20.0 0.0
org.apache.commons.lang3.text.translate.EntityArrays:351	0.0 20.0 0.0
org.apache.commons.lang3.text.translate.EntityArrays:354	0.0 20.0 0.0
org.apache.commons.lang3.text.translate.EntityArrays:363	0.0 20.0 0.0
org.apache.commons.lang3.text.translate.EntityArrays:28	0.0 1.0 0.0
