org.apache.commons.lang3.SystemUtils:1673	1.0 0.0 1.0
org.apache.commons.lang3.SystemUtils:1717	1.0 1.0 0.7071067811865475
org.apache.commons.lang3.ArrayUtils:56	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:60	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:64	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:68	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:72	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:76	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:80	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:84	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:88	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:92	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:96	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:100	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:104	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:108	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:112	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:116	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:120	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:124	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.ArrayUtils:128	1.0 206.0 0.06950480468569159
org.apache.commons.lang3.SystemUtils:104	1.0 243.0 0.06401843996644799
org.apache.commons.lang3.SystemUtils:127	1.0 243.0 0.06401843996644799
org.apache.commons.lang3.SystemUtils:146	1.0 243.0 0.06401843996644799
org.apache.commons.lang3.SystemUtils:165	1.0 243.0 0.06401843996644799
org.apache.commons.lang3.SystemUtils:184	1.0 243.0 0.06401843996644799
org.apache.commons.lang3.SystemUtils:206	1.0 243.0 0.06401843996644799
org.apache.commons.lang3.SystemUtils:225	1.0 243.0 0.06401843996644799
org.apache.commons.lang3.SystemUtils:244	1.0 243.0 0.06401843996644799
org.apache.commons.lang3.SystemUtils:263	1.0 243.0 0.06401843996644799
org.apache.commons.lang3.SystemUtils:283	1.0 243.0 0.06401843996644799
org.apache.commons.lang3.SystemUtils:302	1.0 243.0 0.06401843996644799
org.apache.commons.lang3.SystemUtils:321	1.0 243.0 0.06401843996644799
org.apache.commons.lang3.SystemUtils:340	1.0 243.0 0.06401843996644799
org.apache.commons.lang3.SystemUtils:359	1.0 243.0 0.06401843996644799
org.apache.commons.lang3.SystemUtils:378	1.0 243.0 0.06401843996644799
org.apache.commons.lang3.SystemUtils:398	1.0 243.0 0.06401843996644799
org.apache.commons.lang3.SystemUtils:418	1.0 243.0 0.06401843996644799
