org.apache.commons.lang3.math.NumberUtils:494	1.0 2.0 0.5773502691896258
org.apache.commons.lang3.math.NumberUtils:573	1.0 3.0 0.5
org.apache.commons.lang3.math.NumberUtils:496	1.0 4.0 0.4472135954999579
org.apache.commons.lang3.math.NumberUtils:497	1.0 4.0 0.4472135954999579
org.apache.commons.lang3.math.NumberUtils:570	1.0 4.0 0.4472135954999579
org.apache.commons.lang3.math.NumberUtils:575	1.0 4.0 0.4472135954999579
org.apache.commons.lang3.math.NumberUtils:591	1.0 4.0 0.4472135954999579
org.apache.commons.lang3.math.NumberUtils:593	1.0 4.0 0.4472135954999579
org.apache.commons.lang3.math.NumberUtils:488	1.0 5.0 0.4082482904638631
org.apache.commons.lang3.math.NumberUtils:509	1.0 6.0 0.3779644730092272
org.apache.commons.lang3.math.NumberUtils:621	1.0 6.0 0.3779644730092272
org.apache.commons.lang3.math.NumberUtils:626	1.0 6.0 0.3779644730092272
org.apache.commons.lang3.math.NumberUtils:643	1.0 6.0 0.3779644730092272
org.apache.commons.lang3.math.NumberUtils:646	1.0 6.0 0.3779644730092272
org.apache.commons.lang3.math.NumberUtils:451	1.0 8.0 0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:454	1.0 8.0 0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:458	1.0 8.0 0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:459	1.0 8.0 0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:460	1.0 8.0 0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:461	1.0 8.0 0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:466	1.0 8.0 0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:476	1.0 8.0 0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:480	1.0 8.0 0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:481	1.0 8.0 0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:486	1.0 8.0 0.3333333333333333
org.apache.commons.lang3.StringUtils:257	1.0 9.0 0.31622776601683794
org.apache.commons.lang3.StringUtils:260	1.0 9.0 0.31622776601683794
org.apache.commons.lang3.StringUtils:261	1.0 9.0 0.31622776601683794
org.apache.commons.lang3.StringUtils:262	1.0 9.0 0.31622776601683794
org.apache.commons.lang3.StringUtils:181	1.0 10.0 0.30151134457776363
org.apache.commons.lang3.math.NumberUtils:34	1.0 86.0 0.10721125348377948
org.apache.commons.lang3.math.NumberUtils:36	1.0 86.0 0.10721125348377948
org.apache.commons.lang3.math.NumberUtils:38	1.0 86.0 0.10721125348377948
org.apache.commons.lang3.math.NumberUtils:40	1.0 86.0 0.10721125348377948
org.apache.commons.lang3.math.NumberUtils:42	1.0 86.0 0.10721125348377948
