org.apache.commons.lang.enums.ValuedEnum:183	1.0 4.0 0.4472135954999579
org.apache.commons.lang.enums.ValuedEnum:126	1.0 19.0 0.22360679774997896
org.apache.commons.lang.enums.ValuedEnum:127	1.0 19.0 0.22360679774997896
org.apache.commons.lang.enums.ValuedEnum:128	1.0 19.0 0.22360679774997896
org.apache.commons.lang.enums.Enum:519	1.0 57.0 0.13130643285972254
org.apache.commons.lang.enums.Enum:314	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:315	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:317	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:339	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:340	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:349	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:350	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:351	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:352	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:354	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:357	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:358	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:359	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:484	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:485	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:486	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:495	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:279	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:283	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:287	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:291	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:297	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:298	1.0 63.0 0.125
org.apache.commons.lang.enums.Enum:335	1.0 66.0 0.12216944435630522
org.apache.commons.lang.enums.Enum:336	1.0 66.0 0.12216944435630522
org.apache.commons.lang.enums.Enum:338	1.0 66.0 0.12216944435630522
org.apache.commons.lang.enums.Enum:344	1.0 66.0 0.12216944435630522
org.apache.commons.lang.enums.Enum:270	1.0 67.0 0.12126781251816648
org.apache.commons.lang.enums.Enum:312	1.0 67.0 0.12126781251816648
org.apache.commons.lang.enums.Enum:313	1.0 67.0 0.12126781251816648
org.apache.commons.lang.enums.Enum:327	1.0 67.0 0.12126781251816648
org.apache.commons.lang.enums.Enum:331	1.0 67.0 0.12126781251816648
org.apache.commons.lang.enums.Enum:332	1.0 67.0 0.12126781251816648
org.apache.commons.lang.StringUtils:185	1.0 67.0 0.12126781251816648
org.apache.commons.lang.enums.Enum:337	1.0 71.0 0.11785113019775793
org.apache.commons.lang.enums.Enum:249	1.0 72.0 0.11704114719613057
org.apache.commons.lang.enums.Enum:254	1.0 72.0 0.11704114719613057
org.apache.commons.lang.enums.ValuedEnum:143	0.0 3.0 0.0
org.apache.commons.lang.enums.ValuedEnum:146	0.0 3.0 0.0
org.apache.commons.lang.enums.ValuedEnum:147	0.0 2.0 0.0
org.apache.commons.lang.enums.ValuedEnum:148	0.0 2.0 0.0
org.apache.commons.lang.enums.ValuedEnum:149	0.0 2.0 0.0
org.apache.commons.lang.enums.ValuedEnum:150	0.0 2.0 0.0
org.apache.commons.lang.enums.ValuedEnum:152	0.0 2.0 0.0
org.apache.commons.lang.enums.ValuedEnum:153	0.0 2.0 0.0
org.apache.commons.lang.enums.ValuedEnum:162	0.0 5.0 0.0
org.apache.commons.lang.enums.ValuedEnum:144	0.0 1.0 0.0
org.apache.commons.lang.enums.ValuedEnum:204	0.0 1.0 0.0
org.apache.commons.lang.enums.ValuedEnum:205	0.0 1.0 0.0
org.apache.commons.lang.enums.ValuedEnum:206	0.0 1.0 0.0
org.apache.commons.lang.enums.ValuedEnum:208	0.0 1.0 0.0
org.apache.commons.lang.enums.Enum:536	0.0 10.0 0.0
