org.apache.commons.lang3.time.FastDateParser:180	1.0 0.0 0.7071067811865475
org.apache.commons.lang3.time.FastDateParser:260	1.0 16.0 0.17149858514250882
org.apache.commons.lang3.time.FastDateParser:282	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:283	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:285	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:286	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:287	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:288	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:289	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:290	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:250	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:251	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:732	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:733	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:741	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:276	1.0 18.0 0.16222142113076254
org.apache.commons.lang3.time.FastDateParser:277	1.0 18.0 0.16222142113076254
org.apache.commons.lang3.time.FastDateParser:278	1.0 18.0 0.16222142113076254
org.apache.commons.lang3.time.FastDateParser:537	1.0 41.0 0.1091089451179962
org.apache.commons.lang3.time.FastDateParser:538	1.0 41.0 0.1091089451179962
org.apache.commons.lang3.time.FastDateParser:566	1.0 62.0 0.0890870806374748
org.apache.commons.lang3.time.FastDateParser:145	1.0 67.0 0.08574929257125441
org.apache.commons.lang3.time.FastDateParser:68	1.0 68.0 0.08512565307587486
org.apache.commons.lang3.time.FastDateParser:304	1.0 68.0 0.08512565307587486
org.apache.commons.lang3.time.FastDateParser:305	1.0 68.0 0.08512565307587486
