org.apache.commons.math3.util.FastMath:3539	1.0 0.75 0.7559289460184544
org.apache.commons.math3.special.Gamma:155	1.0 1.0 0.7071067811865475
org.apache.commons.math3.util.FastMath:3538	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:82	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:95	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:134	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:140	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:141	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:148	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:153	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:155	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:173	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:176	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:177	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:179	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:181	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:183	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:224	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:229	1.0 1.0 0.7071067811865475
org.apache.commons.math3.stat.inference.MannWhitneyUTest:231	1.0 1.0 0.7071067811865475
org.apache.commons.math3.special.Gamma:45	1.0 1.5 0.6324555320336759
org.apache.commons.math3.special.Gamma:63	1.0 1.5 0.6324555320336759
org.apache.commons.math3.special.Gamma:186	1.0 1.5 0.6324555320336759
org.apache.commons.math3.util.FastMath:375	1.0 1.75 0.6030226891555273
org.apache.commons.math3.util.FastMath:3020	1.0 1.75 0.6030226891555273
org.apache.commons.math3.util.FastMath:3535	1.0 1.75 0.6030226891555273
org.apache.commons.math3.special.Gamma:154	1.0 2.0 0.5773502691896258
org.apache.commons.math3.distribution.AbstractRealDistribution:47	1.0 2.0 0.5773502691896258
org.apache.commons.math3.distribution.AbstractRealDistribution:50	1.0 2.0 0.5773502691896258
org.apache.commons.math3.distribution.AbstractRealDistribution:53	1.0 2.0 0.5773502691896258
org.apache.commons.math3.distribution.NormalDistribution:42	1.0 2.0 0.5773502691896258
org.apache.commons.math3.distribution.NormalDistribution:44	1.0 2.0 0.5773502691896258
org.apache.commons.math3.distribution.NormalDistribution:61	1.0 2.0 0.5773502691896258
org.apache.commons.math3.distribution.NormalDistribution:62	1.0 2.0 0.5773502691896258
org.apache.commons.math3.distribution.NormalDistribution:75	1.0 2.0 0.5773502691896258
org.apache.commons.math3.distribution.NormalDistribution:76	1.0 2.0 0.5773502691896258
org.apache.commons.math3.distribution.NormalDistribution:80	1.0 2.0 0.5773502691896258
org.apache.commons.math3.distribution.NormalDistribution:81	1.0 2.0 0.5773502691896258
org.apache.commons.math3.distribution.NormalDistribution:82	1.0 2.0 0.5773502691896258
org.apache.commons.math3.distribution.NormalDistribution:83	1.0 2.0 0.5773502691896258
org.apache.commons.math3.distribution.NormalDistribution:137	1.0 2.0 0.5773502691896258
org.apache.commons.math3.distribution.NormalDistribution:138	1.0 2.0 0.5773502691896258
org.apache.commons.math3.distribution.NormalDistribution:141	1.0 2.0 0.5773502691896258
org.apache.commons.math3.special.Erf:67	1.0 2.0 0.5773502691896258
org.apache.commons.math3.special.Erf:70	1.0 2.0 0.5773502691896258
org.apache.commons.math3.special.Erf:71	1.0 2.0 0.5773502691896258
org.apache.commons.math3.stat.inference.MannWhitneyUTest:45	1.0 2.0 0.5773502691896258
org.apache.commons.math3.stat.inference.MannWhitneyUTest:47	1.0 2.0 0.5773502691896258
org.apache.commons.math3.stat.inference.MannWhitneyUTest:74	1.0 2.0 0.5773502691896258
org.apache.commons.math3.stat.inference.MannWhitneyUTest:222	1.0 2.0 0.5773502691896258
org.apache.commons.math3.stat.ranking.NaturalRanking:228	1.0 2.0 0.5773502691896258
org.apache.commons.math3.stat.ranking.NaturalRanking:230	1.0 2.0 0.5773502691896258
org.apache.commons.math3.stat.ranking.NaturalRanking:231	1.0 2.0 0.5773502691896258
org.apache.commons.math3.stat.ranking.NaturalRanking:234	1.0 2.0 0.5773502691896258
org.apache.commons.math3.stat.ranking.NaturalRanking:235	1.0 2.0 0.5773502691896258
org.apache.commons.math3.stat.ranking.NaturalRanking:240	1.0 2.0 0.5773502691896258
org.apache.commons.math3.stat.ranking.NaturalRanking:419	1.0 2.0 0.5773502691896258
org.apache.commons.math3.stat.ranking.NaturalRanking:445	1.0 2.0 0.5773502691896258
org.apache.commons.math3.util.FastMath:113	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:126	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:139	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:177	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:196	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:216	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:235	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:254	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:275	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:283	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:286	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:826	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:857	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:859	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:860	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:862	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:882	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:883	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:884	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:890	1.0 2.25 0.5547001962252291
