org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:209	1.0 0.0 1.0
org.apache.commons.math.analysis.solvers.BrentSolver:102	1.0 1.0 0.7071067811865475
org.apache.commons.math.analysis.solvers.BrentSolver:103	1.0 1.0 0.7071067811865475
org.apache.commons.math.analysis.solvers.BrentSolver:106	1.0 1.0 0.7071067811865475
org.apache.commons.math.analysis.solvers.BrentSolver:184	1.0 1.0 0.7071067811865475
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:196	1.0 1.0 0.7071067811865475
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:225	1.0 1.0 0.7071067811865475
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:230	1.0 1.0 0.7071067811865475
org.apache.commons.math.analysis.solvers.BrentSolver:176	1.0 2.0 0.5773502691896258
org.apache.commons.math.analysis.solvers.BrentSolver:179	1.0 2.0 0.5773502691896258
org.apache.commons.math.MathRuntimeException:305	1.0 12.0 0.2773500981126146
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:141	1.0 114.0 0.09325048082403138
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:142	1.0 114.0 0.09325048082403138
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:143	1.0 114.0 0.09325048082403138
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:144	1.0 114.0 0.09325048082403138
org.apache.commons.math.analysis.solvers.BrentSolver:61	1.0 118.0 0.09166984970282113
org.apache.commons.math.analysis.solvers.BrentSolver:62	1.0 118.0 0.09166984970282113
org.apache.commons.math.analysis.solvers.BrentSolver:164	1.0 118.0 0.09166984970282113
org.apache.commons.math.analysis.solvers.BrentSolver:165	1.0 118.0 0.09166984970282113
org.apache.commons.math.analysis.solvers.BrentSolver:167	1.0 118.0 0.09166984970282113
org.apache.commons.math.analysis.solvers.BrentSolver:169	1.0 118.0 0.09166984970282113
org.apache.commons.math.analysis.solvers.BrentSolver:170	1.0 118.0 0.09166984970282113
org.apache.commons.math.analysis.solvers.BrentSolver:173	1.0 118.0 0.09166984970282113
org.apache.commons.math.analysis.solvers.BrentSolver:174	1.0 118.0 0.09166984970282113
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:165	1.0 118.0 0.09166984970282113
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:166	1.0 118.0 0.09166984970282113
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:167	1.0 118.0 0.09166984970282113
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:208	1.0 118.0 0.09166984970282113
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:213	1.0 118.0 0.09166984970282113
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:93	1.0 121.0 0.09053574604251853
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:94	1.0 121.0 0.09053574604251853
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:95	1.0 121.0 0.09053574604251853
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:96	1.0 121.0 0.09053574604251853
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:41	1.0 122.0 0.09016696346674323
org.apache.commons.math.ConvergingAlgorithmImpl:61	1.0 122.0 0.09016696346674323
org.apache.commons.math.ConvergingAlgorithmImpl:62	1.0 122.0 0.09016696346674323
org.apache.commons.math.ConvergingAlgorithmImpl:63	1.0 122.0 0.09016696346674323
org.apache.commons.math.ConvergingAlgorithmImpl:64	1.0 122.0 0.09016696346674323
org.apache.commons.math.ConvergingAlgorithmImpl:65	1.0 122.0 0.09016696346674323
org.apache.commons.math.ConvergingAlgorithmImpl:66	1.0 122.0 0.09016696346674323
org.apache.commons.math.ConvergingAlgorithmImpl:67	1.0 122.0 0.09016696346674323
org.apache.commons.math.ConvergingAlgorithmImpl:68	1.0 122.0 0.09016696346674323
org.apache.commons.math.ConvergingAlgorithmImpl:69	1.0 122.0 0.09016696346674323
org.apache.commons.math.analysis.solvers.BrentSolver:138	0 0.0 0
org.apache.commons.math.analysis.solvers.BrentSolver:107	0 1.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:113	0 1.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:114	0 1.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:120	0 1.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:125	0 1.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:126	0 1.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:132	0 1.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:286	0 8.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:287	0 8.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:300	0 33.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:250	0 85.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:251	0 85.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:299	0 85.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:277	0 90.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:298	0 95.0 0.0
