org.apache.commons.math.linear.SingularValueDecompositionImpl:143	2.0 1.0 0.8164965809277261
org.apache.commons.math.linear.SingularValueDecompositionImpl:283	2.0 2.0 0.7071067811865475
org.apache.commons.math.linear.SingularValueDecompositionImpl:284	2.0 2.0 0.7071067811865475
org.apache.commons.math.linear.SingularValueDecompositionImpl:288	2.0 2.0 0.7071067811865475
org.apache.commons.math.linear.SingularValueDecompositionImpl:182	2.0 5.0 0.5345224838248488
org.apache.commons.math.linear.SingularValueDecompositionImpl:217	2.0 5.0 0.5345224838248488
org.apache.commons.math.linear.SingularValueDecompositionImpl:220	2.0 5.0 0.5345224838248488
org.apache.commons.math.linear.SingularValueDecompositionImpl:223	2.0 5.0 0.5345224838248488
org.apache.commons.math.linear.MatrixUtils:202	2.0 5.0 0.5345224838248488
org.apache.commons.math.linear.MatrixUtils:203	2.0 5.0 0.5345224838248488
org.apache.commons.math.linear.MatrixUtils:204	2.0 5.0 0.5345224838248488
org.apache.commons.math.linear.MatrixUtils:206	2.0 5.0 0.5345224838248488
org.apache.commons.math.linear.MatrixUtils:633	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.MatrixUtils:640	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:195	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:603	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:604	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:605	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:606	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:616	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:919	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:210	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:211	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:212	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:213	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:217	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:218	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:219	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:220	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:222	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:226	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:611	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.AbstractRealMatrix:612	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:235	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:252	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:254	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:255	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:256	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:257	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:258	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:259	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:260	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:261	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:262	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:266	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:496	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:497	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:498	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:499	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:500	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:501	2.0 8.0 0.4472135954999579
