org.apache.commons.math.optimization.linear.SimplexTableau:339	1.0 2.0 0.5773502691896258
org.apache.commons.math.optimization.linear.SimplexTableau:172	1.0 5.0 0.4082482904638631
org.apache.commons.math.optimization.RealPointValuePair:70	1.0 6.0 0.3779644730092272
org.apache.commons.math.optimization.linear.SimplexTableau:279	1.0 7.0 0.35355339059327373
org.apache.commons.math.optimization.linear.SimplexTableau:325	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.linear.SimplexTableau:326	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.linear.SimplexTableau:328	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.linear.SimplexTableau:329	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.linear.SimplexTableau:330	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.linear.SimplexTableau:333	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.linear.SimplexTableau:336	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.linear.SimplexTableau:337	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.linear.SimplexTableau:338	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.linear.SimplexTableau:344	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.linear.SimplexTableau:459	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.RealPointValuePair:48	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.RealPointValuePair:49	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.RealPointValuePair:50	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.RealPointValuePair:51	1.0 8.0 0.3333333333333333
org.apache.commons.math.linear.RealVectorImpl:884	1.0 8.0 0.3333333333333333
org.apache.commons.math.linear.RealVectorImpl:885	1.0 8.0 0.3333333333333333
org.apache.commons.math.linear.RealVectorImpl:886	1.0 8.0 0.3333333333333333
org.apache.commons.math.linear.RealVectorImpl:887	1.0 8.0 0.3333333333333333
org.apache.commons.math.linear.RealVectorImpl:889	1.0 8.0 0.3333333333333333
org.apache.commons.math.linear.RealVectorImpl:1287	1.0 8.0 0.3333333333333333
org.apache.commons.math.linear.RealVectorImpl:1292	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:92	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.linear.SimplexSolver:154	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.linear.SimplexSolver:179	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.linear.SimplexSolver:192	1.0 8.0 0.3333333333333333
org.apache.commons.math.optimization.linear.SimplexTableau:293	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexTableau:294	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexTableau:295	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexTableau:296	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexTableau:297	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexTableau:298	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexTableau:300	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexTableau:302	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexTableau:303	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexTableau:304	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexSolver:129	1.0 9.0 0.31622776601683794
