org.apache.commons.math.analysis.UnivariateRealSolverUtils:179	1.0 0.0 1.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:36	1.0 1.0 0.7071067811865475
org.apache.commons.math.analysis.UnivariateRealSolverUtils:128	1.0 1.0 0.7071067811865475
org.apache.commons.math.analysis.UnivariateRealSolverUtils:171	1.0 1.0 0.7071067811865475
org.apache.commons.math.analysis.UnivariateRealSolverUtils:174	1.0 1.0 0.7071067811865475
org.apache.commons.math.analysis.UnivariateRealSolverUtils:178	1.0 1.0 0.7071067811865475
org.apache.commons.math.distribution.AbstractContinuousDistribution:61	1.0 1.0 0.7071067811865475
org.apache.commons.math.distribution.AbstractContinuousDistribution:67	1.0 1.0 0.7071067811865475
org.apache.commons.math.distribution.AbstractContinuousDistribution:80	1.0 1.0 0.7071067811865475
org.apache.commons.math.distribution.AbstractContinuousDistribution:81	1.0 1.0 0.7071067811865475
org.apache.commons.math.distribution.AbstractContinuousDistribution:82	1.0 1.0 0.7071067811865475
org.apache.commons.math.distribution.AbstractContinuousDistribution:84	1.0 1.0 0.7071067811865475
org.apache.commons.math.distribution.AbstractContinuousDistribution:68	1.0 1.0 0.7071067811865475
org.apache.commons.math.distribution.FDistributionImpl:106	1.0 1.0 0.7071067811865475
org.apache.commons.math.distribution.FDistributionImpl:119	1.0 1.0 0.7071067811865475
org.apache.commons.math.distribution.FDistributionImpl:132	1.0 1.0 0.7071067811865475
org.apache.commons.math.distribution.FDistributionImpl:145	1.0 1.0 0.7071067811865475
org.apache.commons.math.distribution.FDistributionImpl:147	1.0 1.0 0.7071067811865475
org.apache.commons.math.distribution.FDistributionImpl:148	1.0 1.0 0.7071067811865475
org.apache.commons.math.distribution.FDistributionImpl:100	1.0 2.0 0.5773502691896258
org.apache.commons.math.distribution.FDistributionImpl:103	1.0 2.0 0.5773502691896258
org.apache.commons.math.distribution.FDistributionImpl:75	1.0 4.0 0.4472135954999579
org.apache.commons.math.distribution.FDistributionImpl:76	1.0 4.0 0.4472135954999579
org.apache.commons.math.distribution.FDistributionImpl:78	1.0 4.0 0.4472135954999579
org.apache.commons.math.distribution.FDistributionImpl:72	1.0 5.0 0.4082482904638631
org.apache.commons.math.distribution.FDistributionImpl:82	1.0 5.0 0.4082482904638631
org.apache.commons.math.distribution.FDistributionImpl:170	1.0 5.0 0.4082482904638631
org.apache.commons.math.distribution.FDistributionImpl:192	1.0 5.0 0.4082482904638631
org.apache.commons.math.distribution.FDistributionImpl:50	1.0 7.0 0.35355339059327373
org.apache.commons.math.distribution.FDistributionImpl:51	1.0 7.0 0.35355339059327373
org.apache.commons.math.distribution.FDistributionImpl:52	1.0 7.0 0.35355339059327373
org.apache.commons.math.distribution.FDistributionImpl:53	1.0 7.0 0.35355339059327373
org.apache.commons.math.distribution.FDistributionImpl:158	1.0 7.0 0.35355339059327373
org.apache.commons.math.distribution.FDistributionImpl:162	1.0 7.0 0.35355339059327373
org.apache.commons.math.distribution.FDistributionImpl:163	1.0 7.0 0.35355339059327373
org.apache.commons.math.distribution.FDistributionImpl:180	1.0 7.0 0.35355339059327373
org.apache.commons.math.distribution.FDistributionImpl:184	1.0 7.0 0.35355339059327373
org.apache.commons.math.distribution.FDistributionImpl:185	1.0 7.0 0.35355339059327373
org.apache.commons.math.special.Beta:59	1.0 10.0 0.30151134457776363
org.apache.commons.math.special.Beta:126	1.0 10.0 0.30151134457776363
org.apache.commons.math.special.Beta:130	1.0 10.0 0.30151134457776363
org.apache.commons.math.special.Beta:133	1.0 10.0 0.30151134457776363
org.apache.commons.math.special.Beta:156	1.0 10.0 0.30151134457776363
org.apache.commons.math.special.Beta:161	1.0 10.0 0.30151134457776363
org.apache.commons.math.special.Beta:197	1.0 10.0 0.30151134457776363
org.apache.commons.math.special.Beta:200	1.0 10.0 0.30151134457776363
org.apache.commons.math.special.Beta:204	1.0 10.0 0.30151134457776363
org.apache.commons.math.special.Beta:140	1.0 10.0 0.30151134457776363
org.apache.commons.math.special.Beta:141	1.0 10.0 0.30151134457776363
org.apache.commons.math.special.Beta:142	1.0 10.0 0.30151134457776363
org.apache.commons.math.special.Beta:145	1.0 10.0 0.30151134457776363
org.apache.commons.math.special.Beta:146	1.0 10.0 0.30151134457776363
org.apache.commons.math.special.Beta:149	1.0 10.0 0.30151134457776363
org.apache.commons.math.special.Beta:153	1.0 10.0 0.30151134457776363
org.apache.commons.math.special.Gamma:40	1.0 14.0 0.2581988897471611
org.apache.commons.math.special.Gamma:60	1.0 14.0 0.2581988897471611
