org.joda.time.Partial:219	1.0 0.0 1.0
org.joda.time.field.UnsupportedDurationField:32	1.0 6.0 0.3779644730092272
org.joda.time.field.UnsupportedDurationField:227	1.0 6.0 0.3779644730092272
org.joda.time.field.UnsupportedDurationField:228	1.0 6.0 0.3779644730092272
org.joda.time.DurationFieldType:286	1.0 9.0 0.31622776601683794
org.joda.time.chrono.GJEraDateTimeField:136	1.0 10.0 0.30151134457776363
org.joda.time.chrono.GJEraDateTimeField:140	1.0 10.0 0.30151134457776363
org.joda.time.DateTimeFieldType:484	1.0 22.0 0.20851441405707477
org.joda.time.Partial:176	1.0 70.0 0.11867816581938533
org.joda.time.Partial:175	1.0 76.0 0.11396057645963795
org.joda.time.field.BaseDurationField:153	1.0 98.0 0.10050378152592121
org.joda.time.Partial:217	1.0 140.0 0.0842151921066519
org.joda.time.Partial:218	1.0 140.0 0.0842151921066519
org.joda.time.Partial:221	1.0 140.0 0.0842151921066519
org.joda.time.Partial:250	1.0 150.0 0.08137884587711594
org.joda.time.Partial:251	1.0 150.0 0.08137884587711594
org.joda.time.Partial:248	1.0 151.0 0.08111071056538127
org.joda.time.Partial:249	1.0 151.0 0.08111071056538127
org.joda.time.Partial:212	1.0 152.0 0.08084520834544433
org.joda.time.Partial:213	1.0 152.0 0.08084520834544433
org.joda.time.Partial:214	1.0 152.0 0.08084520834544433
org.joda.time.Partial:215	1.0 152.0 0.08084520834544433
org.joda.time.Partial:216	1.0 152.0 0.08084520834544433
org.joda.time.Partial:245	1.0 152.0 0.08084520834544433
org.joda.time.Partial:207	1.0 153.0 0.08058229640253803
org.joda.time.Partial:208	1.0 153.0 0.08058229640253803
org.joda.time.Partial:202	1.0 154.0 0.08032193289024989
org.joda.time.Partial:199	1.0 155.0 0.08006407690254357
org.joda.time.Partial:196	1.0 156.0 0.07980868844676221
org.joda.time.Partial:335	1.0 156.0 0.07980868844676221
org.joda.time.Partial:190	1.0 157.0 0.079555728417573
org.joda.time.Partial:191	1.0 157.0 0.079555728417573
org.joda.time.Partial:192	1.0 157.0 0.079555728417573
org.joda.time.Partial:193	1.0 157.0 0.079555728417573
org.joda.time.Partial:323	1.0 160.0 0.07881104062391006
org.joda.time.Partial:311	1.0 161.0 0.07856742013183861
org.joda.time.DurationFieldType:292	1.0 219.0 0.06741998624632421
org.joda.time.DateTimeFieldType:378	1.0 291.0 0.058520573598065284
org.joda.time.chrono.BasicMonthOfYearDateTimeField:340	1.0 304.0 0.057259833431386825
org.joda.time.chrono.BasicMonthOfYearDateTimeField:345	1.0 306.0 0.05707301455353496
org.joda.time.field.BaseDurationField:38	1.0 425.0 0.04845015831115092
org.joda.time.field.BaseDurationField:155	1.0 425.0 0.04845015831115092
org.joda.time.field.BaseDurationField:146	1.0 427.0 0.04833682445228318
org.joda.time.field.BaseDurationField:147	1.0 427.0 0.04833682445228318
org.joda.time.field.BaseDurationField:149	1.0 427.0 0.04833682445228318
org.joda.time.field.BaseDurationField:152	1.0 427.0 0.04833682445228318
org.joda.time.DurationFieldType:294	1.0 505.0 0.044455422447438706
org.joda.time.DurationFieldType:298	1.0 539.0 0.04303314829119352
org.joda.time.field.BaseDateTimeField:818	1.0 601.0 0.04075695729696112
org.joda.time.field.BaseDateTimeField:804	1.0 602.0 0.040723148118768406
org.joda.time.chrono.BaseChronology:213	1.0 604.0 0.040655781409087086
org.joda.time.chrono.BaseChronology:199	1.0 605.0 0.04062222318511938
org.joda.time.chrono.BaseChronology:200	1.0 605.0 0.04062222318511938
org.joda.time.chrono.BaseChronology:201	1.0 605.0 0.04062222318511938
org.joda.time.chrono.BaseChronology:202	1.0 605.0 0.04062222318511938
org.joda.time.chrono.BaseChronology:207	1.0 605.0 0.04062222318511938
org.joda.time.field.BaseDateTimeField:758	1.0 606.0 0.04058874792340995
org.joda.time.field.BaseDateTimeField:772	1.0 606.0 0.04058874792340995
org.joda.time.chrono.BaseChronology:192	1.0 606.0 0.04058874792340995
org.joda.time.chrono.BaseChronology:183	1.0 608.0 0.04052204492365539
org.joda.time.chrono.BaseChronology:184	1.0 608.0 0.04052204492365539
org.joda.time.chrono.BaseChronology:185	1.0 608.0 0.04052204492365539
org.joda.time.chrono.BaseChronology:186	1.0 608.0 0.04052204492365539
org.joda.time.chrono.BaseChronology:187	1.0 608.0 0.04052204492365539
org.joda.time.base.AbstractPartial:105	1.0 642.0 0.03943615033625495
org.joda.time.DurationFieldType:282	1.0 780.0 0.03578281334822566
org.joda.time.DurationFieldType:284	1.0 780.0 0.03578281334822566
org.joda.time.DateTimeFieldType:496	1.0 812.0 0.03507153119159472
org.joda.time.DateTimeFieldType:492	1.0 827.0 0.034752402342845795
org.joda.time.DateTimeFieldType:480	1.0 1220.0 0.028618190351607124
org.joda.time.DateTimeFieldType:482	1.0 1220.0 0.028618190351607124
org.joda.time.chrono.ISOChronology:102	1.0 1314.0 0.027576371656986686
org.joda.time.DateTimeUtils:285	1.0 1490.0 0.025897698962183534
org.joda.time.base.AbstractPartial:54	1.0 1577.0 0.025173668017796205
org.joda.time.base.AbstractPartial:55	1.0 1577.0 0.025173668017796205
org.joda.time.chrono.BasicYearDateTimeField:116	1.0 1655.0 0.024573659359149524
org.joda.time.chrono.AssembledChronology:107	1.0 1980.0 0.02246765581450569
org.joda.time.chrono.AssembledChronology:108	1.0 1980.0 0.02246765581450569
org.joda.time.chrono.GregorianChronology:221	1.0 2152.0 0.02155152393519773
org.joda.time.chrono.ISOChronology:77	1.0 2157.0 0.021526542445480877
org.joda.time.chrono.ISOChronology:86	1.0 2190.0 0.021363815131845643
org.joda.time.chrono.ISOChronology:96	1.0 2723.0 0.019160041630983685
org.joda.time.chrono.ISOChronology:99	1.0 2723.0 0.019160041630983685
org.joda.time.chrono.ISOChronology:100	1.0 2723.0 0.019160041630983685
org.joda.time.chrono.ISOChronology:101	1.0 2723.0 0.019160041630983685
org.joda.time.chrono.ISOChronology:104	1.0 2723.0 0.019160041630983685
org.joda.time.chrono.ISOChronology:105	1.0 2723.0 0.019160041630983685
org.joda.time.chrono.ISOChronology:106	1.0 2723.0 0.019160041630983685
org.joda.time.chrono.ISOChronology:110	1.0 2723.0 0.019160041630983685
org.joda.time.chrono.ISOChronology:111	1.0 2723.0 0.019160041630983685
org.joda.time.chrono.ISOChronology:112	1.0 2723.0 0.019160041630983685
org.joda.time.DateTimeUtils:114	1.0 2865.0 0.01867935633541406
org.joda.time.DateTimeUtils:115	1.0 2865.0 0.01867935633541406
org.joda.time.DateTimeUtils:116	1.0 2865.0 0.01867935633541406
org.joda.time.DateTimeUtils:547	1.0 2865.0 0.01867935633541406
org.joda.time.DateTimeUtils:548	1.0 2865.0 0.01867935633541406
org.joda.time.DateTimeUtils:549	1.0 2865.0 0.01867935633541406
org.joda.time.DateTimeUtils:287	1.0 2866.0 0.018676098402828818
org.joda.time.DateTimeUtils:100	1.0 2867.0 0.018672842174331777
org.joda.time.DateTimeUtils:101	1.0 2867.0 0.018672842174331777
org.joda.time.DateTimeUtils:102	1.0 2867.0 0.018672842174331777
org.joda.time.DateTimeUtils:161	1.0 2867.0 0.018672842174331777
org.joda.time.DateTimeUtils:162	1.0 2867.0 0.018672842174331777
org.joda.time.DateTimeUtils:165	1.0 2867.0 0.018672842174331777
org.joda.time.chrono.ISOChronology:133	1.0 3005.0 0.018239188505486094
org.joda.time.DateTimeZone:175	1.0 3029.0 0.01816681048781899
org.joda.time.DateTimeZone:176	1.0 3029.0 0.01816681048781899
org.joda.time.DateTimeZone:182	1.0 3029.0 0.01816681048781899
org.joda.time.DateTimeZone:183	1.0 3029.0 0.01816681048781899
org.joda.time.DateTimeZone:184	1.0 3029.0 0.01816681048781899
org.joda.time.DateTimeZone:185	1.0 3029.0 0.01816681048781899
org.joda.time.field.UnsupportedDurationField:218	1.0 3075.0 0.018030461149365472
org.joda.time.field.ImpreciseDateTimeField:161	1.0 3120.0 0.01790000349050102
org.joda.time.DateTimeUtils:284	1.0 3229.0 0.017595383576944672
org.joda.time.chrono.ISOChronology:63	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOChronology:65	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOChronology:66	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOChronology:67	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOChronology:68	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOChronology:122	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOChronology:123	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOChronology:169	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOChronology:171	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOChronology:173	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOChronology:175	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOChronology:177	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOChronology:180	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOYearOfEraDateTimeField:42	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOYearOfEraDateTimeField:48	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOYearOfEraDateTimeField:49	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOYearOfEraDateTimeField:53	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOYearOfEraDateTimeField:94	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.ISOYearOfEraDateTimeField:98	1.0 3252.0 0.017533070066522223
org.joda.time.chrono.GregorianChronology:81	1.0 3258.0 0.017516922953288844
org.joda.time.chrono.BasicChronology:146	1.0 3318.0 0.017357867696094095
org.joda.time.chrono.BasicChronology:143	1.0 3325.0 0.017339592129039343
org.joda.time.chrono.GregorianChronology:45	1.0 3326.0 0.01733698604318574
org.joda.time.chrono.GregorianChronology:68	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:71	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:72	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:100	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:111	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:115	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:116	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:117	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:118	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:119	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:122	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:126	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:127	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:128	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:129	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:135	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:137	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:138	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:148	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:149	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:191	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:192	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:194	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:225	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:229	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.GregorianChronology:237	1.0 3338.0 0.01730580438837217
org.joda.time.chrono.BasicChronology:699	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.BasicGJChronology:42	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.BasicGJChronology:45	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.BasicGJChronology:53	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.BasicGJChronology:54	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.BasicGJChronology:56	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.BasicGJChronology:57	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.BasicGJChronology:58	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.BasicGJChronology:59	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.BasicGJChronology:61	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.BasicGJChronology:62	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.BasicGJChronology:64	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.BasicGJChronology:66	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.BasicGJChronology:67	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.BasicGJChronology:69	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.BasicGJChronology:75	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.BasicGJChronology:76	1.0 3351.0 0.01727221339633667
org.joda.time.chrono.AssembledChronology:321	1.0 3372.0 0.0172183618093467
org.joda.time.chrono.AssembledChronology:372	1.0 3372.0 0.0172183618093467
org.joda.time.field.UnsupportedDurationField:92	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:156	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:160	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:164	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:168	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:172	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:176	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:180	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:184	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:188	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:192	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:196	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:200	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:204	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:208	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:212	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:216	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:220	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:224	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:228	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:232	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:236	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:240	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:244	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:248	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:252	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:256	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:260	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:264	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:272	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:276	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:280	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:284	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:292	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:445	1.0 3396.0 0.01715742963897298
