org.joda.time.field.PreciseDurationDateTimeField:129	4.0 0.0 0.7071067811865475
org.joda.time.LocalDateTime:2016	4.0 5.0 0.47140452079103173
org.joda.time.LocalDateTime:612	4.0 8.0 0.4082482904638631
org.joda.time.LocalDateTime:615	4.0 8.0 0.4082482904638631
org.joda.time.LocalDateTime:199	2.0 1.0 0.4082482904638631
org.joda.time.LocalDateTime:200	2.0 1.0 0.4082482904638631
org.joda.time.LocalDate:1805	4.0 8.0 0.4082482904638631
org.joda.time.LocalDate:210	2.0 1.0 0.4082482904638631
org.joda.time.LocalDate:211	2.0 1.0 0.4082482904638631
org.joda.time.LocalDateTime:196	2.0 2.0 0.35355339059327373
org.joda.time.LocalDate:207	2.0 2.0 0.35355339059327373
org.joda.time.LocalDateTime:597	4.0 16.0 0.31622776601683794
org.joda.time.LocalDateTime:600	4.0 16.0 0.31622776601683794
org.joda.time.LocalDate:548	4.0 16.0 0.31622776601683794
org.joda.time.LocalDateTime:567	4.0 17.0 0.3086066999241838
org.joda.time.LocalDateTime:569	4.0 17.0 0.3086066999241838
org.joda.time.LocalDateTime:571	4.0 17.0 0.3086066999241838
org.joda.time.LocalDateTime:573	4.0 17.0 0.3086066999241838
org.joda.time.LocalDateTime:575	4.0 17.0 0.3086066999241838
org.joda.time.LocalDate:542	4.0 17.0 0.3086066999241838
org.joda.time.LocalDate:545	4.0 17.0 0.3086066999241838
org.joda.time.LocalDate:567	4.0 20.0 0.2886751345948129
org.joda.time.LocalDate:560	4.0 22.0 0.2773500981126146
org.joda.time.LocalDate:563	4.0 22.0 0.2773500981126146
org.joda.time.LocalDate:564	4.0 22.0 0.2773500981126146
org.joda.time.LocalDateTime:237	2.0 7.0 0.23570226039551587
org.joda.time.LocalDate:244	2.0 7.0 0.23570226039551587
org.joda.time.LocalDateTime:233	2.0 8.0 0.22360679774997896
org.joda.time.LocalDate:240	2.0 8.0 0.22360679774997896
org.joda.time.LocalDateTime:546	4.0 39.0 0.21566554640687682
org.joda.time.LocalDateTime:548	4.0 39.0 0.21566554640687682
org.joda.time.LocalDateTime:550	4.0 39.0 0.21566554640687682
org.joda.time.DateTimeFieldType:526	4.0 39.0 0.21566554640687682
org.joda.time.LocalDateTime:529	4.0 40.0 0.21320071635561041
org.joda.time.LocalDateTime:542	4.0 40.0 0.21320071635561041
org.joda.time.LocalDateTime:544	4.0 40.0 0.21320071635561041
org.joda.time.LocalDateTime:669	4.0 46.0 0.2
org.joda.time.LocalDateTime:666	4.0 48.0 0.19611613513818404
org.joda.time.LocalDateTime:667	4.0 48.0 0.19611613513818404
org.joda.time.LocalDateTime:668	4.0 48.0 0.19611613513818404
org.joda.time.LocalDateTime:663	4.0 49.0 0.19425717247145283
org.joda.time.LocalDate:628	4.0 56.0 0.18257418583505536
org.joda.time.chrono.ISOChronology:190	8.0 234.0 0.18181818181818182
org.joda.time.LocalDate:622	4.0 58.0 0.1796053020267749
org.joda.time.LocalDate:625	4.0 58.0 0.1796053020267749
org.joda.time.LocalDate:626	4.0 58.0 0.1796053020267749
org.joda.time.LocalDate:627	4.0 58.0 0.1796053020267749
org.joda.time.chrono.BaseChronology:239	4.0 69.0 0.1655211777204736
org.joda.time.chrono.BaseChronology:240	4.0 69.0 0.1655211777204736
org.joda.time.chrono.BaseChronology:242	4.0 69.0 0.1655211777204736
org.joda.time.LocalDate:426	4.0 75.0 0.159111456835146
org.joda.time.LocalDate:427	4.0 75.0 0.159111456835146
org.joda.time.LocalDateTime:471	4.0 86.0 0.14907119849998599
org.joda.time.LocalDateTime:473	4.0 86.0 0.14907119849998599
org.joda.time.DateTimeFieldType:498	8.0 369.0 0.14567140814584595
org.joda.time.DateTimeFieldType:492	8.0 405.0 0.1391778001278442
org.joda.time.DateTimeFieldType:496	8.0 418.0 0.13703774196550633
org.joda.time.chrono.AssembledChronology:120	4.0 119.0 0.12751534261266764
org.joda.time.chrono.AssembledChronology:118	4.0 121.0 0.12649110640673517
org.joda.time.base.AbstractPartial:79	4.0 126.0 0.12403473458920847
org.joda.time.base.BaseLocal:47	8.0 512.0 0.12403473458920847
org.joda.time.base.BaseLocal:48	8.0 512.0 0.12403473458920847
org.joda.time.LocalDateTime:499	4.0 133.0 0.1208244186660354
org.joda.time.LocalDateTime:500	4.0 133.0 0.1208244186660354
org.joda.time.LocalDateTime:501	4.0 133.0 0.1208244186660354
org.joda.time.LocalDateTime:503	4.0 133.0 0.1208244186660354
org.joda.time.LocalDateTime:504	4.0 133.0 0.1208244186660354
org.joda.time.LocalDateTime:505	4.0 133.0 0.1208244186660354
org.joda.time.DateTimeFieldType:480	8.0 575.0 0.11714148253148454
org.joda.time.DateTimeFieldType:482	8.0 575.0 0.11714148253148454
org.joda.time.LocalDate:445	4.0 145.0 0.11585688927269845
org.joda.time.LocalDate:446	4.0 145.0 0.11585688927269845
org.joda.time.LocalDate:447	4.0 145.0 0.11585688927269845
org.joda.time.LocalDate:448	4.0 145.0 0.11585688927269845
org.joda.time.LocalDate:449	4.0 145.0 0.11585688927269845
org.joda.time.LocalDate:450	4.0 145.0 0.11585688927269845
org.joda.time.chrono.BuddhistChronology:84	8.0 594.0 0.115278083540847
org.joda.time.LocalDate:600	4.0 156.0 0.11180339887498948
org.joda.time.field.PreciseDurationDateTimeField:126	4.0 158.0 0.1111111111111111
org.joda.time.LocalDate:609	4.0 169.0 0.10752066611409407
org.joda.time.DateTimeFieldType:522	4.0 179.0 0.10454167469786334
org.joda.time.LocalDateTime:641	4.0 185.0 0.10286889997472794
org.joda.time.LocalDateTime:650	4.0 193.0 0.10075854437197568
org.joda.time.chrono.BaseChronology:132	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BaseChronology:133	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BaseChronology:134	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BaseChronology:135	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BaseChronology:136	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BaseChronology:137	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BaseChronology:138	8.0 847.0 0.0967301666813349
org.joda.time.chrono.AssembledChronology:136	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:65	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:71	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:74	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:104	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:107	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:108	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:110	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:112	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:113	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:114	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:116	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:128	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:129	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:204	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:206	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:207	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:211	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:212	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:216	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:217	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:220	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:221	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:224	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:226	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:229	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:231	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:234	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BuddhistChronology:236	8.0 847.0 0.0967301666813349
org.joda.time.chrono.BasicWeekyearDateTimeField:228	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:74	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:173	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:192	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:579	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:644	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:647	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:710	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:711	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:712	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:714	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:715	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:718	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:724	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:725	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:737	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:795	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:826	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:912	8.0 847.0 0.0967301666813349
org.joda.time.chrono.GJChronology:915	8.0 847.0 0.0967301666813349
org.joda.time.chrono.JulianChronology:78	8.0 847.0 0.0967301666813349
org.joda.time.chrono.JulianChronology:79	8.0 847.0 0.0967301666813349
org.joda.time.chrono.JulianChronology:83	8.0 847.0 0.0967301666813349
org.joda.time.chrono.JulianChronology:85	8.0 847.0 0.0967301666813349
org.joda.time.chrono.JulianChronology:207	8.0 847.0 0.0967301666813349
org.joda.time.field.DecoratedDateTimeField:82	8.0 847.0 0.0967301666813349
org.joda.time.field.DelegatedDateTimeField:172	8.0 847.0 0.0967301666813349
org.joda.time.field.DelegatedDateTimeField:228	8.0 847.0 0.0967301666813349
org.joda.time.field.OffsetDateTimeField:152	8.0 847.0 0.0967301666813349
org.joda.time.field.OffsetDateTimeField:153	8.0 847.0 0.0967301666813349
org.joda.time.field.SkipDateTimeField:82	8.0 847.0 0.0967301666813349
org.joda.time.field.SkipDateTimeField:100	8.0 847.0 0.0967301666813349
org.joda.time.field.SkipUndoDateTimeField:53	8.0 847.0 0.0967301666813349
org.joda.time.field.SkipUndoDateTimeField:54	8.0 847.0 0.0967301666813349
org.joda.time.field.SkipUndoDateTimeField:64	8.0 847.0 0.0967301666813349
org.joda.time.field.SkipUndoDateTimeField:65	8.0 847.0 0.0967301666813349
org.joda.time.field.SkipUndoDateTimeField:66	8.0 847.0 0.0967301666813349
org.joda.time.field.SkipUndoDateTimeField:67	8.0 847.0 0.0967301666813349
org.joda.time.field.SkipUndoDateTimeField:68	8.0 847.0 0.0967301666813349
org.joda.time.field.SkipUndoDateTimeField:74	8.0 847.0 0.0967301666813349
org.joda.time.field.SkipUndoDateTimeField:75	8.0 847.0 0.0967301666813349
org.joda.time.field.SkipUndoDateTimeField:87	8.0 847.0 0.0967301666813349
