org.joda.time.IllegalFieldValueException:314	6.0 0.0 0.8660254037844387
org.joda.time.MonthDay:518	8.0 13.0 0.6172133998483676
org.joda.time.MonthDay:519	8.0 13.0 0.6172133998483676
org.joda.time.chrono.BasicMonthOfYearDateTimeField:206	8.0 13.0 0.6172133998483676
org.joda.time.chrono.BasicMonthOfYearDateTimeField:210	8.0 13.0 0.6172133998483676
org.joda.time.chrono.BasicMonthOfYearDateTimeField:211	8.0 13.0 0.6172133998483676
org.joda.time.chrono.BasicMonthOfYearDateTimeField:212	8.0 13.0 0.6172133998483676
org.joda.time.chrono.BasicMonthOfYearDateTimeField:213	8.0 13.0 0.6172133998483676
org.joda.time.MonthDay:515	8.0 18.0 0.5547001962252291
org.joda.time.MonthDay:514	8.0 21.0 0.5252257314388902
org.joda.time.DateTimeUtils:347	8.0 32.0 0.4472135954999579
org.joda.time.DateTimeUtils:334	8.0 34.0 0.4364357804719848
org.joda.time.DateTimeUtils:337	8.0 34.0 0.4364357804719848
org.joda.time.DateTimeUtils:338	8.0 34.0 0.4364357804719848
org.joda.time.DateTimeUtils:339	8.0 34.0 0.4364357804719848
org.joda.time.DateTimeUtils:340	8.0 34.0 0.4364357804719848
org.joda.time.DateTimeUtils:341	8.0 34.0 0.4364357804719848
org.joda.time.DateTimeUtils:345	8.0 34.0 0.4364357804719848
org.joda.time.MonthDay:652	3.0 5.0 0.375
org.joda.time.MonthDay:592	3.0 5.0 0.375
org.joda.time.chrono.BasicDayOfMonthDateTimeField:89	8.0 56.0 0.35355339059327373
org.joda.time.chrono.BasicGJChronology:129	8.0 56.0 0.35355339059327373
org.joda.time.base.AbstractPartial:223	8.0 67.0 0.32659863237109044
org.joda.time.MonthDay:352	8.0 70.0 0.32025630761017426
org.joda.time.MonthDay:353	8.0 70.0 0.32025630761017426
org.joda.time.MonthDay:410	8.0 73.0 0.31426968052735443
org.joda.time.MonthDay:412	8.0 73.0 0.31426968052735443
org.joda.time.MonthDay:408	8.0 74.0 0.31234752377721214
org.joda.time.base.AbstractPartial:204	8.0 78.0 0.30499714066520933
org.joda.time.base.AbstractPartial:219	8.0 85.0 0.2932942300427066
org.joda.time.base.AbstractPartial:220	8.0 85.0 0.2932942300427066
org.joda.time.MonthDay:426	8.0 94.0 0.28005601680560194
org.joda.time.base.AbstractPartial:202	8.0 96.0 0.2773500981126146
