org.joda.time.base.AbstractDuration:80	1.0 1.0 0.5
org.joda.time.Period:382	2.0 31.0 0.24618298195866545
org.joda.time.Period:383	2.0 31.0 0.24618298195866545
org.joda.time.DateTimeZone:237	2.0 46.0 0.20412414523193154
org.joda.time.base.BasePeriod:222	2.0 48.0 0.2
org.joda.time.base.BasePeriod:224	2.0 48.0 0.2
org.joda.time.field.ImpreciseDateTimeField:156	2.0 96.0 0.14285714285714285
org.joda.time.chrono.BaseChronology:284	2.0 99.0 0.14071950894605836
org.joda.time.chrono.BaseChronology:285	2.0 99.0 0.14071950894605836
org.joda.time.chrono.BaseChronology:279	2.0 101.0 0.13934660285832354
org.joda.time.chrono.BaseChronology:280	2.0 101.0 0.13934660285832354
org.joda.time.chrono.BaseChronology:281	2.0 101.0 0.13934660285832354
org.joda.time.chrono.BaseChronology:282	2.0 101.0 0.13934660285832354
org.joda.time.chrono.BaseChronology:283	2.0 101.0 0.13934660285832354
org.joda.time.Period:704	2.0 110.0 0.1336306209562122
org.joda.time.Period:713	2.0 110.0 0.1336306209562122
org.joda.time.Period:722	2.0 112.0 0.13245323570650439
org.joda.time.field.MillisDurationField:125	2.0 157.0 0.11215443081840887
org.joda.time.DurationFieldType:278	2.0 168.0 0.10846522890932808
org.joda.time.field.BaseDurationField:141	2.0 190.0 0.10206207261596577
org.joda.time.field.PreciseDurationField:114	2.0 190.0 0.10206207261596577
org.joda.time.field.PreciseDurationField:115	2.0 190.0 0.10206207261596577
org.joda.time.DurationFieldType:290	2.0 191.0 0.10179731971185753
org.joda.time.DurationFieldType:288	2.0 196.0 0.10050378152592121
org.joda.time.field.FieldUtils:100	2.0 203.0 0.09877295966495896
org.joda.time.field.FieldUtils:102	2.0 203.0 0.09877295966495896
org.joda.time.field.FieldUtils:106	2.0 203.0 0.09877295966495896
org.joda.time.DurationFieldType:274	2.0 209.0 0.0973584767022471
org.joda.time.DurationFieldType:286	2.0 249.0 0.08926436853549036
org.joda.time.field.FieldUtils:185	2.0 251.0 0.08891084489487741
org.joda.time.field.FieldUtils:184	2.0 257.0 0.08787495503274936
org.joda.time.DurationFieldType:276	2.0 265.0 0.08654846448158308
org.joda.time.PeriodType:674	2.0 268.0 0.08606629658238704
org.joda.time.PeriodType:675	2.0 268.0 0.08606629658238704
org.joda.time.DurationFieldType:280	2.0 285.0 0.08347838711296822
org.joda.time.DurationFieldType:284	2.0 288.0 0.08304547985373997
org.joda.time.base.BasePeriod:324	2.0 333.0 0.07726674092862558
org.joda.time.PeriodType:628	2.0 333.0 0.07726674092862558
org.joda.time.base.BaseDuration:115	1.0 104.0 0.06900655593423542
org.joda.time.Period:65	2.0 419.0 0.06892455167955776
org.joda.time.Period:298	2.0 419.0 0.06892455167955776
org.joda.time.Period:299	2.0 419.0 0.06892455167955776
org.joda.time.DurationFieldType:264	2.0 427.0 0.06827887419989188
org.joda.time.DurationFieldType:266	2.0 427.0 0.06827887419989188
org.joda.time.DateTimeUtils:287	2.0 461.0 0.0657240779900775
org.joda.time.field.MillisDurationField:117	2.0 462.0 0.06565321642986127
org.joda.time.Duration:43	1.0 117.0 0.06509445549041194
org.joda.time.Duration:176	1.0 117.0 0.06509445549041194
org.joda.time.Duration:177	1.0 117.0 0.06509445549041194
org.joda.time.base.AbstractDuration:44	1.0 118.0 0.06482037235521644
org.joda.time.base.AbstractDuration:45	1.0 118.0 0.06482037235521644
org.joda.time.base.BaseDuration:61	1.0 118.0 0.06482037235521644
org.joda.time.base.BaseDuration:62	1.0 118.0 0.06482037235521644
org.joda.time.base.BaseDuration:63	1.0 118.0 0.06482037235521644
org.joda.time.base.BasePeriod:239	2.0 476.0 0.06468462273531508
org.joda.time.base.BasePeriod:240	2.0 476.0 0.06468462273531508
org.joda.time.base.BasePeriod:241	2.0 476.0 0.06468462273531508
org.joda.time.base.BasePeriod:242	2.0 476.0 0.06468462273531508
org.joda.time.base.BasePeriod:243	2.0 476.0 0.06468462273531508
org.joda.time.base.BasePeriod:244	2.0 476.0 0.06468462273531508
org.joda.time.chrono.BaseChronology:276	2.0 484.0 0.06415002990995841
org.joda.time.chrono.BaseChronology:277	2.0 484.0 0.06415002990995841
org.joda.time.chrono.BaseChronology:278	2.0 484.0 0.06415002990995841
org.joda.time.chrono.BaseChronology:289	2.0 484.0 0.06415002990995841
org.joda.time.base.BasePeriod:303	2.0 491.0 0.0636929755298482
org.joda.time.base.BasePeriod:335	2.0 497.0 0.06330889378329184
org.joda.time.field.PreciseDurationField:104	2.0 525.0 0.06160411036336975
org.joda.time.field.PreciseDurationField:105	2.0 525.0 0.06160411036336975
org.joda.time.PeriodType:102	2.0 532.0 0.06119900613621046
org.joda.time.PeriodType:103	2.0 532.0 0.06119900613621046
org.joda.time.PeriodType:104	2.0 532.0 0.06119900613621046
org.joda.time.PeriodType:114	2.0 532.0 0.06119900613621046
org.joda.time.PeriodType:116	2.0 532.0 0.06119900613621046
org.joda.time.base.BasePeriod:293	2.0 552.0 0.06008417681261097
org.joda.time.base.BasePeriod:313	2.0 552.0 0.06008417681261097
org.joda.time.PeriodType:617	2.0 552.0 0.06008417681261097
org.joda.time.DateTimeUtils:286	2.0 552.0 0.06008417681261097
org.joda.time.base.AbstractPeriod:45	2.0 552.0 0.06008417681261097
org.joda.time.base.AbstractPeriod:46	2.0 552.0 0.06008417681261097
org.joda.time.field.FieldUtils:82	2.0 638.0 0.05590169943749474
org.joda.time.field.FieldUtils:84	2.0 638.0 0.05590169943749474
org.joda.time.field.FieldUtils:88	2.0 638.0 0.05590169943749474
org.joda.time.chrono.ISOChronology:102	2.0 710.0 0.052999894000318
org.joda.time.PeriodType:56	2.0 726.0 0.052414241836095915
org.joda.time.PeriodType:58	2.0 726.0 0.052414241836095915
org.joda.time.PeriodType:59	2.0 726.0 0.052414241836095915
org.joda.time.PeriodType:60	2.0 726.0 0.052414241836095915
org.joda.time.PeriodType:61	2.0 726.0 0.052414241836095915
org.joda.time.PeriodType:62	2.0 726.0 0.052414241836095915
org.joda.time.PeriodType:63	2.0 726.0 0.052414241836095915
org.joda.time.PeriodType:64	2.0 726.0 0.052414241836095915
org.joda.time.PeriodType:65	2.0 726.0 0.052414241836095915
org.joda.time.PeriodType:595	2.0 726.0 0.052414241836095915
org.joda.time.PeriodType:596	2.0 726.0 0.052414241836095915
org.joda.time.PeriodType:597	2.0 726.0 0.052414241836095915
org.joda.time.PeriodType:598	2.0 726.0 0.052414241836095915
org.joda.time.PeriodType:599	2.0 726.0 0.052414241836095915
org.joda.time.DateTimeUtils:253	2.0 832.0 0.048970210687439175
org.joda.time.chrono.AssembledChronology:107	2.0 932.0 0.046274481338274755
org.joda.time.chrono.AssembledChronology:108	2.0 932.0 0.046274481338274755
org.joda.time.chrono.ISOChronology:86	2.0 1069.0 0.043213581570144294
org.joda.time.DateTimeUtils:255	2.0 1282.0 0.03946685189819292
org.joda.time.DateTimeUtils:68	2.0 1376.0 0.03809696588797296
org.joda.time.DateTimeUtils:69	2.0 1376.0 0.03809696588797296
org.joda.time.DateTimeUtils:70	2.0 1376.0 0.03809696588797296
org.joda.time.DateTimeUtils:82	2.0 1376.0 0.03809696588797296
org.joda.time.DateTimeUtils:83	2.0 1376.0 0.03809696588797296
org.joda.time.DateTimeUtils:84	2.0 1376.0 0.03809696588797296
org.joda.time.DateTimeUtils:129	2.0 1376.0 0.03809696588797296
org.joda.time.DateTimeUtils:130	2.0 1376.0 0.03809696588797296
org.joda.time.DateTimeUtils:133	2.0 1376.0 0.03809696588797296
org.joda.time.DateTimeUtils:414	2.0 1376.0 0.03809696588797296
org.joda.time.DateTimeUtils:415	2.0 1376.0 0.03809696588797296
org.joda.time.DateTimeUtils:416	2.0 1376.0 0.03809696588797296
org.joda.time.DateTimeZone:174	2.0 1430.0 0.037371754637596795
org.joda.time.DateTimeZone:175	2.0 1430.0 0.037371754637596795
org.joda.time.DateTimeZone:181	2.0 1430.0 0.037371754637596795
org.joda.time.DateTimeZone:182	2.0 1430.0 0.037371754637596795
org.joda.time.DateTimeZone:183	2.0 1430.0 0.037371754637596795
org.joda.time.DateTimeZone:184	2.0 1430.0 0.037371754637596795
org.joda.time.chrono.ISOChronology:96	2.0 1446.0 0.03716470731235832
org.joda.time.chrono.ISOChronology:99	2.0 1446.0 0.03716470731235832
org.joda.time.chrono.ISOChronology:100	2.0 1446.0 0.03716470731235832
org.joda.time.chrono.ISOChronology:101	2.0 1446.0 0.03716470731235832
org.joda.time.chrono.ISOChronology:104	2.0 1446.0 0.03716470731235832
org.joda.time.chrono.ISOChronology:105	2.0 1446.0 0.03716470731235832
org.joda.time.chrono.ISOChronology:106	2.0 1446.0 0.03716470731235832
org.joda.time.chrono.ISOChronology:110	2.0 1446.0 0.03716470731235832
org.joda.time.chrono.ISOChronology:111	2.0 1446.0 0.03716470731235832
org.joda.time.chrono.ISOChronology:112	2.0 1446.0 0.03716470731235832
org.joda.time.DateTimeUtils:252	2.0 1534.0 0.036084391824351615
org.joda.time.DateTimeZone:133	2.0 1536.0 0.036060922298730945
org.joda.time.DateTimeZone:134	2.0 1536.0 0.036060922298730945
org.joda.time.DateTimeZone:135	2.0 1536.0 0.036060922298730945
org.joda.time.DateTimeZone:136	2.0 1536.0 0.036060922298730945
org.joda.time.DateTimeZone:137	2.0 1536.0 0.036060922298730945
org.joda.time.DateTimeZone:138	2.0 1536.0 0.036060922298730945
org.joda.time.DateTimeZone:141	2.0 1536.0 0.036060922298730945
org.joda.time.DateTimeZone:147	2.0 1536.0 0.036060922298730945
org.joda.time.DateTimeZone:148	2.0 1536.0 0.036060922298730945
org.joda.time.chrono.ISOChronology:63	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOChronology:65	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOChronology:66	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOChronology:67	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOChronology:68	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOChronology:122	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOChronology:123	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOChronology:169	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOChronology:171	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOChronology:173	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOChronology:175	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOChronology:178	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOChronology:180	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.BasicChronology:146	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.GregorianChronology:81	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOYearOfEraDateTimeField:40	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOYearOfEraDateTimeField:46	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOYearOfEraDateTimeField:47	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOYearOfEraDateTimeField:87	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.ISOYearOfEraDateTimeField:91	2.0 1564.0 0.03573708449459316
org.joda.time.chrono.BasicChronology:143	2.0 1565.0 0.0357256796484452
org.joda.time.chrono.AssembledChronology:321	2.0 1579.0 0.03556714970147894
org.joda.time.chrono.AssembledChronology:372	2.0 1579.0 0.03556714970147894
org.joda.time.chrono.BasicChronology:691	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:45	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:68	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:71	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:72	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:100	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:111	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:115	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:116	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:117	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:118	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:119	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:122	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:126	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:127	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:128	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:129	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:135	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:137	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:138	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:148	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:149	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:191	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:192	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:194	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:225	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:229	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.GregorianChronology:237	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.BasicGJChronology:42	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.BasicGJChronology:45	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.BasicGJChronology:53	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.BasicGJChronology:54	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.BasicGJChronology:56	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.BasicGJChronology:57	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.BasicGJChronology:58	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.BasicGJChronology:59	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.BasicGJChronology:61	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.BasicGJChronology:62	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.BasicGJChronology:64	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.BasicGJChronology:66	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.BasicGJChronology:67	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.BasicGJChronology:69	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.BasicGJChronology:75	2.0 1584.0 0.03551104121142175
org.joda.time.chrono.BasicGJChronology:76	2.0 1584.0 0.03551104121142175
org.joda.time.tz.FixedDateTimeZone:102	2.0 1588.0 0.03546634510659543
org.joda.time.field.ImpreciseDateTimeField:55	2.0 1588.0 0.03546634510659543
org.joda.time.field.ImpreciseDateTimeField:56	2.0 1588.0 0.03546634510659543
org.joda.time.field.ImpreciseDateTimeField:57	2.0 1588.0 0.03546634510659543
org.joda.time.field.ImpreciseDateTimeField:58	2.0 1588.0 0.03546634510659543
org.joda.time.field.ImpreciseDateTimeField:137	2.0 1588.0 0.03546634510659543
org.joda.time.field.ImpreciseDateTimeField:151	2.0 1588.0 0.03546634510659543
org.joda.time.field.ImpreciseDateTimeField:152	2.0 1588.0 0.03546634510659543
org.joda.time.field.ImpreciseDateTimeField:153	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.BaseChronology:660	2.0 1588.0 0.03546634510659543
org.joda.time.field.MillisDurationField:38	2.0 1588.0 0.03546634510659543
org.joda.time.field.MillisDurationField:44	2.0 1588.0 0.03546634510659543
org.joda.time.field.MillisDurationField:45	2.0 1588.0 0.03546634510659543
org.joda.time.field.MillisDurationField:62	2.0 1588.0 0.03546634510659543
org.joda.time.field.MillisDurationField:71	2.0 1588.0 0.03546634510659543
org.joda.time.field.MillisDurationField:80	2.0 1588.0 0.03546634510659543
org.joda.time.DurationFieldType:141	2.0 1588.0 0.03546634510659543
org.joda.time.DurationFieldType:169	2.0 1588.0 0.03546634510659543
org.joda.time.DurationFieldType:196	2.0 1588.0 0.03546634510659543
org.joda.time.DurationFieldType:205	2.0 1588.0 0.03546634510659543
org.joda.time.field.BaseDurationField:47	2.0 1588.0 0.03546634510659543
org.joda.time.field.BaseDurationField:48	2.0 1588.0 0.03546634510659543
org.joda.time.field.BaseDurationField:51	2.0 1588.0 0.03546634510659543
org.joda.time.field.BaseDurationField:52	2.0 1588.0 0.03546634510659543
org.joda.time.field.BaseDurationField:66	2.0 1588.0 0.03546634510659543
org.joda.time.field.PreciseDurationField:43	2.0 1588.0 0.03546634510659543
org.joda.time.field.PreciseDurationField:44	2.0 1588.0 0.03546634510659543
org.joda.time.field.PreciseDurationField:45	2.0 1588.0 0.03546634510659543
