org.joda.time.tz.DateTimeZoneBuilder:552	3.0 8.0 0.5222329678670935
org.joda.time.DateTime:160	2.0 31.0 0.20100756305184242
org.joda.time.DateTime:161	2.0 31.0 0.20100756305184242
org.joda.time.DateTime:285	1.0 8.0 0.19245008972987526
org.joda.time.DateTime:287	1.0 8.0 0.19245008972987526
org.joda.time.tz.CachedDateTimeZone:210	3.0 99.0 0.17149858514250885
org.joda.time.tz.CachedDateTimeZone:170	3.0 135.0 0.14744195615489714
org.joda.time.tz.CachedDateTimeZone:171	3.0 135.0 0.14744195615489714
org.joda.time.tz.CachedDateTimeZone:172	3.0 135.0 0.14744195615489714
org.joda.time.chrono.BasicGJChronology:190	3.0 185.0 0.12632278815997786
org.joda.time.base.BaseDateTime:110	2.0 86.0 0.12309149097933272
org.joda.time.base.BaseDateTime:111	2.0 86.0 0.12309149097933272
org.joda.time.format.DateTimeFormatterBuilder:2091	3.0 209.0 0.11895773785772162
org.joda.time.base.AbstractInstant:424	3.0 214.0 0.11757927025044308
org.joda.time.format.DateTimeFormatterBuilder:1895	3.0 227.0 0.11420804814403214
org.joda.time.format.DateTimeFormatterBuilder:1896	3.0 227.0 0.11420804814403214
org.joda.time.format.DateTimeFormatterBuilder:1897	3.0 227.0 0.11420804814403214
org.joda.time.format.DateTimeFormatterBuilder:1904	3.0 227.0 0.11420804814403214
org.joda.time.format.DateTimeFormatterBuilder:2115	3.0 261.0 0.10660035817780522
org.joda.time.format.DateTimeFormatterBuilder:2116	3.0 261.0 0.10660035817780522
org.joda.time.format.DateTimeFormatterBuilder:2117	3.0 261.0 0.10660035817780522
org.joda.time.format.DateTimeFormatterBuilder:2109	3.0 262.0 0.1063990353197863
org.joda.time.base.BaseDateTime:225	3.0 264.0 0.105999788000636
org.joda.time.base.BaseDateTime:223	3.0 266.0 0.10560500157131443
org.joda.time.format.DateTimeFormatterBuilder:2090	3.0 273.0 0.10425720702853737
org.joda.time.format.DateTimeFormatterBuilder:2097	3.0 273.0 0.10425720702853737
org.joda.time.format.DateTimeFormatterBuilder:2098	3.0 273.0 0.10425720702853737
org.joda.time.format.DateTimeFormatterBuilder:2099	3.0 273.0 0.10425720702853737
org.joda.time.format.DateTimeFormatterBuilder:2102	3.0 273.0 0.10425720702853737
org.joda.time.format.DateTimeFormatterBuilder:2103	3.0 273.0 0.10425720702853737
org.joda.time.format.DateTimeFormatterBuilder:2107	3.0 273.0 0.10425720702853737
org.joda.time.format.DateTimeFormatterBuilder:2108	3.0 273.0 0.10425720702853737
org.joda.time.format.DateTimeFormatterBuilder:2111	3.0 273.0 0.10425720702853737
org.joda.time.format.DateTimeFormatterBuilder:2112	3.0 273.0 0.10425720702853737
org.joda.time.format.ISODateTimeFormat:936	3.0 300.0 0.09950371902099892
org.joda.time.format.ISODateTimeFormat:937	3.0 300.0 0.09950371902099892
org.joda.time.format.ISODateTimeFormat:942	3.0 300.0 0.09950371902099892
org.joda.time.format.ISODateTimeFormat:901	3.0 310.0 0.09790129997472563
org.joda.time.format.ISODateTimeFormat:902	3.0 310.0 0.09790129997472563
org.joda.time.format.ISODateTimeFormat:907	3.0 310.0 0.09790129997472563
org.joda.time.format.DateTimeFormatterBuilder:1846	3.0 318.0 0.09667364890456637
org.joda.time.format.DateTimeFormatterBuilder:1849	3.0 318.0 0.09667364890456637
org.joda.time.format.DateTimeFormatterBuilder:1850	3.0 318.0 0.09667364890456637
org.joda.time.format.ISODateTimeFormat:866	3.0 318.0 0.09667364890456637
org.joda.time.format.ISODateTimeFormat:867	3.0 318.0 0.09667364890456637
org.joda.time.format.ISODateTimeFormat:872	3.0 318.0 0.09667364890456637
org.joda.time.format.DateTimeFormatterBuilder:2083	3.0 323.0 0.0959294219086619
