org.joda.time.DateTimeUtils:321	3.0 434.0 0.08285522649991613
org.joda.time.DateTimeUtils:319	3.0 488.0 0.07816635870629528
org.joda.time.chrono.BaseChronology:276	3.0 517.0 0.075955452531275
org.joda.time.chrono.BaseChronology:277	3.0 517.0 0.075955452531275
org.joda.time.chrono.BaseChronology:278	3.0 517.0 0.075955452531275
org.joda.time.chrono.BaseChronology:289	3.0 517.0 0.075955452531275
org.joda.time.DateTimeUtils:318	3.0 577.0 0.07191949522280762
org.joda.time.DateTimeUtils:285	3.0 856.0 0.05909681092664519
org.joda.time.chrono.BaseChronology:284	1.0 100.0 0.0574484989621426
org.joda.time.chrono.BaseChronology:285	1.0 100.0 0.0574484989621426
org.joda.time.chrono.BaseChronology:279	1.0 102.0 0.05688801239885743
org.joda.time.chrono.BaseChronology:280	1.0 102.0 0.05688801239885743
org.joda.time.chrono.BaseChronology:281	1.0 102.0 0.05688801239885743
org.joda.time.chrono.BaseChronology:282	1.0 102.0 0.05688801239885743
org.joda.time.chrono.BaseChronology:283	1.0 102.0 0.05688801239885743
org.joda.time.chrono.ISOChronology:77	3.0 1012.0 0.054366028221956235
org.joda.time.chrono.ISOChronology:86	3.0 1095.0 0.05227083734893167
org.joda.time.DateTimeUtils:287	3.0 1351.0 0.04707076918501681
org.joda.time.chrono.ISOChronology:96	3.0 1411.0 0.04606127153588057
org.joda.time.chrono.ISOChronology:99	3.0 1411.0 0.04606127153588057
org.joda.time.chrono.ISOChronology:100	3.0 1411.0 0.04606127153588057
org.joda.time.chrono.ISOChronology:101	3.0 1411.0 0.04606127153588057
org.joda.time.chrono.ISOChronology:104	3.0 1411.0 0.04606127153588057
org.joda.time.chrono.ISOChronology:105	3.0 1411.0 0.04606127153588057
org.joda.time.chrono.ISOChronology:106	3.0 1411.0 0.04606127153588057
org.joda.time.chrono.ISOChronology:110	3.0 1411.0 0.04606127153588057
org.joda.time.chrono.ISOChronology:111	3.0 1411.0 0.04606127153588057
org.joda.time.chrono.ISOChronology:112	3.0 1411.0 0.04606127153588057
org.joda.time.DateTimeUtils:100	3.0 1441.0 0.0455802844097073
org.joda.time.DateTimeUtils:101	3.0 1441.0 0.0455802844097073
org.joda.time.DateTimeUtils:102	3.0 1441.0 0.0455802844097073
org.joda.time.DateTimeUtils:114	3.0 1441.0 0.0455802844097073
org.joda.time.DateTimeUtils:115	3.0 1441.0 0.0455802844097073
org.joda.time.DateTimeUtils:116	3.0 1441.0 0.0455802844097073
org.joda.time.DateTimeUtils:161	3.0 1441.0 0.0455802844097073
org.joda.time.DateTimeUtils:162	3.0 1441.0 0.0455802844097073
org.joda.time.DateTimeUtils:165	3.0 1441.0 0.0455802844097073
org.joda.time.DateTimeUtils:547	3.0 1441.0 0.0455802844097073
org.joda.time.DateTimeUtils:548	3.0 1441.0 0.0455802844097073
org.joda.time.DateTimeUtils:549	3.0 1441.0 0.0455802844097073
org.joda.time.DateTimeZone:175	3.0 1496.0 0.044736274127549006
org.joda.time.DateTimeZone:176	3.0 1496.0 0.044736274127549006
org.joda.time.DateTimeZone:182	3.0 1496.0 0.044736274127549006
org.joda.time.DateTimeZone:183	3.0 1496.0 0.044736274127549006
org.joda.time.DateTimeZone:184	3.0 1496.0 0.044736274127549006
org.joda.time.DateTimeZone:185	3.0 1496.0 0.044736274127549006
org.joda.time.DateTimeZone:134	3.0 1601.0 0.0432472448778669
org.joda.time.DateTimeZone:135	3.0 1601.0 0.0432472448778669
org.joda.time.DateTimeZone:136	3.0 1601.0 0.0432472448778669
org.joda.time.DateTimeZone:137	3.0 1601.0 0.0432472448778669
org.joda.time.DateTimeZone:138	3.0 1601.0 0.0432472448778669
org.joda.time.DateTimeZone:139	3.0 1601.0 0.0432472448778669
org.joda.time.DateTimeZone:142	3.0 1601.0 0.0432472448778669
org.joda.time.DateTimeZone:148	3.0 1601.0 0.0432472448778669
org.joda.time.DateTimeZone:149	3.0 1601.0 0.0432472448778669
org.joda.time.DateTimeUtils:284	3.0 1615.0 0.04305973658430248
org.joda.time.chrono.ISOChronology:63	3.0 1618.0 0.04301987260113792
org.joda.time.chrono.ISOChronology:65	3.0 1618.0 0.04301987260113792
org.joda.time.chrono.ISOChronology:66	3.0 1618.0 0.04301987260113792
org.joda.time.chrono.ISOChronology:67	3.0 1618.0 0.04301987260113792
org.joda.time.chrono.ISOChronology:68	3.0 1618.0 0.04301987260113792
org.joda.time.chrono.ISOChronology:122	3.0 1618.0 0.04301987260113792
org.joda.time.chrono.ISOChronology:123	3.0 1618.0 0.04301987260113792
org.joda.time.chrono.ISOChronology:169	3.0 1618.0 0.04301987260113792
org.joda.time.chrono.ISOChronology:171	3.0 1618.0 0.04301987260113792
org.joda.time.chrono.ISOChronology:173	3.0 1618.0 0.04301987260113792
org.joda.time.chrono.ISOChronology:175	3.0 1618.0 0.04301987260113792
org.joda.time.chrono.ISOChronology:178	3.0 1618.0 0.04301987260113792
org.joda.time.chrono.ISOChronology:180	3.0 1618.0 0.04301987260113792
org.joda.time.chrono.AssembledChronology:321	3.0 1636.0 0.042782991722411734
org.joda.time.chrono.AssembledChronology:372	3.0 1636.0 0.042782991722411734
org.joda.time.chrono.BaseChronology:660	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:99	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:100	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:101	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:102	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:103	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:156	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:160	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:164	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:168	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:172	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:176	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:180	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:184	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:188	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:192	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:196	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:200	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:204	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:208	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:212	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:216	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:220	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:224	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:228	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:232	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:236	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:240	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:244	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:248	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:252	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:256	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:260	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:264	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:268	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:272	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:276	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:280	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:284	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:288	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:292	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:308	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:319	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:320	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:323	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:327	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:328	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:329	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:330	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:331	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:332	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:333	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:334	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:335	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:336	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:337	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:338	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:343	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:344	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:345	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:346	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:347	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:348	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:349	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:350	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:351	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:352	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:353	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:354	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:355	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:356	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:357	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:358	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:359	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:360	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:361	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:362	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:363	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:364	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:365	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:369	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:370	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:385	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:386	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:436	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:437	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:445	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:446	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:448	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:449	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:451	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:452	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:454	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:455	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:457	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:458	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:460	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:461	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:463	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:464	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:466	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:467	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:469	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:470	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:472	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:473	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:475	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:476	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:478	3.0 1647.0 0.04264014327112209
