org.joda.time.DateTimeZone:280	1.0 0.0 1.0
org.joda.time.DateTimeZone:218	1.0 1.0 0.7071067811865475
org.joda.time.DateTimeZone:274	1.0 1.0 0.7071067811865475
org.joda.time.DateTimeZone:660	1.0 12.0 0.2773500981126146
org.joda.time.DateTimeZone:661	1.0 12.0 0.2773500981126146
org.joda.time.format.DateTimeFormatterBuilder:2308	1.0 20.0 0.2182178902359924
org.joda.time.DateTimeZone:220	1.0 28.0 0.18569533817705186
org.joda.time.DateTimeZone:221	1.0 28.0 0.18569533817705186
org.joda.time.DateTimeZone:629	1.0 30.0 0.1796053020267749
org.joda.time.DateTimeZone:643	1.0 30.0 0.1796053020267749
org.joda.time.DateTimeZone:695	1.0 30.0 0.1796053020267749
org.joda.time.DateTimeZone:696	1.0 30.0 0.1796053020267749
org.joda.time.DateTimeZone:700	1.0 30.0 0.1796053020267749
org.joda.time.tz.ZoneInfoProvider:142	1.0 31.0 0.17677669529663687
org.joda.time.DateTimeZone:273	1.0 61.0 0.1270001270001905
org.joda.time.DateTimeZone:276	1.0 61.0 0.1270001270001905
org.joda.time.DateTimeZone:279	1.0 61.0 0.1270001270001905
org.joda.time.DateTimeZone:282	1.0 61.0 0.1270001270001905
org.joda.time.DateTimeZone:284	1.0 61.0 0.1270001270001905
org.joda.time.DateTimeZone:285	1.0 61.0 0.1270001270001905
org.joda.time.DateTimeZone:294	1.0 61.0 0.1270001270001905
org.joda.time.DateTimeZone:304	1.0 71.0 0.11785113019775793
org.joda.time.DateTimeZone:307	1.0 71.0 0.11785113019775793
org.joda.time.DateTimeZone:308	1.0 71.0 0.11785113019775793
org.joda.time.format.DateTimeFormatterBuilder:2310	1.0 78.0 0.1125087900926024
org.joda.time.format.DateTimeFormatterBuilder:2309	1.0 83.0 0.1091089451179962
org.joda.time.format.DateTimeFormatterBuilder:2386	1.0 87.0 0.10660035817780521
org.joda.time.format.DateTimeFormatterBuilder:2356	1.0 90.0 0.10482848367219183
org.joda.time.format.DateTimeFormatterBuilder:2357	1.0 90.0 0.10482848367219183
org.joda.time.format.DateTimeFormatterBuilder:2358	1.0 90.0 0.10482848367219183
org.joda.time.format.DateTimeFormatterBuilder:2315	1.0 91.0 0.10425720702853739
org.joda.time.format.DateTimeFormatterBuilder:2316	1.0 91.0 0.10425720702853739
org.joda.time.format.DateTimeFormatterBuilder:2330	1.0 91.0 0.10425720702853739
org.joda.time.format.DateTimeFormatterBuilder:2337	1.0 91.0 0.10425720702853739
org.joda.time.format.DateTimeFormatterBuilder:2338	1.0 91.0 0.10425720702853739
org.joda.time.format.DateTimeFormatterBuilder:2341	1.0 91.0 0.10425720702853739
org.joda.time.format.DateTimeFormatterBuilder:2342	1.0 91.0 0.10425720702853739
org.joda.time.format.DateTimeFormatterBuilder:2343	1.0 91.0 0.10425720702853739
org.joda.time.format.DateTimeFormatterBuilder:2349	1.0 91.0 0.10425720702853739
org.joda.time.format.DateTimeFormatterBuilder:2354	1.0 91.0 0.10425720702853739
org.joda.time.format.DateTimeFormatterBuilder:2355	1.0 91.0 0.10425720702853739
org.joda.time.format.DateTimeFormatterBuilder:2367	1.0 91.0 0.10425720702853739
org.joda.time.format.DateTimeFormatterBuilder:2368	1.0 91.0 0.10425720702853739
org.joda.time.format.DateTimeFormatterBuilder:2370	1.0 91.0 0.10425720702853739
org.joda.time.format.DateTimeFormatterBuilder:2375	1.0 91.0 0.10425720702853739
